Date,TA,M,RB,FG,MA,HC,V,SA,RM,AG
2019-12-06,202001,202005,202001,202001,202001,202001,202001,202005,202001,202002
2019-12-09,202001,202005,202001,202001,202001,202001,202001,202005,202001,202002
2019-12-10,202001,202005,202001,202001,202001,202001,202001,202005,202001,202002
2019-12-11,202001,202005,202001,202001,202001,202001,202001,202005,202001,202002
2019-12-12,202001,202005,202001,202001,202001,202001,202001,202005,202001,202002
2019-12-13,202001,202005,202001,202001,202001,202001,202001,202005,202001,202002
2019-12-16,202001,202005,202001,202001,202001,202001,202001,202005,202001,202002
2019-12-17,202003,202005,202001,202001,202001,202001,202001,202005,202001,202002
2019-12-18,202003,202005,202001,202001,202001,202001,202001,202005,202001,202002
2019-12-19,202003,202005,202001,202001,202001,202001,202001,202005,202001,202002
2019-12-20,202003,202005,202001,202001,202001,202001,202001,202005,202005,202002
2019-12-23,202003,202005,202001,202001,202001,202001,202001,202005,202005,202002
2019-12-24,202003,202005,202001,202005,202001,202001,202001,202005,202005,202002
2019-12-25,202003,202005,202001,202005,202001,202001,202001,202005,202005,202002
2019-12-26,202003,202005,202001,202005,202001,202001,202001,202005,202005,202002
2019-12-27,202003,202005,202001,202005,202001,202001,202001,202005,202005,202002
2019-12-30,202003,202005,202001,202005,202001,202001,202001,202005,202005,202002
2019-12-31,202003,202005,202001,202005,202001,202001,202005,202005,202005,202002
2020-01-02,202003,202005,202005,202005,202005,202005,202005,202005,202005,202002
2020-01-03,202003,202005,202005,202005,202005,202005,202005,202005,202005,202002
2020-01-06,202003,202005,202005,202005,202005,202005,202005,202005,202005,202002
2020-01-07,202003,202005,202005,202005,202005,202005,202005,202005,202005,202002
2020-01-08,202003,202005,202005,202005,202005,202005,202005,202005,202005,202002
2020-01-09,202005,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-01-10,202005,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-01-13,202003,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-01-14,202003,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-01-15,202003,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-01-16,202003,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-01-17,202003,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-01-20,202003,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-01-21,202003,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-01-22,202005,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-01-23,202005,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-02-03,202005,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-02-04,202005,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-02-05,202005,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-02-06,202005,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-02-07,202005,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-02-10,202005,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-02-11,202005,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-02-12,202005,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-02-13,202005,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-02-14,202005,202005,202005,202005,202005,202005,202005,202005,202005,202004
2020-02-17,202005,202005,202005,202005,202005,202005,202005,202005,202005,202004
