Date,TA,M,RB,FG,MA,HC,V,RM,AG
2014-06-17,7052.0,3697.0,3018.0,1053.0,2854.0,3238.0,6065.0,3044.0,4100.0
2014-06-18,7008.0,3678.0,3009.0,1053.0,2896.0,3264.0,6055.0,3037.0,4113.0
2014-06-19,7046.0,3700.0,3009.0,1054.0,2901.0,3264.0,6060.0,3035.0,4146.0
2014-06-20,7096.0,3696.0,3044.0,1073.0,2908.0,3278.0,6095.0,3025.0,4315.0
2014-06-23,7090.0,3735.0,3072.0,1080.0,2910.0,3298.0,6100.0,3072.0,4325.0
2014-06-24,7124.0,3684.0,3064.0,1073.0,2939.0,3282.0,6085.0,3023.0,4335.0
2014-06-25,7108.0,3687.0,3079.0,1071.0,2987.0,3288.0,6115.0,3028.0,4313.0
2014-06-26,7334.0,3691.0,3115.0,1087.0,3004.0,3320.0,6120.0,3034.0,4282.0
2014-06-27,7370.0,3734.0,3088.0,1068.0,2987.0,3304.0,6100.0,3058.0,4334.0
2014-06-30,7388.0,3748.0,3076.0,1069.0,2991.0,3286.0,6090.0,3091.0,4302.0
2014-07-01,7368.0,3637.0,3069.0,1072.0,2977.0,3294.0,6080.0,2996.0,4314.0
2014-07-02,7186.0,3673.0,3097.0,1077.0,2965.0,3308.0,6070.0,3026.0,4325.0
2014-07-03,7258.0,3652.0,3083.0,1080.0,2962.0,3310.0,6055.0,3020.0,4309.0
2014-07-04,7314.0,3631.0,3084.0,1072.0,2960.0,3306.0,6055.0,2958.0,4334.0
2014-07-07,7200.0,3575.0,3075.0,1072.0,3012.0,3294.0,6070.0,2917.0,4261.0
2014-07-08,7118.0,3592.0,3098.0,1075.0,3001.0,3312.0,6080.0,2926.0,4310.0
2014-07-09,7062.0,3493.0,3078.0,1048.0,2958.0,3298.0,6050.0,2837.0,4323.0
2014-07-10,7004.0,3509.0,3092.0,1031.0,2937.0,3328.0,6050.0,2852.0,4334.0
2014-07-11,7110.0,3503.0,3106.0,1031.0,2919.0,3342.0,6070.0,2861.0,4421.0
2014-07-14,7090.0,3496.0,3120.0,1034.0,2904.0,3364.0,6090.0,2872.0,4353.0
2014-07-15,7126.0,3492.0,3120.0,1038.0,2900.0,3360.0,6050.0,2843.0,4327.0
2014-07-16,7244.0,3527.0,3116.0,1056.0,2880.0,3344.0,6035.0,2857.0,4298.0
2014-07-17,7280.0,3504.0,3105.0,1061.0,2912.0,3328.0,6000.0,2809.0,4312.0
2014-07-18,7332.0,3497.0,3062.0,1059.0,2866.0,3276.0,6005.0,2812.0,4337.0
2014-07-21,7294.0,3193.0,3055.0,1079.0,2863.0,3284.0,6025.0,2797.0,4335.0
2014-07-22,7480.0,3205.0,3062.0,1060.0,2880.0,3286.0,6050.0,2826.0,4328.0
2014-07-23,7484.0,3156.0,3063.0,1062.0,2873.0,3278.0,6005.0,2768.0,4341.0
2014-07-24,7342.0,3216.0,3057.0,1059.0,2876.0,3288.0,6020.0,2776.0,4321.0
2014-07-25,7358.0,3211.0,3064.0,1057.0,2892.0,3294.0,6040.0,2755.0,4270.0
2014-07-28,7348.0,3271.0,3093.0,1060.0,2940.0,3300.0,6045.0,2769.0,4296.0
2014-07-29,7414.0,3315.0,3115.0,1065.0,2929.0,3320.0,6065.0,2819.0,4292.0
2014-07-30,7400.0,3305.0,3093.0,1069.0,2932.0,3300.0,6075.0,2861.0,4289.0
2014-07-31,7354.0,3281.0,3097.0,1069.0,2917.0,3290.0,6065.0,2854.0,4307.0
2014-08-01,7396.0,3251.0,3090.0,1067.0,2882.0,3282.0,6065.0,2818.0,4275.0
2014-08-04,7360.0,3264.0,3116.0,1094.0,2901.0,3290.0,6075.0,2793.0,4289.0
2014-08-05,7340.0,3282.0,3122.0,1102.0,2905.0,3310.0,6090.0,2794.0,4274.0
2014-08-06,7374.0,3286.0,3121.0,1106.0,2889.0,3334.0,6090.0,2766.0,4212.0
2014-08-07,7398.0,3324.0,3109.0,1044.0,2883.0,3340.0,6080.0,2768.0,4237.0
2014-08-08,7448.0,3331.0,3101.0,1028.0,2935.0,3320.0,6075.0,2712.0,4253.0
2014-08-11,7556.0,3314.0,3085.0,1026.0,2925.0,3314.0,6080.0,2658.0,4229.0
2014-08-12,7520.0,3268.0,3085.0,1027.0,2917.0,3324.0,6030.0,2635.0,4238.0
2014-08-13,7516.0,3247.0,3044.0,1029.0,2990.0,3310.0,6050.0,2382.0,4237.0
2014-08-14,7468.0,3214.0,3021.0,1001.0,2995.0,3278.0,6035.0,2353.0,4215.0
2014-08-15,7418.0,3245.0,3031.0,1017.0,2976.0,3298.0,6040.0,2357.0,4216.0
2014-08-18,7334.0,3267.0,3010.0,1033.0,2978.0,3278.0,6060.0,2344.0,4133.0
2014-08-19,7336.0,3286.0,3015.0,1050.0,2987.0,3290.0,6060.0,2327.0,4122.0
2014-08-20,7344.0,3256.0,2990.0,1044.0,2968.0,3268.0,6055.0,2331.0,4108.0
2014-08-21,7358.0,3270.0,2983.0,1066.0,2964.0,3274.0,5935.0,2341.0,4098.0
2014-08-22,7282.0,3273.0,2986.0,1072.0,2943.0,3212.0,5930.0,2360.0,4122.0
2014-08-25,7262.0,3271.0,2974.0,1068.0,2891.0,3190.0,5930.0,2341.0,4114.0
2014-08-26,7126.0,3248.0,2979.0,1077.0,2840.0,3176.0,5930.0,2338.0,4146.0
2014-08-27,7102.0,3267.0,2965.0,1062.0,2858.0,3170.0,5940.0,2357.0,4132.0
2014-08-28,7074.0,3243.0,2937.0,1050.0,2841.0,3132.0,5925.0,2342.0,4169.0
2014-08-29,7130.0,3253.0,2940.0,1064.0,2826.0,3164.0,5960.0,2324.0,4162.0
2014-09-01,6704.0,3236.0,2915.0,1013.0,2848.0,3148.0,5980.0,2312.0,4152.0
2014-09-02,6772.0,3261.0,2910.0,1018.0,2851.0,3144.0,6040.0,2321.0,4123.0
2014-09-03,6644.0,3249.0,2853.0,1013.0,2850.0,3106.0,6050.0,2284.0,4111.0
2014-09-04,6676.0,3197.0,2838.0,1023.0,2857.0,3066.0,6045.0,2231.0,4108.0
2014-09-05,6662.0,3151.0,2834.0,1012.0,2859.0,3056.0,6025.0,2225.0,4105.0
2014-09-09,6594.0,3144.0,2768.0,1019.0,2852.0,2982.0,6010.0,2217.0,4092.0
2014-09-10,6508.0,3119.0,2780.0,1002.0,2856.0,2982.0,5950.0,2175.0,4114.0
2014-09-11,6436.0,3104.0,2757.0,1017.0,2857.0,2954.0,5935.0,2168.0,4098.0
2014-09-12,6442.0,3143.0,2790.0,1027.0,2823.0,2976.0,5940.0,2214.0,4057.0
2014-09-15,6406.0,3124.0,2826.0,1047.0,2868.0,3010.0,5950.0,2206.0,4058.0
2014-09-16,6374.0,3134.0,2788.0,1049.0,2892.0,2962.0,5875.0,2197.0,4066.0
