Date,TA,M,RB,FG,MA,HC,V,RM,AG
2014-06-17,1017954,1167940.0,2207960,506146,2106,7882,9399.0,4084082,1168
2014-06-18,940374,835992.0,1468542,903900,2118,19098,3301.0,3863366,494
2014-06-19,788362,636628.0,1592270,384934,3532,17156,2940.0,3262000,922
2014-06-20,678562,473084.0,2709728,671188,1504,19092,3670.0,2396772,3114
2014-06-23,909356,483219.0,2300392,529472,2480,8742,6268.0,2162974,2656
2014-06-24,784290,511400.0,1704490,354272,1690,6520,8788.0,2391540,1068
2014-06-25,619088,563213.0,1605680,281356,4348,6804,4192.0,3254024,2258
2014-06-26,1305230,318774.0,2398494,646592,5220,11450,3959.0,2074688,1338
2014-06-27,1000664,538036.0,1650420,398120,2840,4814,3419.0,2588828,1022
2014-06-30,1004458,375421.0,1335024,395358,3020,4932,2613.0,2517512,1746
2014-07-01,706208,724689.0,1441298,538726,3648,3924,2555.0,4029006,1662
2014-07-02,1744626,376748.0,1760900,436376,3150,7372,3386.0,2617412,1206
2014-07-03,1240240,259874.0,845736,485422,1926,6234,1535.0,1635110,748
2014-07-04,1155696,325017.0,688790,268746,1454,5872,1382.0,2474162,552
2014-07-07,1081918,336623.0,728938,310198,4722,5172,3331.0,2615440,1032
2014-07-08,1589510,259893.0,497458,331012,6078,6470,1491.0,1848530,755290
2014-07-09,1111546,424497.0,388184,572510,3916,5230,2241.0,2925070,1055534
2014-07-10,733890,249243.0,577624,385096,3352,9708,2347.0,2090028,1112624
2014-07-11,952884,338269.0,427176,262626,2332,7836,1194.0,2468042,1360226
2014-07-14,619006,260785.0,410108,185242,2114,12282,1880.0,1934132,965344
2014-07-15,759798,221446.0,250596,89686,1286,7740,2506.0,1885658,864812
2014-07-16,1100894,210891.0,185978,157090,1120,5070,3790.0,1529228,1208670
2014-07-17,1356392,228834.0,183626,157060,2468,6182,3480.0,2098784,642114
2014-07-18,1292340,169187.0,426702,108540,2680,12988,2208.0,2000752,1039886
2014-07-21,998268,474151.0,261458,239412,1038,4414,1040.0,1345562,761380
2014-07-22,1516284,438642.0,168178,199962,1494,4140,1981.0,1589678,674040
2014-07-23,865076,472592.0,192718,71622,1484,3616,1371.0,1733998,837118
2014-07-24,1137560,480604.0,222328,74070,1074,2778,583.0,1391266,711982
2014-07-25,1060022,426466.0,136630,100002,940,4538,1666.0,1671728,1405948
2014-07-28,587116,536449.0,171030,107592,2190,7096,896.0,1300130,905170
2014-07-29,550680,531006.0,201794,74064,1090,7024,2970.0,1476872,585510
2014-07-30,362348,545716.0,119902,59846,1670,2952,1424.0,1590726,736204
2014-07-31,353714,331565.0,67248,41794,1026,3886,506.0,1346358,649986
2014-08-01,375822,534999.0,100056,35744,2092,7408,384.0,976622,773312
2014-08-04,172696,505990.0,117188,54604,774,5896,993.0,1069164,745478
2014-08-05,178730,482106.0,208822,91316,1398,11272,1885.0,798170,714512
2014-08-06,199308,734426.0,163952,35456,886,9316,994.0,605882,1182886
2014-08-07,174234,528741.0,126764,499718,1760,4256,377.0,629938,781926
2014-08-08,95222,443642.0,98066,568208,1812,10304,672.0,791790,793116
2014-08-11,209874,623504.0,154196,450628,1646,3082,609.0,557158,586666
2014-08-12,91058,546214.0,61886,393788,1504,3194,1249.0,264376,412464
2014-08-13,88730,852652.0,2678436,757126,3748,3342,143.0,2586222,506238
2014-08-14,76970,800497.0,2142998,804714,2270,5210,888.0,3557502,685780
2014-08-15,53560,448656.0,2373268,497648,1888,4760,367.0,1968120,453006
2014-08-18,125390,635134.0,2453272,651796,1748,3134,207.0,2390140,1198662
2014-08-19,49494,563126.0,1979616,1045118,3178,1488,259.0,1839328,373316
2014-08-20,34730,660697.0,2240678,828458,1612,3088,242.0,1843722,795890
2014-08-21,24670,586700.0,1873434,1444428,1466,1882,1039.0,1755660,758432
2014-08-22,37160,380091.0,1949942,827514,1548,3302,486.0,1198426,508332
2014-08-25,19854,330540.0,1933578,871738,3472,3644,680.0,1451340,556536
2014-08-26,26288,570986.0,1727058,922156,6566,3102,318.0,1374854,474272
2014-08-27,19886,489445.0,2003836,869050,3486,4504,307.0,1960446,537758
2014-08-28,14874,452766.0,3218868,1071016,3270,3232,619.0,1201442,666712
2014-08-29,10260,458221.0,1913484,798924,6506,2788,3179.0,2605382,608892
2014-09-01,797904,430328.0,2147522,1483384,3408,1614,2463.0,1175836,446122
2014-09-02,655074,403666.0,3632038,1084346,5460,1966,4488.0,1360596,366706
2014-09-03,1031692,394747.0,3861960,995820,3438,2790,4469.0,1760816,602166
2014-09-04,851036,691843.0,3927914,846618,2484,940,2682.0,2337050,291490
2014-09-05,614532,671026.0,3371838,1419558,2252,1788,2367.0,1747822,619874
2014-09-09,918554,367119.0,4192656,866068,2104,664,1535.0,1285248,189744
2014-09-10,714006,519091.0,6590504,1726980,3892,848,4267.0,2326498,621716
2014-09-11,1006362,332472.0,3729686,1251676,2234,908,2115.0,1816036,491756
2014-09-12,570234,665730.0,3984704,984144,7346,626,2748.0,2650476,1003966
2014-09-15,694478,413183.0,4585390,1430408,7180,264,3592.0,1678932,581616
2014-09-16,578006,520205.0,5159490,1099704,9474,554,8597.0,1929906,550474
2014-09-17,549972,521063.0,4392080,933994,6290,538,1967.0,2076406,540762
2014-09-18,709120,446386.0,3746742,768360,4290,688,4237.0,1420090,514266
2014-09-19,614920,502699.0,5731296,1488816,5026,466,3822.0,2261426,826186
2014-09-22,1026682,615324.0,5027012,2441098,9234,314,5787.0,1924842,2427488
2014-09-23,513590,670276.0,6227118,2325120,12350,128,3328.0,1959384,1902036
2014-09-24,774978,458627.0,4575332,1574980,4788,118,2925.0,1480508,957134
2014-09-25,768624,412737.0,7750420,2006534,3262,58,2023.0,1548696,1781956
