Date,TA,M,RB,FG,MA,HC,V,SA,RM,AG
2019-12-06,472922,205627.0,2288212,50394,609782.0,143094,32993.0,17602,359092,180950
2019-12-09,1060138,217080.0,3896724,200630,1024792.0,267900,80427.0,4914,343786,370838
2019-12-10,906600,212524.0,2314644,228104,699110.0,165844,91758.0,6668,415552,132664
2019-12-11,915300,280142.0,2713564,129030,1051910.0,196118,89112.0,6484,486756,127006
2019-12-12,1583478,179184.0,3169322,169870,1351328.0,297224,183842.0,3880,564030,215114
2019-12-13,1226484,284392.0,2837898,161346,1348064.0,273584,80612.0,1444,722856,419798
2019-12-16,1627334,193321.0,4155020,141824,2143922.0,472678,115464.0,5056,695454,354710
2019-12-17,962918,147375.0,2393776,113404,1910930.0,302020,75770.0,4090,630428,172218
2019-12-18,997250,160006.0,1956352,384188,2085764.0,313644,91155.0,3570,600150,191234
2019-12-19,1377206,188892.0,2761054,148968,1747752.0,417614,120583.0,2014,647614,177778
2019-12-20,900916,134354.0,2456502,134024,1956212.0,376496,87457.0,1808,38950,171816
2019-12-23,962248,165294.0,2558004,111548,1947344.0,403996,153901.0,1646,45834,402792
2019-12-24,1370078,135043.0,2499360,5812,1817282.0,447180,84336.0,1316,44678,412204
2019-12-25,965480,111951.0,1921198,3812,1809870.0,314052,70210.0,946,38316,290522
2019-12-26,916048,146917.0,2527868,9332,1357934.0,338132,76276.0,2484,62144,388762
2019-12-27,1435978,137420.0,2147774,10140,1718676.0,236244,64332.0,2154,62608,527818
2019-12-30,1042360,324536.0,1912332,8472,1912720.0,244450,105789.0,1688,140014,407366
2019-12-31,2016620,295113.0,2519558,14570,2145844.0,476572,6125.0,4014,97554,596584
2020-01-02,431098,222734.0,75199,4865,14866.0,10363,2541.0,1519,33292,183168
2020-01-03,614135,241269.0,45834,7949,26243.0,7415,3388.0,813,44937,551454
2020-01-06,772794,312111.0,63366,4680,37547.0,7701,6402.0,1492,36333,685985
2020-01-07,646343,181652.0,42471,2721,43031.0,6774,3949.0,548,34613,839499
2020-01-08,819555,319256.0,69381,2691,61847.0,10913,4172.0,979,64922,929547
2020-01-09,104284,208877.0,67595,3006,63618.0,12494,4342.0,1367,50470,1049723
2020-01-10,37350,355540.0,45279,3190,26578.0,9360,6400.0,2083,58439,511861
2020-01-13,681428,331265.0,60616,5009,93794.0,7442,9003.0,523,44144,681553
2020-01-14,484582,203770.0,54181,1925,95003.0,6432,4995.0,439,53781,586937
2020-01-15,467350,262150.0,50017,4481,53958.0,8196,5241.0,2967,41727,459451
2020-01-16,370936,186381.0,84258,3301,53516.0,13176,4683.0,516,38490,509325
2020-01-17,277410,164839.0,55446,1937,39148.0,8975,4125.0,449,39893,354362
2020-01-20,429931,137431.0,56722,2083,37306.0,6160,5533.0,819,35960,434295
2020-01-21,438240,229865.0,60150,3180,25267.0,12444,6111.0,311,69223,308028
2020-01-22,71190,221261.0,106646,4892,39661.0,14061,6477.0,1133,68515,545057
2020-01-23,55960,309481.0,82427,5718,23319.0,18967,7019.0,835,42725,286825
2020-02-03,65801,383573.0,390303,17955,45790.0,46894,31809.0,1330,44985,228224
2020-02-04,135157,295186.0,399137,14174,59834.0,35066,13595.0,639,40710,158890
2020-02-05,87988,188777.0,284212,15667,47038.0,23627,12062.0,636,35108,198353
2020-02-06,69728,203658.0,310607,22484,39110.0,26612,10512.0,490,49784,135135
2020-02-07,55647,119020.0,209934,7997,43629.0,21557,6177.0,744,29066,167300
2020-02-10,61753,181100.0,250662,7765,48491.0,35864,11418.0,407,53501,112846
2020-02-11,86194,151873.0,448600,11817,36710.0,55603,10877.0,306,47793,114604
2020-02-12,77075,184646.0,238299,9430,59799.0,32214,9839.0,540,45681,303258
2020-02-13,55250,307717.0,191334,18516,30432.0,23131,7431.0,664,80865,154015
2020-02-14,58083,248563.0,208281,5387,24828.0,28703,9880.0,329,64813,125375
2020-02-17,85530,190663.0,296100,11414,33203.0,25002,12094.0,468,60599,190651
2020-02-18,96356,226915.0,301190,8551,53659.0,35656,8898.0,228,61592,192489
2020-02-19,70245,181874.0,294607,6663,35831.0,22355,13081.0,105,47733,322666
2020-02-20,104589,178337.0,417536,16340,37917.0,41980,15777.0,887,60459,337565
2020-02-21,106764,179326.0,328888,14898,36900.0,41447,10504.0,321,46995,343040
