Date,TA,M,RB,FG,MA,HC,V,SA,RM,AG
2019-12-06,-50,169,106,285,-164,102,75,0,15,-6
2019-12-09,-48,154,98,239,-154,93,69,0,10,-7
2019-12-10,-45,155,100,243,-161,97,72,0,8,-7
2019-12-11,-48,171,101,246,-163,97,72,0,10,-8
2019-12-12,-39,163,102,247,-148,104,64,0,2,-8
2019-12-13,-40,159,104,248,-157,104,64,0,-5,-10
2019-12-16,-36,184,99,286,-165,103,64,0,-11,-10
2019-12-17,-34,184,103,290,-156,109,65,0,-18,-10
2019-12-18,-34,184,102,279,-136,109,65,0,-26,-10
2019-12-19,-32,177,112,313,-133,132,65,0,-35,-10
2019-12-20,-34,177,113,318,-131,130,67,0,-41,-10
2019-12-23,-35,175,115,318,-128,131,62,0,-47,-9
2019-12-24,-28,176,114,319,-132,128,61,0,-52,-7
2019-12-25,-29,173,112,316,-132,124,60,0,-57,-6
2019-12-26,-29,170,111,349,-132,125,60,0,-62,-4
2019-12-27,-25,170,114,373,-125,127,60,0,-67,-3
2019-12-30,-24,146,116,379,-123,132,62,0,-60,-1
2019-12-31,-21,146,136,386,-113,146,61,0,-59,0
2020-01-02,-21,149,131,398,-110,142,61,0,-61,0
2020-01-03,-20,139,144,392,-107,148,63,0,-61,0
2020-01-06,-18,130,144,398,-100,149,63,0,-62,1
2020-01-07,-16,132,145,403,-105,152,63,0,-61,1
2020-01-08,-16,121,148,411,-99,148,62,0,-61,1
2020-01-09,-14,115,129,415,-77,126,64,0,-62,0
2020-01-10,-16,91,130,428,-75,124,58,0,-60,-1
2020-01-13,-17,81,128,386,-59,119,55,0,-63,-1
2020-01-14,-17,78,150,570,-55,143,60,0,-69,-2
2020-01-15,-19,68,145,580,-53,140,60,0,-70,-2
2020-01-16,-20,62,149,581,-52,144,62,0,-75,-2
2020-01-17,-22,57,146,599,-52,136,68,0,-80,-2
2020-01-20,-22,52,148,601,-48,136,67,0,-81,-3
2020-01-21,-23,47,154,560,-46,134,67,0,-78,-3
2020-01-22,-24,41,152,551,-43,129,66,0,-71,-3
2020-01-23,-25,32,140,455,-41,117,60,0,-65,-3
2020-02-03,-14,22,64,233,-34,54,41,0,-61,-3
2020-02-04,-15,17,53,224,-33,48,39,0,-52,-4
2020-02-05,-16,14,53,218,-34,49,40,0,-54,-4
2020-02-06,-17,11,52,198,-34,48,39,0,-54,-4
2020-02-07,-18,8,52,198,-34,48,39,0,-55,-4
2020-02-10,-18,5,52,197,-34,48,39,0,-55,-5
2020-02-11,-19,3,52,199,-35,47,38,0,-55,-5
2020-02-12,-19,-2,52,199,-35,47,39,0,-59,-5
2020-02-13,-20,-2,52,198,-35,47,39,0,-56,-5
2020-02-14,-20,-5,53,199,-35,47,39,0,-55,-6
2020-02-17,-21,-6,53,203,-34,47,39,0,-53,-6
2020-02-18,-22,-9,52,200,-35,47,39,0,-53,-6
2020-02-19,-23,-12,52,196,-34,48,40,0,-53,-5
2020-02-20,-23,-14,52,189,-34,49,40,0,-53,-4
2020-02-21,-24,-16,54,188,-37,50,41,0,-53,-1
2020-02-24,-24,-20,54,186,-37,51,44,0,-53,1
2020-02-25,-24,-22,55,190,-43,51,46,0,-53,0
2020-02-26,-24,-24,55,187,-44,52,46,0,-53,0
2020-02-27,-25,-28,55,182,-44,51,45,0,-53,0
2020-02-28,-25,-29,52,175,-43,49,44,0,-52,-4
2020-03-02,-25,-21,50,165,-42,47,43,0,-41,-6
2020-03-03,-25,-21,50,160,-44,47,42,0,-40,-7
2020-03-04,-25,-22,50,156,-45,47,42,0,-39,-8
2020-03-05,-26,-23,50,153,-47,48,41,0,-39,-8
2020-03-06,-26,-25,51,160,-47,48,40,0,-38,-9
2020-03-09,-44,-28,81,268,-57,88,51,0,-40,-9
2020-03-10,-41,-33,106,255,-62,106,45,0,-43,-9
2020-03-11,-44,-35,106,243,-64,106,44,0,-43,-10
2020-03-12,-46,-37,107,316,-66,107,42,0,-43,-10
2020-03-13,-48,-37,111,253,-70,107,41,-7,-42,-10
2020-03-16,-48,-38,108,185,-72,106,38,-10,-42,-10
2020-03-17,-49,-38,115,162,-74,116,37,-13,-41,-9
2020-03-18,-48,-39,113,140,-73,107,30,-17,-41,-10
2020-03-19,-47,-41,105,98,-74,102,23,-19,-40,-10
2020-03-20,-43,-34,92,80,-70,77,20,-23,-34,-9
2020-03-23,-43,-28,83,50,-75,63,14,-28,-28,-10
2020-03-24,-43,-27,74,34,-76,55,12,-31,-27,-9
2020-03-25,-43,-25,73,24,-82,53,9,-35,-25,-9
2020-03-26,-44,-23,75,13,-84,52,6,-38,-23,-9
2020-03-27,-45,-22,74,2,-80,51,3,-42,-21,-9
2020-03-30,-43,-22,66,-8,-77,47,2,-38,-19,-8
2020-03-31,-40,-22,66,-17,-77,45,-1,-40,-18,-8
2020-04-01,-41,-22,61,-26,-78,42,-2,-43,-16,-8
2020-04-02,-36,-23,56,-33,-66,38,-3,-40,-16,-8
