Date,TA,M,RB,FG,MA,HC,V,SA,RM,AG,combined
2019-12-06,0,0,0,0,0,0,0,0,0,0,0
2019-12-09,2400,169,-636,2850,1312,612,750,0,60,12,7529
2019-12-10,2304,2325,2500,3089,5162,3588,3855,0,310,-2,23131
2019-12-11,-1026,-1395,1200,1388,-1278,4364,-2985,0,70,-317,21
2019-12-12,-450,-4644,1099,3110,189,3782,-1185,0,-130,-101,1670
2019-12-13,-2946,-2036,-3287,2616,-995,350,1055,0,-132,-525,-5900
2019-12-16,-2066,-2036,-2871,1376,-6019,2118,-1185,0,-147,-545,-11375
2019-12-17,-1922,-748,-3663,7382,2066,1912,-545,0,-147,-585,3750
2019-12-18,-494,-4428,663,6222,-1054,2566,2055,0,141,-425,5246
2019-12-19,-902,-5348,-459,5385,-3910,604,1730,0,167,-645,-3378
2019-12-20,442,-2870,3013,4133,-5107,6676,-4445,0,-253,-1295,294
2019-12-23,-2482,-2870,-151,7313,-3273,4206,-3440,0,239,-1745,-2203
2019-12-24,-2272,-3745,-3026,4769,-5833,14,-5300,0,-90,-2087,-17570
2019-12-25,-2496,-3921,1990,6364,-5437,4622,-4385,0,638,-2472,-5097
2019-12-26,-4584,-3921,3334,10156,-10057,5490,-4685,0,-160,-2286,-6713
2019-12-27,-5048,3559,3778,11552,-13621,5740,-2585,0,-3198,-2306,-2129
2019-12-30,-2948,4579,6514,10806,-8746,9042,-3485,0,-3935,-2444,9383
2019-12-31,-2372,4871,3962,12322,-10345,6270,-5345,0,-4055,-2375,2933
2020-01-02,-3716,2097,3418,18498,-11927,4810,-5650,0,-3819,-2375,1336
2020-01-03,-5522,-883,5514,19294,-16327,6514,-2600,0,-2599,-2375,1016
2020-01-06,-3682,90,7242,18902,-15043,7402,-4805,0,-4307,-2375,3424
2020-01-07,-4150,-2250,12426,19698,-19343,15448,-1340,0,-3253,-2284,14952
2020-01-08,-2198,-3174,4886,17280,-11363,6480,-3860,0,-2460,-2464,3127
2020-01-09,-2134,-8740,7254,18102,-11462,8700,2030,0,102,-2475,11377
2020-01-10,-2106,-10695,3513,11462,-19085,4794,-3410,0,102,-2475,-17900
2020-01-13,-1466,-9967,7543,12318,-15785,8762,-4860,0,1062,-2394,-4787
2020-01-14,-1330,-7942,4599,15406,-14428,6144,-4585,0,-387,-2429,-4952
2020-01-15,-1738,-8254,7599,17686,-13713,9290,-4885,0,-318,-2451,3216
2020-01-16,-1776,-8594,11804,17106,-12653,15170,-5485,0,382,-2487,13467
2020-01-17,-2256,-8780,12698,16525,-15409,14594,-7035,0,-818,-2479,7040
2020-01-20,-848,-7583,8318,9936,-14161,9154,-6355,0,-2978,-2557,-7074
2020-01-21,-848,-8831,7282,15345,-11473,6706,-7025,0,748,-2305,-401
2020-01-22,-296,-10476,660,225,-10875,2686,-8365,0,2074,-2311,-26678
2020-01-23,7912,-12772,-30500,-31182,-4640,-25952,-22555,0,7115,-2458,-115032
2020-02-03,8412,-10564,-12020,-27542,-6731,-14603,-19855,0,2110,-2401,-83194
2020-02-04,7824,-10850,-11892,-26377,-7207,-14279,-18215,0,2781,-2401,-80616
2020-02-05,7164,-10884,-10461,-19881,-7801,-12935,-17630,0,2937,-2345,-71836
2020-02-06,7068,-10954,-8129,-20317,-8991,-11759,-17430,0,3099,-2397,-69810
2020-02-07,7374,-10778,-7973,-19327,-8651,-12479,-16650,0,1965,-2369,-68888
2020-02-10,6834,-10730,-5009,-18535,-8787,-9599,-14700,0,2295,-2397,-60628
2020-02-11,7014,-10825,-4749,-17353,-8277,-8927,-15090,0,2680,-2087,-57614
2020-02-12,6900,-10705,-4281,-17154,-8557,-8786,-15090,0,425,-2227,-59475
2020-02-13,6444,-10669,-3449,-17353,-8802,-7987,-13335,0,779,-2277,-56649
2020-02-14,6044,-10707,-849,-16759,-9502,-6389,-13530,0,-509,-2472,-54673
2020-02-17,6564,-10597,-2863,-17356,-8452,-7047,-13920,0,-69,-2514,-56254
2020-02-18,6354,-10639,-3552,-16747,-9608,-7517,-14895,0,-546,-3132,-60282
2020-02-19,5518,-10648,-1056,-13947,-9713,-6154,-13725,0,-228,-3222,-53175
2020-02-20,5288,-10600,-1160,-12771,-9611,-5770,-12525,0,-122,-3497,-50768
2020-02-21,6254,-10068,-1732,-12204,-8693,-6113,-13325,0,2263,-3633,-47251
2020-02-24,6638,-10372,-166,-12204,-9803,-5013,-12915,0,1150,-3536,-46221
2020-02-25,8414,-10232,-1678,-12762,-8767,-6186,-14015,0,1786,-3583,-47023
2020-02-26,9998,-10298,-2613,-14662,-8423,-7206,-14935,0,1097,-3583,-50625
2020-02-27,11966,-9386,-6903,-16719,-5343,-11210,-16545,0,3217,-3583,-54506
2020-02-28,10816,-12158,-2503,-13625,-7455,-6722,-14745,0,-2295,-3583,-52270
2020-03-02,9716,-12274,-1723,-14500,-7842,-6477,-14305,0,-3179,-3495,-54079
2020-03-03,9266,-12106,277,-13675,-7674,-5208,-13875,0,-3138,-4005,-50138
2020-03-04,9616,-12232,-673,-13995,-7938,-5396,-13875,0,-3498,-3963,-51954
2020-03-05,11066,-11902,-1723,-15243,-7713,-6430,-15345,0,-2367,-4155,-53812
2020-03-06,16578,-10867,-1923,-18456,-2261,-6718,-20880,0,129,-2755,-47153
2020-03-09,19906,-11542,-852,-17496,-2966,-5806,-16880,0,-897,-3556,-40089
2020-03-10,19642,-10926,-1095,-16424,-1712,-5542,-16115,0,143,-3583,-35612
2020-03-11,23004,-10530,-1625,-16934,396,-6284,-16790,0,659,-2755,-30859
2020-03-12,23268,-11825,71,-21308,396,-5436,-15910,0,-244,-625,-31613
2020-03-13,27500,-11492,-2925,-29524,2244,-8004,-17380,0,229,1625,-37727
2020-03-16,30956,-12269,-372,-32813,3994,-8539,-18405,231,-191,5165,-32243
2020-03-17,35948,-11623,-2856,-35218,7810,-13733,-22585,351,271,7125,-34510
2020-03-18,42514,-10825,-8376,-39916,10844,-16169,-27765,845,1132,7746,-39970
2020-03-19,37906,-14140,-17190,-40056,7924,-27832,-26715,845,-1902,5696,-75464
2020-03-20,44486,-18158,-26535,-43976,9256,-39970,-32235,1377,-6022,5826,-105951
2020-03-23,47066,-18328,-19543,-41976,10516,-32886,-34435,1124,-5342,3918,-89886
2020-03-24,45088,-19588,-17966,-41376,12166,-32760,-34855,1152,-6182,2028,-92293
2020-03-25,46550,-17617,-19742,-42056,12470,-35400,-37015,1555,-4859,2181,-93933
2020-03-26,48700,-18517,-20618,-42200,18456,-34870,-37735,1870,-6459,1713,-89660
2020-03-27,56004,-19023,-27143,-42395,24672,-39654,-39415,3580,-7172,3549,-86997
2020-03-30,52404,-18803,-27809,-42399,21792,-40062,-39745,2656,-6731,2919,-95778
2020-03-31,55242,-17087,-32033,-42215,24102,-43446,-39565,2846,-4546,3175,-93527
2020-04-01,49402,-16779,-28073,-42317,18327,-39891,-39665,2126,-4672,2479,-99063
2020-04-02,47762,-15833,-30513,-40809,17859,-41697,-39835,3072,-3792,1991,-101795
2020-04-03,45818,-15879,-29561,-41436,14889,-40633,-40360,2392,-4320,279,-108811
2020-04-07,46168,-16215,-27471,-41526,15234,-39153,-40180,1613,-4656,895,-105291
2020-04-08,43158,-16243,-23937,-41526,10197,-37405,-40180,1408,-4843,825,-108546
2020-04-09,43734,-16363,-20386,-42018,8633,-35245,-40300,1778,-4795,650,-104312
2020-04-10,46674,-15659,-19686,-39282,10521,-34860,-40450,3722,-4507,818,-92709
2020-04-13,45414,-15791,-19827,-40302,14682,-35540,-40150,2822,-4603,258,-93037
2020-04-14,45764,-15896,-20344,-41622,13802,-35676,-40180,1652,-4858,755,-96603
2020-04-15,47792,-13958,-19780,-40786,16840,-34384,-39970,2520,-3988,244,-85470
