Date,CarryContract,CurrentContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
2014-03-21,201409,201410,3322.0,13604,3324.0,187478,132.0
2014-03-24,201409,201410,3316.0,2148,3330.0,86810,138.0
2014-03-25,201409,201410,3378.0,1592,3378.0,119854,186.0
2014-03-26,201409,201410,3364.0,306,3376.0,37876,184.0
2014-03-27,201410,201501,3362.0,40230,3400.0,574,170.0
2014-03-28,201410,201501,3382.0,34290,3422.0,144,192.0
2014-03-31,201410,201501,3410.0,60970,3462.0,352,232.0
2014-04-01,201410,201501,3414.0,17896,3458.0,106,228.0
2014-04-02,201410,201501,3390.0,28570,3442.0,190,212.0
2014-04-03,201409,201410,3392.0,1042,3410.0,20706,224.0
2014-04-04,201410,201501,3440.0,21360,3480.0,594,254.0
2014-04-08,201410,201501,3480.0,40286,3512.0,1850,286.0
2014-04-09,201410,201501,3452.0,32902,3492.0,200,266.0
2014-04-10,201409,201410,3424.0,146,3446.0,19630,256.0
2014-04-11,201410,201501,3434.0,13100,3476.0,142,244.0
2014-04-14,201410,201501,3438.0,12642,3470.0,92,238.0
2014-04-15,201410,201501,3448.0,20724,3482.0,186,250.0
2014-04-16,201410,201501,3418.0,18538,3456.0,42,224.0
2014-04-17,201410,201501,3412.0,5590,3450.0,84,218.0
2014-04-18,201410,201501,3354.0,51760,3388.0,580,156.0
2014-04-21,201410,201501,3340.0,8292,3370.0,150,138.0
2014-04-22,201410,201501,3354.0,23958,3380.0,562,148.0
2014-04-23,201410,201501,3380.0,19844,3396.0,294,164.0
2014-04-24,201410,201501,3390.0,12648,3400.0,142,168.0
2014-04-25,201410,201501,3378.0,8566,3392.0,96,160.0
2014-04-28,201410,201501,3336.0,17354,3342.0,484,110.0
2014-04-29,201410,201501,3360.0,8736,3354.0,92,122.0
2014-04-30,201410,201501,3344.0,9948,3330.0,726,98.0
2014-05-05,201410,201501,3352.0,11568,3334.0,48,102.0
2014-05-06,201410,201501,3344.0,4722,3326.0,26,94.0
2014-05-07,201410,201501,3332.0,9532,3310.0,614,78.0
2014-05-08,201410,201501,3312.0,13298,3300.0,242,68.0
2014-05-09,201410,201501,3318.0,9612,3302.0,58,70.0
2014-05-12,201410,201501,3336.0,11512,3302.0,138,70.0
2014-05-13,201410,201501,3326.0,6694,3320.0,38,88.0
2014-05-14,201410,201501,3324.0,7744,3320.0,12,88.0
2014-05-15,201410,201501,3300.0,4666,3302.0,50,70.0
2014-05-16,201410,201501,3272.0,11898,3268.0,568,36.0
2014-05-19,201410,201501,3264.0,7402,3270.0,122,38.0
2014-05-20,201410,201501,3262.0,3226,3256.0,94,24.0
2014-05-21,201410,201501,3274.0,5076,3270.0,132,38.0
2014-05-22,201410,201501,3280.0,5670,3274.0,28,42.0
2014-05-23,201410,201501,3282.0,2478,3280.0,58,48.0
2014-05-26,201410,201501,3326.0,6526,3336.0,46,104.0
2014-05-27,201410,201501,3340.0,17214,3342.0,60,110.0
2014-05-28,201410,201501,3312.0,6688,3308.0,34,76.0
2014-05-29,201410,201501,3308.0,5696,3304.0,160,72.0
2014-05-30,201410,201501,3264.0,11890,3264.0,68,32.0
2014-06-03,201410,201501,3268.0,11494,3268.0,42,36.0
2014-06-04,201410,201501,3262.0,7822,3272.0,138,40.0
2014-06-05,201410,201501,3270.0,13050,3282.0,356,50.0
2014-06-06,201410,201501,3282.0,5212,3286.0,162,54.0
2014-06-09,201410,201501,3262.0,11062,3276.0,60,44.0
2014-06-10,201410,201501,3268.0,8890,3278.0,78,46.0
2014-06-11,201410,201501,3260.0,5292,3272.0,40,40.0
2014-06-12,201410,201501,3246.0,12012,3250.0,856,18.0
2014-06-13,201410,201501,3248.0,12994,3250.0,712,18.0
2014-06-16,201410,201501,3226.0,18710,3234.0,188,2.0
2014-06-17,201410,201501,3238.0,7882,3244.0,96,12.0
2014-06-18,201410,201501,3264.0,19098,3258.0,72,26.0
2014-06-19,201410,201501,3264.0,17156,3280.0,124,48.0
2014-06-20,201410,201501,3278.0,19092,3282.0,194,50.0
2014-06-23,201410,201501,3298.0,8742,3298.0,156,66.0
2014-06-24,201410,201501,3282.0,6520,3264.0,496,32.0
2014-06-25,201410,201501,3288.0,6804,3272.0,158,40.0
2014-06-26,201410,201501,3320.0,11450,3316.0,658,84.0
2014-06-27,201410,201501,3304.0,4814,3294.0,342,62.0
2014-06-30,201410,201501,3286.0,4932,3278.0,136,46.0
2014-07-01,201410,201501,3294.0,3924,3284.0,44,52.0
2014-07-02,201410,201501,3308.0,7372,3302.0,168,70.0
2014-07-03,201410,201501,3310.0,6234,3310.0,224,78.0
2014-07-04,201410,201501,3306.0,5872,3300.0,54,68.0
2014-07-07,201410,201501,3294.0,5172,3290.0,126,58.0
2014-07-08,201410,201501,3312.0,6470,3300.0,342,68.0
2014-07-09,201410,201501,3298.0,5230,3298.0,262,66.0
2014-07-10,201410,201501,3328.0,9708,3314.0,134,82.0
2014-07-11,201410,201501,3342.0,7836,3328.0,128,96.0
2014-07-14,201410,201501,3364.0,12282,3354.0,96,122.0
2014-07-15,201410,201501,3360.0,7740,3346.0,180,114.0
2014-07-16,201410,201501,3344.0,5070,3342.0,120,110.0
2014-07-17,201410,201501,3328.0,6182,3326.0,86,94.0
2014-07-18,201410,201501,3276.0,12988,3270.0,460,38.0
2014-07-21,201410,201501,3284.0,4414,3280.0,234,48.0
2014-07-22,201410,201501,3286.0,4140,3294.0,108,62.0
2014-07-23,201410,201501,3278.0,3616,3282.0,160,50.0
2014-07-24,201410,201501,3288.0,2778,3270.0,102,38.0
2014-07-25,201410,201501,3294.0,4538,3280.0,572,48.0
2014-07-28,201410,201501,3300.0,7096,3290.0,504,58.0
2014-07-29,201410,201501,3320.0,7024,3300.0,1242,68.0
2014-07-30,201410,201501,3300.0,2952,3278.0,210,46.0
2014-07-31,201410,201501,3290.0,3886,3270.0,362,38.0
2014-08-01,201410,201501,3282.0,7408,3264.0,414,32.0
2014-08-04,201410,201501,3290.0,5896,3298.0,996,66.0
