Date,CarryContract,CurrentContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
2010-01-04,201005,201009,3135.0,87300.0,3033.0,498136.0,-60.0
2010-01-05,201005,201009,3142.0,111768.0,3032.0,483411.0,-61.0
2010-01-06,201005,201009,3165.0,111734.0,3058.0,650583.0,-35.0
2010-01-07,201005,201009,3100.0,120893.0,2988.0,762133.0,-105.0
2010-01-08,201005,201009,3084.0,105836.0,2962.0,540942.0,-131.0
2010-01-11,201005,201009,3108.0,42265.0,2985.0,289926.0,-108.0
2010-01-12,201005,201009,3085.0,53636.0,2955.0,320144.0,-138.0
2010-01-13,201005,201009,3010.0,68354.0,2869.0,421742.0,-224.0
2010-01-14,201005,201009,3036.0,38559.0,2881.0,310362.0,-212.0
2010-01-15,201005,201009,3020.0,47241.0,2886.0,520315.0,-207.0
2010-01-18,201005,201009,3030.0,33618.0,2904.0,366364.0,-189.0
2010-01-19,201005,201009,3044.0,26619.0,2910.0,227968.0,-183.0
2010-01-20,201005,201009,3015.0,41988.0,2870.0,372075.0,-223.0
2010-01-21,201005,201009,3024.0,45482.0,2885.0,300406.0,-208.0
2010-01-22,201005,201009,3007.0,42265.0,2870.0,333605.0,-223.0
2010-01-25,201005,201009,3016.0,32219.0,2870.0,210572.0,-223.0
2010-01-26,201005,201009,2975.0,51565.0,2843.0,299048.0,-250.0
2010-01-27,201005,201009,2984.0,30211.0,2852.0,215260.0,-241.0
2010-01-28,201005,201009,2925.0,52449.0,2807.0,274017.0,-286.0
2010-01-29,201005,201009,2887.0,45578.0,2788.0,226185.0,-305.0
2010-02-01,201005,201009,2819.0,77723.0,2721.0,416790.0,-372.0
2010-02-02,201005,201009,2787.0,52241.0,2698.0,389310.0,-395.0
2010-02-03,201005,201009,2831.0,46681.0,2742.0,301461.0,-351.0
2010-02-04,201005,201009,2815.0,50718.0,2718.0,344602.0,-375.0
2010-02-05,201005,201009,2823.0,50613.0,2730.0,420773.0,-363.0
2010-02-08,201005,201009,2836.0,38840.0,2756.0,236074.0,-337.0
2010-02-09,201005,201009,2834.0,19877.0,2758.0,216032.0,-335.0
2010-02-10,201005,201009,2827.0,27255.0,2742.0,339954.0,-351.0
2010-02-11,201005,201009,2881.0,50500.0,2780.0,291096.0,-313.0
2010-02-12,201005,201009,2873.0,15050.0,2776.0,131568.0,-317.0
2010-02-22,201005,201009,2914.0,28520.0,2813.0,274644.0,-280.0
2010-02-23,201005,201009,2961.0,47010.0,2868.0,622466.0,-225.0
2010-02-24,201005,201009,2954.0,18885.0,2854.0,381095.0,-239.0
2010-02-25,201009,201101,2832.0,425310.0,2819.0,23296.0,-261.0
2010-02-26,201009,201101,2814.0,271791.0,2803.0,21242.0,-277.0
2010-03-01,201009,201101,2851.0,453769.0,2832.0,22411.0,-248.0
2010-03-02,201009,201101,2821.0,334728.0,2810.0,22185.0,-270.0
2010-03-03,201009,201101,2831.0,286855.0,2821.0,17634.0,-259.0
2010-03-04,201009,201101,2783.0,473579.0,2778.0,30386.0,-302.0
2010-03-05,201009,201101,2777.0,351832.0,2775.0,23932.0,-305.0
2010-03-08,201009,201101,2797.0,294121.0,2788.0,26719.0,-292.0
2010-03-09,201009,201101,2794.0,357274.0,2789.0,25215.0,-291.0
2010-03-10,201009,201101,2787.0,204521.0,2774.0,23736.0,-306.0
2010-03-11,201009,201101,2784.0,417090.0,2768.0,40161.0,-312.0
2010-03-12,201009,201101,2749.0,357243.0,2736.0,34358.0,-344.0
2010-03-15,201009,201101,2749.0,281778.0,2742.0,30396.0,-338.0
2010-03-16,201009,201101,2792.0,305404.0,2779.0,39182.0,-301.0
2010-03-17,201009,201101,2798.0,362713.0,2788.0,44098.0,-292.0
2010-03-18,201009,201101,2790.0,298937.0,2781.0,42465.0,-299.0
2010-03-19,201009,201101,2833.0,555848.0,2835.0,122893.0,-245.0
2010-03-22,201009,201101,2828.0,238524.0,2823.0,99731.0,-257.0
2010-03-23,201009,201101,2827.0,212642.0,2820.0,84853.0,-260.0
2010-03-24,201009,201101,2813.0,201789.0,2806.0,76144.0,-274.0
2010-03-25,201009,201101,2824.0,233492.0,2812.0,55406.0,-268.0
2010-03-26,201009,201101,2814.0,298537.0,2804.0,95315.0,-276.0
2010-03-29,201009,201101,2832.0,185402.0,2824.0,93730.0,-256.0
2010-03-30,201009,201101,2844.0,597925.0,2820.0,144621.0,-260.0
2010-03-31,201009,201101,2849.0,323918.0,2819.0,71605.0,-261.0
2010-04-01,201009,201101,2818.0,270532.0,2797.0,68847.0,-283.0
2010-04-02,201009,201101,2830.0,145860.0,2811.0,51586.0,-269.0
2010-04-06,201009,201101,2823.0,178338.0,2809.0,41370.0,-271.0
2010-04-07,201009,201101,2840.0,226259.0,2832.0,110996.0,-248.0
2010-04-08,201009,201101,2826.0,173864.0,2819.0,101132.0,-261.0
2010-04-09,201009,201101,2829.0,136464.0,2829.0,76601.0,-251.0
2010-04-12,201009,201101,2844.0,148589.0,2853.0,180467.0,-227.0
2010-04-13,201009,201101,2856.0,155162.0,2870.0,315265.0,-210.0
2010-04-14,201009,201101,2865.0,207419.0,2867.0,403829.0,-213.0
2010-04-15,201009,201101,2864.0,82639.0,2863.0,252026.0,-217.0
2010-04-16,201009,201101,2884.0,176478.0,2881.0,261712.0,-199.0
2010-04-19,201009,201101,2858.0,232806.0,2853.0,281078.0,-227.0
2010-04-20,201009,201101,2891.0,191613.0,2897.0,609058.0,-183.0
2010-04-21,201009,201101,2885.0,109687.0,2892.0,331557.0,-188.0
2010-04-22,201009,201101,2888.0,90424.0,2893.0,287185.0,-187.0
2010-04-23,201009,201101,2918.0,159269.0,2919.0,482850.0,-161.0
2010-04-26,201009,201101,2929.0,94305.0,2937.0,408359.0,-143.0
2010-04-27,201009,201101,2917.0,100375.0,2930.0,434275.0,-150.0
2010-04-28,201009,201101,2896.0,98099.0,2903.0,406708.0,-177.0
2010-04-29,201009,201101,2900.0,53212.0,2903.0,244775.0,-177.0
2010-04-30,201009,201101,2922.0,79165.0,2944.0,408535.0,-136.0
2010-05-04,201009,201101,2898.0,105001.0,2920.0,445011.0,-160.0
2010-05-05,201009,201101,2913.0,99867.0,2937.0,573045.0,-143.0
2010-05-06,201009,201101,2877.0,127340.0,2892.0,800565.0,-188.0
2010-05-07,201009,201101,2834.0,104853.0,2854.0,605659.0,-226.0
2010-05-10,201009,201101,2875.0,75572.0,2898.0,481641.0,-182.0
2010-05-11,201009,201101,2854.0,37299.0,2881.0,320151.0,-199.0
2010-05-12,201009,201101,2878.0,54370.0,2911.0,520225.0,-169.0
2010-05-13,201009,201101,2875.0,35113.0,2914.0,399249.0,-166.0
2010-05-14,201009,201101,2853.0,36303.0,2884.0,373530.0,-196.0
2010-05-17,201009,201101,2817.0,67576.0,2838.0,595358.0,-242.0
2010-05-18,201009,201101,2830.0,35806.0,2855.0,404557.0,-225.0
2010-05-19,201009,201101,2812.0,38371.0,2835.0,403105.0,-245.0
2010-05-20,201009,201101,2812.0,33936.0,2839.0,342035.0,-241.0
2010-05-21,201009,201101,2817.0,45063.0,2846.0,509220.0,-234.0
2010-05-24,201009,201101,2825.0,36534.0,2852.0,406188.0,-228.0
2010-05-25,201009,201101,2803.0,37819.0,2823.0,473290.0,-257.0
2010-05-26,201009,201101,2805.0,32450.0,2834.0,316056.0,-246.0
2010-05-27,201009,201101,2805.0,20098.0,2838.0,296490.0,-242.0
2010-05-28,201009,201101,2799.0,25724.0,2828.0,322280.0,-252.0
2010-05-31,201009,201101,2768.0,28164.0,2796.0,390429.0,-284.0
2010-06-01,201009,201101,2755.0,50417.0,2792.0,362438.0,-288.0
2010-06-02,201009,201101,2755.0,35096.0,2798.0,310003.0,-282.0
2010-06-03,201009,201101,2758.0,32695.0,2805.0,257997.0,-275.0
2010-06-04,201009,201101,2776.0,30478.0,2818.0,217377.0,-262.0
2010-06-07,201009,201101,2723.0,47931.0,2771.0,310343.0,-309.0
2010-06-08,201009,201101,2723.0,19810.0,2775.0,143257.0,-305.0
2010-06-09,201009,201101,2709.0,46372.0,2765.0,266882.0,-315.0
2010-06-10,201009,201101,2713.0,30113.0,2765.0,210374.0,-315.0
2010-06-11,201009,201101,2704.0,17400.0,2752.0,167368.0,-328.0
