Date,CarryContract,CurrentContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
2010-01-04,201003,201005,4198.0,30530,4579.0,1809996,2509.0
2010-01-05,201003,201005,4227.0,19098,4589.0,1320756,2519.0
2010-01-06,201005,201010,4622.0,1481228,4803.0,51106,2552.0
2010-01-07,201005,201010,4489.0,2196160,4730.0,132568,2479.0
2010-01-08,201005,201010,4462.0,1520076,4743.0,166598,2492.0
2010-01-11,201005,201010,4516.0,1130570,4834.0,163666,2583.0
2010-01-12,201005,201010,4510.0,1176288,4802.0,159214,2551.0
2010-01-13,201005,201010,4418.0,1461688,4725.0,129270,2474.0
2010-01-14,201005,201010,4433.0,1076498,4742.0,83028,2491.0
2010-01-15,201005,201010,4368.0,1276950,4678.0,123094,2427.0
2010-01-18,201005,201010,4395.0,1148302,4704.0,104532,2453.0
2010-01-19,201005,201010,4382.0,1236092,4712.0,95250,2461.0
2010-01-20,201005,201010,4364.0,1243448,4692.0,97802,2441.0
2010-01-21,201005,201010,4352.0,960118,4698.0,79182,2447.0
2010-01-22,201005,201010,4288.0,1207020,4600.0,145552,2349.0
2010-01-25,201005,201010,4278.0,870946,4583.0,133164,2332.0
2010-01-26,201005,201010,4265.0,818680,4586.0,147088,2335.0
2010-01-27,201005,201010,4316.0,1452742,4612.0,129912,2361.0
2010-01-28,201005,201010,4293.0,1793390,4594.0,144488,2343.0
2010-01-29,201005,201010,4300.0,1234868,4607.0,87068,2356.0
2010-02-01,201005,201010,4295.0,1156486,4592.0,105946,2341.0
2010-02-02,201005,201010,4159.0,2453186,4417.0,449682,2166.0
2010-02-03,201005,201010,4180.0,1448904,4482.0,349742,2231.0
2010-02-04,201005,201010,4115.0,1152398,4435.0,230636,2184.0
2010-02-05,201005,201010,4109.0,849138,4415.0,237282,2164.0
2010-02-08,201005,201010,4129.0,577962,4432.0,109946,2181.0
2010-02-09,201005,201010,4157.0,617652,4453.0,96034,2202.0
2010-02-10,201005,201010,4198.0,732940,4511.0,163428,2260.0
2010-02-11,201005,201010,4229.0,497494,4520.0,100570,2269.0
2010-02-12,201005,201010,4293.0,599774,4593.0,139600,2342.0
2010-02-22,201005,201010,4243.0,1055136,4556.0,235634,2305.0
2010-02-23,201005,201010,4283.0,1147210,4607.0,279942,2356.0
2010-02-24,201005,201010,4253.0,1098624,4601.0,250522,2350.0
2010-02-25,201005,201010,4209.0,929826,4597.0,443202,2346.0
2010-02-26,201005,201010,4214.0,703304,4620.0,430286,2369.0
2010-03-01,201005,201010,4209.0,520590,4677.0,694750,2426.0
2010-03-02,201005,201010,4155.0,425640,4609.0,850004,2358.0
2010-03-03,201005,201010,4143.0,234628,4586.0,857462,2335.0
2010-03-04,201005,201010,4141.0,231868,4528.0,1139868,2277.0
2010-03-05,201005,201010,4168.0,233628,4560.0,972182,2309.0
2010-03-08,201005,201010,4189.0,268998,4626.0,1078198,2375.0
2010-03-09,201005,201010,4195.0,152230,4636.0,1233638,2385.0
2010-03-10,201005,201010,4209.0,182522,4649.0,1473124,2398.0
2010-03-11,201005,201010,4213.0,145818,4652.0,2179364,2401.0
2010-03-12,201005,201010,4209.0,85232,4658.0,1492582,2407.0
2010-03-15,201005,201010,4244.0,136538,4660.0,1417516,2409.0
2010-03-16,201005,201010,4346.0,468458,4780.0,3010260,2529.0
2010-03-17,201005,201010,4338.0,286308,4763.0,3359552,2512.0
2010-03-18,201005,201010,4320.0,130678,4733.0,2106268,2482.0
2010-03-19,201005,201010,4346.0,119518,4757.0,1684262,2506.0
2010-03-22,201005,201010,4358.0,147760,4768.0,2049968,2517.0
2010-03-23,201005,201010,4359.0,92392,4742.0,1517210,2491.0
2010-03-24,201005,201010,4418.0,186266,4778.0,1723924,2527.0
2010-03-25,201005,201010,4429.0,156356,4796.0,1511786,2545.0
2010-03-26,201005,201010,4439.0,181070,4793.0,2573042,2542.0
2010-03-29,201005,201010,4461.0,113982,4810.0,1763838,2559.0
2010-03-30,201005,201010,4426.0,93918,4761.0,1950698,2510.0
2010-03-31,201005,201010,4416.0,65020,4755.0,1408260,2504.0
2010-04-01,201005,201010,4411.0,62084,4753.0,1429706,2502.0
2010-04-02,201005,201010,4418.0,44764,4786.0,1031424,2535.0
2010-04-06,201005,201010,4438.0,53390,4824.0,1307376,2573.0
2010-04-07,201005,201010,4460.0,36612,4846.0,1288222,2595.0
2010-04-08,201005,201010,4431.0,34092,4810.0,1165992,2559.0
2010-04-09,201005,201010,4464.0,25250,4848.0,1302658,2597.0
2010-04-12,201005,201010,4499.0,40050,4872.0,1533734,2621.0
2010-04-13,201005,201010,4556.0,99118,4881.0,1749724,2630.0
2010-04-14,201005,201010,4573.0,79864,4854.0,1743728,2603.0
2010-04-15,201005,201010,4509.0,51172,4819.0,1949828,2568.0
2010-04-16,201005,201010,4514.0,37080,4838.0,1656806,2587.0
2010-04-19,201005,201010,4461.0,32472,4752.0,2397786,2501.0
2010-04-20,201005,201010,4474.0,12898,4772.0,1686264,2521.0
2010-04-21,201005,201010,4455.0,16648,4759.0,1698588,2508.0
2010-04-22,201005,201010,4443.0,13226,4734.0,1372024,2483.0
2010-04-23,201005,201010,4422.0,13418,4740.0,1211784,2489.0
2010-04-26,201010,201101,4734.0,1249174,4812.0,14754,2483.0
2010-04-27,201010,201101,4678.0,1613854,4760.0,30628,2431.0
2010-04-28,201010,201101,4588.0,1844532,4678.0,21980,2349.0
2010-04-29,201010,201101,4583.0,1839246,4675.0,18444,2346.0
2010-04-30,201010,201101,4635.0,1755184,4735.0,21476,2406.0
2010-05-04,201010,201101,4665.0,2101884,4770.0,46648,2441.0
2010-05-05,201010,201101,4653.0,2260862,4755.0,35194,2426.0
2010-05-06,201010,201101,4637.0,2128592,4736.0,23006,2407.0
2010-05-07,201010,201101,4545.0,2467400,4641.0,32518,2312.0
2010-05-10,201010,201101,4534.0,2868580,4630.0,30610,2301.0
2010-05-11,201010,201101,4479.0,2786906,4568.0,30570,2239.0
2010-05-12,201010,201101,4406.0,3290276,4519.0,39026,2190.0
2010-05-13,201010,201101,4400.0,3072762,4511.0,28886,2182.0
