Date,CarryContract,CurrentContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
2012-12-28,201305,201309,2398.0,421116,2340.0,67996,-514.0
2012-12-31,201305,201309,2340.0,237194,2294.0,51426,-560.0
2013-01-04,201305,201309,2370.0,193882,2303.0,35492,-551.0
2013-01-07,201305,201309,2455.0,406060,2372.0,157112,-482.0
2013-01-08,201305,201309,2480.0,899582,2363.0,126234,-491.0
2013-01-09,201305,201309,2478.0,696804,2347.0,75976,-507.0
2013-01-10,201305,201309,2462.0,591086,2351.0,50908,-503.0
2013-01-11,201305,201309,2509.0,1621470,2369.0,94640,-485.0
2013-01-14,201305,201309,2541.0,1299760,2401.0,89820,-453.0
2013-01-15,201305,201309,2562.0,1674334,2393.0,160264,-461.0
2013-01-16,201305,201309,2586.0,1070868,2411.0,69252,-443.0
2013-01-17,201305,201309,2571.0,815406,2440.0,171090,-414.0
2013-01-18,201305,201309,2573.0,947392,2452.0,188530,-402.0
2013-01-21,201305,201309,2573.0,568840,2474.0,112270,-380.0
2013-01-22,201305,201309,2591.0,543526,2469.0,102664,-385.0
2013-01-23,201305,201309,2576.0,411626,2453.0,69210,-401.0
2013-01-24,201305,201309,2493.0,771526,2372.0,184070,-482.0
2013-01-25,201305,201309,2504.0,595570,2370.0,87964,-484.0
2013-01-28,201305,201309,2521.0,554936,2372.0,109032,-482.0
2013-01-29,201305,201309,2515.0,375244,2383.0,129112,-471.0
2013-01-30,201305,201309,2531.0,301474,2407.0,103108,-447.0
2013-01-31,201305,201309,2537.0,174358,2414.0,61084,-440.0
2013-02-01,201305,201309,2521.0,639604,2402.0,154074,-452.0
2013-02-04,201305,201309,2561.0,496364,2433.0,175732,-421.0
2013-02-05,201305,201309,2586.0,986224,2456.0,265480,-398.0
2013-02-06,201305,201309,2579.0,308816,2451.0,153390,-403.0
2013-02-07,201305,201309,2567.0,172970,2454.0,97268,-400.0
2013-02-08,201305,201309,2586.0,137230,2477.0,209840,-377.0
2013-02-18,201305,201309,2569.0,70688,2473.0,178628,-381.0
2013-02-19,201305,201309,2632.0,267514,2541.0,972538,-313.0
2013-02-20,201305,201309,2641.0,112386,2544.0,651684,-310.0
2013-02-21,201305,201309,2664.0,133854,2582.0,1543014,-272.0
2013-02-22,201305,201309,2673.0,209252,2572.0,2491154,-282.0
2013-02-25,201305,201309,2634.0,180928,2503.0,1683260,-351.0
2013-02-26,201305,201309,2639.0,148276,2498.0,1923248,-356.0
2013-02-27,201305,201309,2647.0,92586,2514.0,1649002,-340.0
