Date,CarryContract,CurrentContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
2019-12-06,202005,202009,1561.0,318030,1584.0,17602,565.0
2019-12-09,202005,202009,1572.0,167478,1587.0,4914,568.0
2019-12-10,202005,202009,1634.0,221672,1654.0,6668,635.0
2019-12-11,202005,202009,1649.0,459154,1664.0,6484,645.0
2019-12-12,202005,202009,1630.0,245622,1642.0,3880,623.0
2019-12-13,202005,202009,1630.0,132320,1640.0,1444,621.0
2019-12-16,202005,202009,1632.0,277650,1651.0,5056,632.0
2019-12-17,202005,202009,1623.0,223740,1643.0,4090,624.0
2019-12-18,202005,202009,1628.0,195192,1651.0,3570,632.0
2019-12-19,202005,202009,1626.0,130952,1652.0,2014,633.0
2019-12-20,202005,202009,1611.0,134436,1644.0,1808,625.0
2019-12-23,202005,202009,1601.0,113058,1638.0,1646,619.0
2019-12-24,202005,202009,1604.0,62084,1644.0,1316,625.0
2019-12-25,202005,202009,1603.0,57878,1645.0,946,626.0
2019-12-26,202005,202009,1609.0,55730,1647.0,2484,628.0
2019-12-27,202005,202009,1608.0,102264,1653.0,2154,634.0
2019-12-30,202005,202009,1633.0,79116,1683.0,1688,664.0
2019-12-31,202005,202009,1633.0,79146,1691.0,4014,672.0
2020-01-02,202005,202009,1625.0,26179,1680.0,1519,661.0
2020-01-03,202005,202009,1629.0,23178,1689.0,813,670.0
2020-01-06,202005,202009,1638.0,40966,1689.0,1492,670.0
2020-01-07,202005,202009,1627.0,19256,1682.0,548,663.0
2020-01-08,202005,202009,1630.0,19972,1684.0,979,665.0
2020-01-09,202005,202009,1632.0,27286,1679.0,1367,660.0
2020-01-10,202005,202009,1658.0,173405,1699.0,2083,680.0
2020-01-13,202005,202009,1653.0,30481,1691.0,523,672.0
2020-01-14,202005,202009,1653.0,23832,1694.0,439,675.0
2020-01-15,202005,202009,1665.0,129730,1694.0,2967,675.0
2020-01-16,202005,202009,1668.0,34266,1693.0,516,674.0
2020-01-17,202005,202009,1677.0,40310,1706.0,449,687.0
2020-01-20,202005,202009,1667.0,31571,1695.0,819,676.0
2020-01-21,202005,202009,1655.0,17726,1686.0,311,667.0
2020-01-22,202005,202009,1642.0,33941,1674.0,1133,655.0
2020-01-23,202005,202009,1615.0,24597,1648.0,835,629.0
2020-02-03,202005,202009,1519.0,30443,1564.0,1330,545.0
2020-02-04,202005,202009,1561.0,19994,1598.0,639,579.0
2020-02-05,202005,202009,1560.0,18788,1603.0,636,584.0
2020-02-06,202005,202009,1574.0,13995,1619.0,490,600.0
