Date,CarryContract,CurrentContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
2010-01-04,201003,201005,7635.0,73753.0,8090.0,31044.0,7764.0
2010-01-05,201003,201005,7700.0,113781.0,8235.0,47970.0,7909.0
2010-01-06,201003,201005,7655.0,51421.0,8190.0,35473.0,7864.0
2010-01-07,201003,201005,7560.0,60543.0,8040.0,38880.0,7714.0
2010-01-08,201003,201005,7470.0,29973.0,7890.0,27927.0,7564.0
2010-01-11,201003,201005,7525.0,15312.0,8070.0,36431.0,7744.0
2010-01-12,201003,201005,7450.0,9423.0,8035.0,34443.0,7709.0
2010-01-13,201003,201005,7325.0,13187.0,7780.0,32603.0,7454.0
2010-01-14,201003,201005,7390.0,5099.0,7840.0,21636.0,7514.0
2010-01-15,201003,201005,7370.0,3332.0,7770.0,34625.0,7444.0
2010-01-18,201003,201005,7310.0,4655.0,7795.0,24532.0,7469.0
2010-01-19,201003,201005,7310.0,3539.0,7775.0,27163.0,7449.0
2010-01-20,201003,201005,7280.0,2320.0,7740.0,29227.0,7414.0
2010-01-21,201003,201005,7280.0,2063.0,7770.0,21664.0,7444.0
2010-01-22,201003,201005,7260.0,3329.0,7750.0,56828.0,7424.0
2010-01-25,201003,201005,7250.0,2465.0,7715.0,24471.0,7389.0
2010-01-26,201003,201005,7220.0,1761.0,7605.0,28133.0,7279.0
2010-01-27,201003,201005,7195.0,1165.0,7560.0,24809.0,7234.0
2010-01-28,201003,201005,7065.0,1926.0,7420.0,29284.0,7094.0
2010-01-29,201003,201005,7015.0,1340.0,7350.0,26198.0,7024.0
2010-02-01,201003,201005,6900.0,2417.0,7290.0,15835.0,6964.0
2010-02-02,201003,201005,6950.0,2137.0,7310.0,17438.0,6984.0
2010-02-03,201003,201005,7080.0,1527.0,7470.0,30857.0,7144.0
2010-02-04,201003,201005,7065.0,581.0,7445.0,28049.0,7119.0
2010-02-05,201003,201005,7110.0,1234.0,7380.0,19812.0,7054.0
2010-02-08,201003,201005,7110.0,882.0,7440.0,22924.0,7114.0
2010-02-09,201003,201005,7120.0,474.0,7465.0,16886.0,7139.0
2010-02-10,201003,201005,7135.0,279.0,7495.0,17232.0,7169.0
2010-02-11,201003,201005,7150.0,571.0,7535.0,13341.0,7209.0
2010-02-12,201003,201005,7200.0,698.0,7610.0,9548.0,7284.0
