Date,FirstContract,SecondContract,CarryContract,CurrentContract
2012-05-10,201209,201212,201209,201212
2012-05-11,201209,201212,201209,201212
2012-05-14,201209,201212,201209,201212
2012-05-15,201209,201212,201209,201212
2012-05-16,201209,201212,201209,201212
2012-05-17,201209,201212,201209,201212
2012-05-18,201209,201212,201209,201212
2012-05-21,201209,201212,201209,201212
2012-05-22,201209,201212,201209,201212
2012-05-23,201209,201212,201209,201212
2012-05-24,201209,201212,201209,201212
2012-05-25,201209,201212,201209,201212
2012-05-28,201209,201212,201209,201212
2012-05-29,201209,201212,201209,201212
2012-05-30,201209,201212,201209,201212
2012-05-31,201209,201212,201209,201212
2012-06-01,201209,201212,201209,201212
2012-06-04,201209,201212,201209,201212
2012-06-05,201209,201212,201209,201212
2012-06-06,201209,201212,201209,201212
2012-06-07,201209,201212,201209,201212
2012-06-08,201209,201212,201209,201212
2012-06-11,201209,201212,201209,201212
2012-06-12,201209,201212,201209,201212
2012-06-13,201209,201212,201209,201212
2012-06-14,201209,201212,201209,201212
2012-06-15,201209,201212,201209,201212
2012-06-18,201209,201212,201209,201212
2012-06-19,201209,201212,201209,201212
2012-06-20,201209,201212,201209,201212
2012-06-21,201209,201212,201209,201212
2012-06-25,201209,201212,201209,201212
2012-06-26,201209,201212,201209,201212
2012-06-27,201209,201212,201209,201212
2012-06-28,201209,201212,201209,201212
2012-06-29,201209,201212,201209,201212
2012-07-02,201209,201212,201209,201212
2012-07-03,201209,201212,201209,201212
2012-07-04,201209,201212,201209,201212
2012-07-05,201209,201212,201209,201212
2012-07-06,201209,201212,201209,201212
2012-07-09,201209,201212,201209,201212
2012-07-10,201209,201212,201209,201212
2012-07-11,201209,201212,201209,201212
2012-07-12,201209,201212,201209,201212
2012-07-13,201209,201212,201209,201212
2012-07-16,201209,201212,201209,201212
2012-07-17,201209,201212,201209,201212
2012-07-18,201209,201212,201209,201212
2012-07-19,201209,201212,201209,201212
2012-07-20,201209,201212,201209,201212
2012-07-23,201212,201209,201209,201212
2012-07-24,201212,201209,201209,201212
2012-07-25,201212,201209,201209,201212
2012-07-26,201212,201209,201209,201212
2012-07-27,201212,201209,201209,201212
2012-07-30,201212,201209,201209,201212
2012-07-31,201212,201209,201209,201212
2012-08-01,201212,201209,201209,201212
2012-08-02,201212,201209,201209,201212
2012-08-03,201212,201209,201209,201212
2012-08-06,201212,201209,201209,201212
2012-08-07,201212,201209,201209,201212
2012-08-08,201212,201209,201209,201212
2012-08-09,201212,201209,201209,201212
2012-08-10,201212,201209,201209,201212
2012-08-13,201212,201209,201209,201212
2012-08-14,201212,201209,201209,201212
2012-08-15,201212,201209,201209,201212
2012-08-16,201212,201209,201209,201212
2012-08-17,201212,201209,201209,201212
2012-08-20,201212,201209,201209,201212
2012-08-21,201212,201209,201209,201212
2012-08-22,201212,201209,201209,201212
2012-08-23,201212,201209,201209,201212
2012-08-24,201212,201209,201209,201212
2012-08-27,201212,201209,201209,201212
2012-08-28,201212,201209,201209,201212
2012-08-29,201212,201209,201209,201212
2012-08-30,201212,201209,201209,201212
2012-08-31,201212,201209,201209,201212
2012-09-03,201212,201301,201212,201301
2012-09-04,201212,201301,201212,201301
2012-09-05,201212,201301,201212,201301
2012-09-06,201212,201301,201212,201301
2012-09-07,201212,201301,201212,201301
2012-09-10,201212,201301,201212,201301
2012-09-11,201212,201301,201212,201301
2012-09-12,201212,201301,201212,201301
2012-09-13,201212,201301,201212,201301
2012-09-14,201212,201301,201212,201301
2012-09-17,201212,201301,201212,201301
2012-09-18,201212,201301,201212,201301
2012-09-19,201212,201301,201212,201301
2012-09-20,201212,201301,201212,201301
2012-09-21,201212,201301,201212,201301
2012-09-24,201212,201301,201212,201301
2012-09-25,201212,201301,201212,201301
2012-09-26,201212,201301,201212,201301
2012-09-27,201212,201301,201212,201301
2012-09-28,201212,201301,201212,201301
2012-10-08,201212,201301,201212,201301
2012-10-09,201212,201301,201212,201301
2012-10-10,201212,201301,201212,201301
2012-10-11,201212,201301,201212,201301
2012-10-12,201212,201301,201212,201301
2012-10-15,201212,201301,201212,201301
2012-10-16,201212,201301,201212,201301
2012-10-17,201212,201301,201212,201301
2012-10-18,201212,201301,201212,201301
2012-10-19,201212,201301,201212,201301
2012-10-22,201212,201301,201212,201301
2012-10-23,201212,201301,201212,201301
2012-10-24,201212,201301,201212,201301
2012-10-25,201212,201301,201212,201301
2012-10-26,201212,201301,201212,201301
2012-10-29,201212,201301,201212,201301
2012-10-30,201212,201301,201212,201301
2012-10-31,201212,201301,201212,201301
2012-11-01,201301,201212,201212,201301
2012-11-02,201301,201212,201212,201301
2012-11-05,201301,201212,201212,201301
2012-11-06,201301,201212,201212,201301
2012-11-07,201301,201212,201212,201301
2012-11-08,201301,201212,201212,201301
2012-11-09,201301,201212,201212,201301
2012-11-12,201301,201212,201212,201301
2012-11-13,201301,201212,201212,201301
2012-11-14,201301,201212,201212,201301
2012-11-15,201301,201212,201212,201301
2012-11-16,201301,201212,201212,201301
2012-11-19,201301,201212,201212,201301
2012-11-20,201301,201306,201301,201306
2012-11-21,201301,201306,201301,201306
2012-11-22,201301,201212,201301,201306
2012-11-23,201301,201306,201301,201306
2012-11-26,201301,201306,201301,201306
2012-11-27,201301,201306,201301,201306
2012-11-28,201301,201306,201301,201306
2012-11-29,201301,201306,201301,201306
2012-11-30,201301,201306,201301,201306
2012-12-03,201301,201306,201301,201306
2012-12-04,201301,201306,201301,201306
2012-12-05,201301,201306,201301,201306
2012-12-06,201301,201306,201301,201306
2012-12-07,201301,201306,201301,201306
2012-12-10,201301,201306,201301,201306
2012-12-11,201301,201306,201301,201306
2012-12-12,201301,201306,201301,201306
2012-12-13,201306,201301,201301,201306
2012-12-14,201306,201301,201301,201306
2012-12-17,201306,201301,201301,201306
2012-12-18,201306,201301,201301,201306
2012-12-19,201306,201301,201301,201306
2012-12-20,201306,201301,201301,201306
2012-12-21,201306,201301,201301,201306
2012-12-24,201306,201301,201301,201306
2012-12-25,201306,201301,201301,201306
2012-12-26,201306,201301,201301,201306
2012-12-27,201306,201301,201301,201306
2012-12-28,201306,201301,201301,201306
2012-12-31,201306,201301,201301,201306
2013-01-04,201306,201301,201301,201306
2013-01-07,201306,201301,201301,201306
2013-01-08,201306,201301,201301,201306
2013-01-09,201306,201301,201301,201306
2013-01-10,201306,201301,201301,201306
2013-01-11,201306,201301,201301,201306
2013-01-14,201306,201301,201301,201306
2013-01-15,201306,201302,201302,201306
2013-01-16,201306,201302,201302,201306
2013-01-17,201306,201302,201302,201306
2013-01-18,201306,201302,201302,201306
2013-01-21,201306,201302,201302,201306
2013-01-22,201306,201302,201302,201306
2013-01-23,201306,201302,201302,201306
2013-01-24,201306,201302,201302,201306
2013-01-25,201306,201302,201302,201306
2013-01-28,201306,201302,201302,201306
2013-01-29,201306,201302,201302,201306
2013-01-30,201306,201302,201302,201306
2013-01-31,201306,201302,201302,201306
2013-02-01,201306,201305,201305,201306
2013-02-04,201306,201302,201302,201306
2013-02-05,201306,201302,201302,201306
2013-02-06,201306,201302,201302,201306
2013-02-07,201306,201302,201302,201306
2013-02-08,201306,201303,201303,201306
2013-02-18,201306,201302,201302,201306
2013-02-19,201306,201303,201303,201306
2013-02-20,201306,201312,201306,201312
2013-02-21,201306,201303,201306,201312
2013-02-22,201306,201312,201306,201312
2013-02-25,201306,201312,201306,201312
2013-02-26,201306,201312,201306,201312
2013-02-27,201306,201312,201306,201312
2013-02-28,201306,201303,201306,201312
2013-03-01,201306,201303,201303,201306
2013-03-04,201306,201312,201306,201312
2013-03-05,201306,201303,201306,201312
2013-03-06,201306,201303,201303,201306
2013-03-07,201306,201303,201303,201306
2013-03-08,201306,201303,201303,201306
2013-03-11,201306,201303,201303,201306
2013-03-12,201306,201303,201303,201306
2013-03-13,201306,201312,201306,201312
2013-03-14,201306,201312,201306,201312
2013-03-15,201306,201312,201306,201312
2013-03-18,201306,201312,201306,201312
2013-03-19,201306,201312,201306,201312
2013-03-20,201306,201312,201306,201312
2013-03-21,201306,201312,201306,201312
2013-03-22,201306,201312,201306,201312
2013-03-25,201306,201312,201306,201312
2013-03-26,201306,201312,201306,201312
2013-03-27,201306,201312,201306,201312
2013-03-28,201306,201312,201306,201312
2013-03-29,201306,201312,201306,201312
2013-04-01,201306,201312,201306,201312
2013-04-02,201306,201312,201306,201312
2013-04-03,201306,201312,201306,201312
2013-04-08,201306,201312,201306,201312
2013-04-09,201306,201312,201306,201312
2013-04-10,201306,201312,201306,201312
2013-04-11,201306,201312,201306,201312
2013-04-12,201306,201312,201306,201312
2013-04-15,201306,201312,201306,201312
2013-04-16,201306,201312,201306,201312
2013-04-17,201306,201312,201306,201312
2013-04-18,201306,201312,201306,201312
2013-04-19,201306,201312,201306,201312
2013-04-22,201306,201312,201306,201312
2013-04-23,201306,201312,201306,201312
2013-04-24,201306,201312,201306,201312
2013-04-25,201306,201312,201306,201312
2013-04-26,201306,201312,201306,201312
2013-05-02,201306,201312,201306,201312
2013-05-03,201306,201312,201306,201312
2013-05-06,201312,201306,201306,201312
2013-05-07,201312,201306,201306,201312
2013-05-08,201312,201306,201306,201312
2013-05-09,201312,201306,201306,201312
2013-05-10,201312,201306,201306,201312
2013-05-13,201312,201306,201306,201312
2013-05-14,201312,201306,201306,201312
2013-05-15,201312,201306,201306,201312
2013-05-16,201312,201306,201306,201312
2013-05-17,201312,201306,201306,201312
2013-05-20,201312,201306,201306,201312
2013-05-21,201312,201306,201306,201312
2013-05-22,201312,201306,201306,201312
2013-05-23,201312,201306,201306,201312
2013-05-24,201312,201306,201306,201312
2013-05-27,201312,201306,201306,201312
2013-05-28,201312,201306,201306,201312
2013-05-29,201312,201306,201306,201312
2013-05-30,201312,201306,201306,201312
2013-05-31,201312,201306,201306,201312
2013-06-03,201312,201306,201306,201312
2013-06-04,201312,201306,201306,201312
2013-06-05,201312,201306,201306,201312
2013-06-06,201312,201306,201306,201312
2013-06-07,201312,201306,201306,201312
2013-06-13,201312,201306,201306,201312
2013-06-14,201312,201306,201306,201312
2013-06-17,201312,201306,201306,201312
2013-06-18,201312,201309,201309,201312
2013-06-19,201312,201309,201309,201312
2013-06-20,201312,201309,201309,201312
2013-06-21,201312,201309,201309,201312
2013-06-24,201312,201309,201309,201312
2013-06-25,201312,201309,201309,201312
2013-06-26,201312,201309,201309,201312
2013-06-27,201312,201309,201309,201312
2013-06-28,201312,201309,201309,201312
2013-07-01,201312,201309,201309,201312
2013-07-02,201312,201309,201309,201312
2013-07-03,201312,201309,201309,201312
2013-07-04,201312,201309,201309,201312
2013-07-05,201312,201401,201312,201401
2013-07-08,201312,201401,201312,201401
2013-07-09,201312,201401,201312,201401
2013-07-10,201312,201401,201312,201401
2013-07-11,201312,201401,201312,201401
2013-07-12,201312,201401,201312,201401
2013-07-15,201312,201401,201312,201401
