Date,RollOffset,CurrentContract
2010-01-04,-240 days,201009
2010-02-25,-310 days,201101
2010-06-25,-310 days,201105
2010-09-16,-350 days,201109
2011-01-12,-323 days,201112
2011-01-18,-348 days,201201
2011-05-17,-350 days,201205
2011-09-16,-351 days,201209
2012-02-13,-323 days,201301
2012-06-06,-329 days,201305
2012-12-10,-265 days,201309
2013-04-03,-273 days,201401
2013-07-19,-286 days,201405
2013-11-19,-286 days,201409
2014-04-01,-275 days,201501
2014-07-21,-284 days,201505
2014-11-12,-293 days,201509
2015-04-08,-268 days,201601
2015-08-13,-262 days,201605
2015-12-11,-265 days,201609
2016-04-13,-263 days,201701
2016-08-17,-257 days,201705
2016-12-19,-256 days,201709
2017-04-17,-259 days,201801
2017-08-16,-258 days,201805
2017-12-21,-254 days,201809
2018-04-09,-267 days,201901
2018-08-16,-258 days,201905
2018-12-27,-248 days,201909
2019-04-30,-246 days,202001
2019-08-21,-254 days,202005
2019-12-06,-270 days,202009
2020-04-22,-254 days,202101
2020-08-18,-256 days,202105
2020-09-29,-275 days,202107
2020-12-31,-244 days,202109
2021-05-06,-240 days,202201
2021-08-23,-251 days,202205
2021-12-23,-190 days,202207
2022-01-06,-238 days,202209
2022-04-25,-251 days,202301
2022-09-13,-230 days,202305
2023-02-02,-211 days,202309
2023-05-19,-227 days,202401
2023-08-28,-247 days,202405
2024-01-02,-243 days,202409
