Date,Open,High,Low,Close,Volume
2020-02-18,4441.0,4456.0,4341.0,4427.0,10
2020-02-19,4587.0,4587.0,4505.0,4545.0,71
2020-02-20,4552.0,4598.0,4537.0,4583.0,163
2020-02-21,4583.0,4618.0,4578.0,4612.0,225
2020-02-24,4612.0,4683.0,4612.0,4651.0,239
2020-02-25,4600.0,4628.0,4476.0,4541.0,372
2020-02-26,4491.0,4528.0,4389.0,4494.0,284
2020-02-27,4477.0,4503.0,4401.0,4477.0,232
2020-02-28,4431.0,4469.0,4215.0,4252.0,578
2020-03-02,4162.0,4215.0,4158.0,4197.0,376
2020-03-03,4175.0,4216.0,4156.0,4165.0,195
2020-03-04,4255.0,4264.0,4229.0,4242.0,236
2020-03-05,4238.0,4242.0,4202.0,4229.0,246
2020-03-06,4246.0,4297.0,4241.0,4254.0,362
2020-03-09,4239.0,4245.0,4013.0,4068.0,505
2020-03-10,4075.0,4160.0,4068.0,4152.0,238
2020-03-11,4150.0,4181.0,4142.0,4151.0,81
2020-03-12,4135.0,4135.0,4026.0,4072.0,121
2020-03-13,3919.0,3919.0,3823.0,3847.0,508
2020-03-16,3622.0,3677.0,3622.0,3622.0,548
2020-03-17,3269.0,3270.0,3264.0,3264.0,200
2020-03-18,3195.0,3196.0,3015.0,3071.0,2437
2020-03-19,3018.0,3046.0,2920.0,2992.0,1996
2020-03-20,3029.0,3185.0,3029.0,3185.0,2459
2020-03-23,3179.0,3211.0,3106.0,3181.0,1139
2020-03-24,3398.0,3398.0,3298.0,3398.0,956
2020-03-25,3600.0,3600.0,3509.0,3586.0,880
2020-03-26,3582.0,3587.0,3530.0,3560.0,534
2020-03-27,3560.0,3630.0,3560.0,3608.0,486
2020-03-30,3567.0,3567.0,3395.0,3411.0,1646
2020-03-31,3427.0,3486.0,3427.0,3477.0,367
2020-04-01,3448.0,3466.0,3434.0,3442.0,231
2020-04-02,3411.0,3538.0,3411.0,3532.0,351
2020-04-03,3580.0,3604.0,3562.0,3595.0,307
2020-04-07,3849.0,3849.0,3743.0,3805.0,385
2020-04-08,3706.0,3758.0,3691.0,3734.0,303
2020-04-09,3735.0,3745.0,3720.0,3740.0,260
2020-04-10,3810.0,3822.0,3760.0,3765.0,517
2020-04-13,3778.0,3796.0,3674.0,3750.0,579
2020-04-14,3772.0,3857.0,3756.0,3822.0,348
2020-04-15,3844.0,3865.0,3743.0,3758.0,404
2020-04-16,3758.0,3828.0,3728.0,3821.0,410
2020-04-17,3787.0,3792.0,3672.0,3730.0,865
2020-04-20,3675.0,3746.0,3669.0,3720.0,177
2020-04-21,3731.0,3765.0,3713.0,3738.0,286
2020-04-22,3695.0,3695.0,3580.0,3591.0,642
2020-04-23,3666.0,3763.0,3654.0,3739.0,467
2020-04-24,3722.0,3767.0,3706.0,3761.0,328
2020-04-27,3756.0,3777.0,3710.0,3712.0,355
2020-04-28,3713.0,3715.0,3629.0,3648.0,461
2020-04-29,3696.0,3720.0,3677.0,3699.0,321
2020-04-30,3720.0,3742.0,3690.0,3735.0,282
2020-05-06,3655.0,3730.0,3643.0,3710.0,413
2020-05-07,3688.0,3707.0,3677.0,3683.0,424
2020-05-08,3712.0,3833.0,3707.0,3816.0,602
2020-05-11,3792.0,3854.0,3757.0,3828.0,938
2020-05-12,3813.0,3835.0,3780.0,3799.0,397
2020-05-13,3813.0,3850.0,3795.0,3828.0,577
