Open,High,Low,Close,Volume,Date
5914.0,5952.0,5907.0,5950.0,69,
5926.0,5991.0,5926.0,5962.0,188,
5982.0,5982.0,5923.0,5925.0,188,
5905.0,5937.0,5879.0,5933.0,140,
5928.0,5971.0,5926.0,5949.0,233,
5954.0,5962.0,5905.0,5935.0,197,
5934.0,5944.0,5918.0,5927.0,108,
5928.0,6316.0,5928.0,6160.0,1011,
6176.0,6233.0,6141.0,6187.0,463,
6185.0,6284.0,6160.0,6161.0,762,
6166.0,6226.0,6156.0,6205.0,538,
6200.0,6259.0,6156.0,6212.0,479,
6188.0,6366.0,6180.0,6248.0,1111,
6215.0,6257.0,6043.0,6060.0,1535,
6050.0,6084.0,6006.0,6039.0,948,
6028.0,6079.0,5989.0,6021.0,945,
6028.0,6058.0,6000.0,6054.0,876,
6051.0,6053.0,5900.0,5925.0,1593,
5918.0,5937.0,5885.0,5930.0,821,
5930.0,5955.0,5870.0,5886.0,1309,
5900.0,6108.0,5877.0,6069.0,2192,
6097.0,6099.0,6057.0,6060.0,1443,
6073.0,6083.0,6022.0,6057.0,1582,
6052.0,6062.0,6032.0,6046.0,480,
6064.0,6085.0,6055.0,6078.0,684,
6063.0,6128.0,6056.0,6119.0,976,
6107.0,6167.0,6088.0,6131.0,837,
6138.0,6172.0,6091.0,6112.0,890,
6113.0,6157.0,6105.0,6154.0,281,
6160.0,6160.0,6109.0,6144.0,482,
6136.0,6169.0,6108.0,6125.0,845,
6121.0,6125.0,6007.0,6032.0,1039,
6027.0,6096.0,6027.0,6089.0,412,2024-01-02
6066.0,6085.0,6027.0,6034.0,764,2024-01-03
5995.0,5999.0,5908.0,5915.0,1682,2024-01-04
5917.0,5973.0,5890.0,5945.0,757,2024-01-05
5944.0,6001.0,5899.0,5951.0,1536,2024-01-08
5927.0,5967.0,5920.0,5954.0,651,2024-01-09
5962.0,5976.0,5918.0,5920.0,530,2024-01-10
5932.0,5958.0,5923.0,5947.0,487,2024-01-11
5955.0,5985.0,5878.0,5935.0,1531,2024-01-12
5965.0,6029.0,5959.0,6013.0,1062,2024-01-15
6002.0,6009.0,5975.0,5989.0,475,2024-01-16
5982.0,5999.0,5927.0,5929.0,993,2024-01-17
5948.0,5948.0,5888.0,5920.0,989,2024-01-18
5915.0,5937.0,5886.0,5919.0,873,2024-01-19
5929.0,5939.0,5766.0,5766.0,1541,2024-01-22
5790.0,5825.0,5755.0,5820.0,1235,2024-01-23
5813.0,5851.0,5809.0,5845.0,304,2024-01-24
5888.0,5903.0,5857.0,5883.0,863,2024-01-25
5890.0,5908.0,5869.0,5904.0,618,2024-01-26
5899.0,5930.0,5873.0,5928.0,1033,2024-01-29
5940.0,5973.0,5904.0,5963.0,568,2024-01-30
5956.0,5978.0,5940.0,5944.0,414,2024-01-31
5974.0,5975.0,5919.0,5923.0,582,2024-02-01
5896.0,5956.0,5861.0,5943.0,1319,2024-02-02
5943.0,5950.0,5855.0,5867.0,1924,2024-02-05
5849.0,5860.0,5826.0,5833.0,566,2024-02-06
5825.0,5843.0,5776.0,5785.0,534,2024-02-07
5792.0,5834.0,5787.0,5826.0,538,2024-02-08
5986.0,5988.0,5929.0,5953.0,596,2024-02-19
5950.0,5950.0,5924.0,5928.0,300,2024-02-20
5948.0,5954.0,5935.0,5946.0,617,2024-02-21
5943.0,5950.0,5911.0,5939.0,541,2024-02-22
5939.0,5940.0,5874.0,5886.0,606,2024-02-23
5894.0,5920.0,5883.0,5906.0,1497,2024-02-26
5871.0,5886.0,5862.0,5875.0,703,2024-02-27
5888.0,5891.0,5847.0,5855.0,745,2024-02-28
5849.0,5874.0,5847.0,5867.0,386,2024-02-29
5843.0,5918.0,5841.0,5913.0,1100,2024-03-01
5913.0,6000.0,5889.0,5976.0,1550,2024-03-04
5981.0,6110.0,5977.0,6109.0,2477,2024-03-05
6118.0,6179.0,6081.0,6106.0,1823,2024-03-06
6116.0,6170.0,6105.0,6137.0,1465,2024-03-07
6143.0,6174.0,6124.0,6160.0,1301,2024-03-08
6165.0,6182.0,6112.0,6155.0,1847,2024-03-11
6156.0,6174.0,6143.0,6153.0,615,2024-03-12
6151.0,6153.0,6103.0,6139.0,1404,2024-03-13
6166.0,6339.0,6161.0,6277.0,3022,2024-03-14
6279.0,6379.0,6248.0,6336.0,1739,2024-03-15
6341.0,6414.0,6301.0,6326.0,2191,2024-03-18
6358.0,6377.0,6294.0,6303.0,1559,2024-03-19
6312.0,6340.0,6274.0,6331.0,714,2024-03-20
6307.0,6507.0,6300.0,6498.0,2402,2024-03-21
6454.0,6466.0,6306.0,6317.0,2413,2024-03-22
6349.0,6420.0,6335.0,6362.0,2577,2024-03-25
6379.0,6399.0,6353.0,6358.0,1170,2024-03-26
6388.0,6410.0,6320.0,6349.0,1965,2024-03-27
6350.0,6396.0,6340.0,6390.0,6836,2024-03-28
6401.0,6497.0,6368.0,6479.0,3484,2024-03-29
6481.0,6538.0,6452.0,6506.0,13065,2024-04-01
6495.0,6572.0,6424.0,6571.0,5096,2024-04-02
6596.0,6805.0,6551.0,6805.0,4706,2024-04-03
6910.0,7117.0,6810.0,7117.0,10434,2024-04-08
7116.0,7289.0,7021.0,7182.0,8651,2024-04-09
