Date,Open,High,Low,Close,Volume
2015-02-16,0.0,0.0,0.0,0.0,0
2015-02-17,0.0,0.0,0.0,0.0,0
2015-02-25,0.0,0.0,0.0,0.0,0
2015-02-26,0.0,0.0,0.0,0.0,0
2015-02-27,0.0,0.0,0.0,0.0,0
2015-03-02,958.0,958.0,933.0,933.0,4
2015-03-03,955.0,955.0,935.0,935.0,8
2015-03-04,940.0,960.0,940.0,960.0,8
2015-03-05,946.0,946.0,946.0,946.0,2
2015-03-06,0.0,0.0,0.0,0.0,0
2015-03-09,922.0,950.0,922.0,947.0,66
2015-03-10,920.0,948.0,917.0,939.0,20
2015-03-11,0.0,0.0,0.0,0.0,0
2015-03-12,0.0,0.0,0.0,0.0,0
2015-03-13,0.0,0.0,0.0,0.0,0
2015-03-16,0.0,0.0,0.0,0.0,0
2015-03-17,0.0,0.0,0.0,0.0,0
2015-03-18,919.0,919.0,919.0,919.0,2
2015-03-19,0.0,0.0,0.0,0.0,0
2015-03-20,0.0,0.0,0.0,0.0,0
2015-03-23,0.0,0.0,0.0,0.0,0
2015-03-24,0.0,0.0,0.0,0.0,0
2015-03-25,0.0,0.0,0.0,0.0,0
2015-03-26,930.0,957.0,929.0,929.0,12
2015-03-27,0.0,0.0,0.0,0.0,0
2015-03-30,0.0,0.0,0.0,0.0,0
2015-03-31,0.0,0.0,0.0,0.0,0
2015-04-01,0.0,0.0,0.0,0.0,0
2015-04-02,0.0,0.0,0.0,0.0,0
2015-04-03,882.0,882.0,882.0,882.0,2
2015-04-07,916.0,916.0,905.0,905.0,4
2015-04-08,0.0,0.0,0.0,0.0,0
2015-04-09,0.0,0.0,0.0,0.0,0
2015-04-10,0.0,0.0,0.0,0.0,0
2015-04-13,0.0,0.0,0.0,0.0,0
2015-04-14,0.0,0.0,0.0,0.0,0
2015-04-15,904.0,911.0,881.0,891.0,32
2015-04-16,885.0,885.0,885.0,885.0,2
2015-04-17,0.0,0.0,0.0,0.0,0
2015-04-20,0.0,0.0,0.0,0.0,0
2015-04-21,0.0,0.0,0.0,0.0,0
2015-04-22,875.0,895.0,875.0,895.0,8
2015-04-23,0.0,0.0,0.0,0.0,0
2015-04-24,898.0,921.0,898.0,921.0,16
2015-04-27,0.0,0.0,0.0,0.0,0
2015-04-28,923.0,940.0,923.0,940.0,12
2015-04-29,916.0,916.0,916.0,916.0,2
