Open,High,Low,Close,Volume,Date
1413.0,1417.0,1384.0,1403.0,58,
1408.0,1432.0,1408.0,1425.0,85,
1414.0,1424.0,1352.0,1377.0,326,
1375.0,1381.0,1367.0,1369.0,66,
1367.0,1372.0,1348.0,1351.0,81,
1341.0,1353.0,1318.0,1324.0,173,
1329.0,1350.0,1319.0,1342.0,114,
1341.0,1344.0,1333.0,1339.0,43,
1342.0,1353.0,1338.0,1351.0,111,
1355.0,1387.0,1355.0,1370.0,164,
1371.0,1379.0,1371.0,1375.0,60,
1386.0,1395.0,1374.0,1385.0,203,
1390.0,1390.0,1375.0,1386.0,84,
1382.0,1386.0,1376.0,1379.0,37,
1383.0,1385.0,1379.0,1380.0,36,
1375.0,1381.0,1375.0,1376.0,57,
1380.0,1400.0,1380.0,1392.0,152,
1396.0,1408.0,1394.0,1403.0,154,
1406.0,1414.0,1390.0,1409.0,1078,
1413.0,1441.0,1413.0,1437.0,306,
1421.0,1449.0,1404.0,1407.0,479,
1414.0,1436.0,1402.0,1434.0,129,
1436.0,1464.0,1436.0,1460.0,145,
1461.0,1489.0,1440.0,1449.0,515,
1456.0,1456.0,1427.0,1432.0,196,
1440.0,1443.0,1410.0,1417.0,464,
1410.0,1454.0,1410.0,1443.0,233,
1445.0,1500.0,1443.0,1476.0,474,
1477.0,1512.0,1462.0,1489.0,697,
1498.0,1505.0,1470.0,1490.0,416,
1498.0,1547.0,1494.0,1545.0,392,
1552.0,1600.0,1544.0,1596.0,898,
1596.0,1625.0,1579.0,1589.0,594,
1600.0,1613.0,1540.0,1550.0,514,
1550.0,1609.0,1550.0,1582.0,352,
1569.0,1569.0,1512.0,1520.0,391,
1526.0,1533.0,1500.0,1504.0,165,
1508.0,1521.0,1501.0,1517.0,576,
1509.0,1530.0,1507.0,1509.0,475,
1505.0,1539.0,1503.0,1536.0,592,
1538.0,1543.0,1497.0,1515.0,519,
1516.0,1522.0,1491.0,1495.0,531,
1494.0,1506.0,1472.0,1489.0,528,
1487.0,1501.0,1482.0,1495.0,479,
1501.0,1512.0,1485.0,1494.0,385,
1494.0,1563.0,1479.0,1545.0,595,
1535.0,1554.0,1508.0,1526.0,563,
