Open,High,Low,Close,Volume,Date
,,,3718.0,0,
3700.0,3726.0,3700.0,3726.0,4,
3734.0,3749.0,3724.0,3724.0,4,
3724.0,3735.0,3702.0,3702.0,8,
3701.0,3750.0,3700.0,3750.0,12,
3754.0,3770.0,3754.0,3764.0,6,
3766.0,3802.0,3740.0,3740.0,8,
3742.0,3768.0,3742.0,3768.0,20,
3753.0,3761.0,3695.0,3699.0,24,
3721.0,3722.0,3697.0,3704.0,30,
3698.0,3730.0,3697.0,3725.0,44,
3736.0,3779.0,3735.0,3758.0,72,
3774.0,3830.0,3759.0,3830.0,31,
3830.0,3848.0,3802.0,3820.0,54,
3832.0,3850.0,3808.0,3815.0,523,
3822.0,3836.0,3810.0,3821.0,120,
3829.0,3835.0,3781.0,3805.0,104,
3793.0,3798.0,3738.0,3738.0,66,
3730.0,3786.0,3730.0,3772.0,54,
3780.0,3804.0,3780.0,3804.0,34,
3800.0,3800.0,3755.0,3771.0,70,
3780.0,3790.0,3767.0,3779.0,42,
3790.0,3820.0,3768.0,3816.0,170,
3787.0,3820.0,3786.0,3820.0,46,
3820.0,3865.0,3820.0,3841.0,158,
3847.0,3852.0,3820.0,3838.0,57,
3818.0,3823.0,3748.0,3761.0,84,
3765.0,3791.0,3756.0,3783.0,63,
3775.0,3792.0,3734.0,3734.0,25,
3729.0,3741.0,3685.0,3686.0,64,
3688.0,3715.0,3686.0,3715.0,27,
3715.0,3746.0,3715.0,3734.0,243,
3679.0,3695.0,3674.0,3674.0,24,
3712.0,3712.0,3651.0,3655.0,50,
3667.0,3681.0,3640.0,3661.0,123,
3683.0,3685.0,3650.0,3685.0,57,
3691.0,3691.0,3656.0,3675.0,62,
3674.0,3721.0,3663.0,3716.0,171,
3725.0,3732.0,3707.0,3712.0,107,
3712.0,3733.0,3700.0,3700.0,28,
3695.0,3715.0,3692.0,3713.0,13,
3723.0,3723.0,3666.0,3666.0,33,
3671.0,3679.0,3636.0,3652.0,46,
3656.0,3689.0,3651.0,3689.0,48,
3695.0,3751.0,3695.0,3732.0,44,
3734.0,3741.0,3722.0,3739.0,35,
3732.0,3790.0,3732.0,3786.0,50,
3783.0,3810.0,3783.0,3801.0,47,
3816.0,3816.0,3784.0,3808.0,42,
3799.0,3827.0,3793.0,3814.0,45,
3816.0,3816.0,3797.0,3811.0,35,
3752.0,3858.0,3752.0,3842.0,60,
3850.0,3884.0,3850.0,3878.0,59,
3897.0,3897.0,3856.0,3886.0,33,
3838.0,3895.0,3838.0,3892.0,25,
3901.0,3925.0,3900.0,3900.0,28,
3912.0,3945.0,3912.0,3945.0,12,
3925.0,3950.0,3899.0,3907.0,24,
3906.0,3906.0,3888.0,3900.0,38,
3954.0,3988.0,3948.0,3950.0,22,
3952.0,4000.0,3952.0,4000.0,30,
4007.0,4015.0,3964.0,3975.0,20,
3972.0,3972.0,3964.0,3964.0,6,
4024.0,4031.0,3982.0,3990.0,22,
3972.0,3992.0,3970.0,3988.0,19,
4011.0,4011.0,3949.0,3968.0,30,
3963.0,3988.0,3963.0,3986.0,374,
3998.0,4029.0,3989.0,4029.0,67,
4019.0,4021.0,3985.0,3986.0,10,
3990.0,3997.0,3960.0,3984.0,13,
,,,3982.0,0,
4009.0,4015.0,4001.0,4015.0,212,
3997.0,4010.0,3969.0,3973.0,214,
3960.0,3965.0,3948.0,3948.0,8,
3938.0,3997.0,3938.0,3990.0,42,
4027.0,4088.0,4027.0,4085.0,42,
4110.0,4143.0,4110.0,4124.0,30,
4113.0,4148.0,4092.0,4112.0,46,
,,,4128.0,0,
4121.0,4121.0,4052.0,4052.0,5,
4048.0,4061.0,4024.0,4024.0,25,
4032.0,4049.0,3993.0,4003.0,193,
4003.0,4010.0,3981.0,4005.0,101,
4005.0,4009.0,4005.0,4009.0,3,
4007.0,4045.0,4003.0,4041.0,45,
4035.0,4064.0,4035.0,4064.0,8,
4082.0,4113.0,4082.0,4099.0,27,
4094.0,4112.0,4089.0,4109.0,25,
4118.0,4118.0,4098.0,4098.0,199,
4095.0,4111.0,4093.0,4109.0,6,
4101.0,4110.0,4074.0,4076.0,16,
