Date,Open,High,Low,Close,Volume
2016-05-17,1978.0,1978.0,1955.0,1976.0,484
2016-05-18,1975.0,1990.0,1942.0,1951.0,272
2016-05-19,1951.0,1957.0,1898.0,1915.0,338
2016-05-20,1892.0,1920.0,1892.0,1913.0,294
2016-05-23,1911.0,1911.0,1859.0,1868.0,1190
2016-05-24,1878.0,1889.0,1855.0,1862.0,612
2016-05-25,1873.0,1888.0,1862.0,1888.0,1280
2016-05-26,1891.0,1931.0,1887.0,1931.0,490
2016-05-27,1937.0,1940.0,1897.0,1900.0,2126
2016-05-30,1892.0,1935.0,1888.0,1933.0,666
2016-05-31,1936.0,1963.0,1925.0,1963.0,772
2016-06-01,1950.0,1950.0,1920.0,1926.0,368
2016-06-02,1923.0,1966.0,1923.0,1958.0,1706
2016-06-03,1958.0,1965.0,1948.0,1965.0,1176
2016-06-06,1970.0,1975.0,1950.0,1970.0,2730
2016-06-07,1982.0,1993.0,1948.0,1956.0,396
2016-06-08,1955.0,1970.0,1948.0,1948.0,536
2016-06-13,1940.0,1948.0,1903.0,1929.0,770
2016-06-14,1925.0,1947.0,1915.0,1916.0,874
2016-06-15,1915.0,1924.0,1907.0,1920.0,302
2016-06-16,1927.0,1940.0,1915.0,1927.0,298
2016-06-17,1924.0,1946.0,1917.0,1944.0,438
2016-06-20,1952.0,1986.0,1944.0,1986.0,636
2016-06-21,1984.0,2000.0,1970.0,1980.0,1256
2016-06-22,1970.0,1991.0,1966.0,1984.0,684
2016-06-23,1982.0,1998.0,1968.0,1972.0,532
2016-06-24,1977.0,1987.0,1930.0,1935.0,1288
2016-06-27,1935.0,1995.0,1935.0,1995.0,800
2016-06-28,1991.0,2056.0,1989.0,2056.0,1312
2016-06-29,2057.0,2086.0,2041.0,2062.0,1036
2016-06-30,1996.0,2110.0,1996.0,2102.0,2928
2016-07-01,2085.0,2117.0,2069.0,2090.0,1316
2016-07-04,2097.0,2189.0,2093.0,2180.0,1708
2016-07-05,2098.0,2187.0,2080.0,2121.0,1278
2016-07-06,2111.0,2127.0,2050.0,2068.0,1096
2016-07-07,2067.0,2094.0,2043.0,2065.0,480
2016-07-08,2075.0,2087.0,2010.0,2017.0,2026
2016-07-11,2017.0,2052.0,2014.0,2022.0,800
2016-07-12,2035.0,2069.0,2035.0,2069.0,2298
2016-07-13,2085.0,2123.0,2072.0,2094.0,2868
2016-07-14,2099.0,2108.0,2064.0,2103.0,1008
2016-07-15,2113.0,2113.0,2060.0,2060.0,854
2016-07-18,2074.0,2076.0,2022.0,2022.0,2030
2016-07-19,2020.0,2030.0,2001.0,2019.0,1862
2016-07-20,2011.0,2023.0,1998.0,2007.0,958
2016-07-21,2001.0,2044.0,1999.0,2037.0,1236
2016-07-22,2043.0,2043.0,1990.0,1991.0,1938
2016-07-25,1994.0,1997.0,1966.0,1974.0,1112
2016-07-26,1970.0,1984.0,1967.0,1968.0,3000
2016-07-27,1956.0,1981.0,1956.0,1961.0,1402
2016-07-28,1967.0,1985.0,1965.0,1981.0,1098
2016-07-29,1987.0,2009.0,1967.0,1968.0,2524
2016-08-01,1972.0,2079.0,1972.0,2078.0,3210
2016-08-02,2077.0,2086.0,2052.0,2077.0,1732
2016-08-03,2089.0,2089.0,2053.0,2070.0,3514
2016-08-04,2074.0,2086.0,2044.0,2062.0,5566
2016-08-05,2060.0,2082.0,2053.0,2065.0,3820
2016-08-08,2065.0,2104.0,2058.0,2066.0,6016
2016-08-09,2071.0,2110.0,2070.0,2107.0,9168
2016-08-10,2107.0,2121.0,2080.0,2086.0,5738
2016-08-11,2094.0,2143.0,2076.0,2100.0,5142
2016-08-12,2102.0,2110.0,2088.0,2094.0,4644
2016-08-15,2093.0,2122.0,2092.0,2113.0,4178
2016-08-16,2115.0,2124.0,2104.0,2106.0,4488
2016-08-17,2105.0,2121.0,2087.0,2093.0,2674
2016-08-18,2098.0,2100.0,2067.0,2086.0,3502
2016-08-19,2092.0,2092.0,2072.0,2080.0,4044
2016-08-22,2077.0,2083.0,1996.0,1999.0,9748
2016-08-23,1998.0,2021.0,1994.0,2001.0,8642
2016-08-24,2006.0,2015.0,1997.0,2000.0,4076
2016-08-25,2000.0,2021.0,1975.0,2014.0,13536
