Open,High,Low,Close,Volume,Date
2312.0,2312.0,2250.0,2259.0,461,
2245.0,2247.0,2200.0,2202.0,961,
2192.0,2204.0,2090.0,2118.0,1693,
2120.0,2146.0,2077.0,2083.0,876,
2087.0,2114.0,2066.0,2090.0,830,
2083.0,2104.0,2042.0,2048.0,1575,
2033.0,2074.0,2000.0,2064.0,2043,
2070.0,2082.0,2049.0,2070.0,2069,
2069.0,2081.0,2036.0,2045.0,2171,
2040.0,2046.0,2010.0,2037.0,1512,
2027.0,2075.0,2027.0,2070.0,4467,
2074.0,2123.0,2040.0,2106.0,5547,
2111.0,2118.0,2060.0,2078.0,4465,
2084.0,2112.0,2071.0,2076.0,3567,
2071.0,2085.0,2049.0,2052.0,2926,
2053.0,2089.0,2052.0,2062.0,4836,
2066.0,2076.0,2050.0,2072.0,3259,
2072.0,2075.0,2019.0,2028.0,12304,
2024.0,2065.0,2017.0,2055.0,8097,
2063.0,2092.0,2056.0,2069.0,7139,
2071.0,2091.0,2063.0,2088.0,4003,
2093.0,2120.0,2092.0,2106.0,6968,
2108.0,2130.0,2099.0,2102.0,6157,
2104.0,2124.0,2104.0,2118.0,5118,
2118.0,2129.0,2107.0,2116.0,5636,
2100.0,2106.0,2072.0,2090.0,5582,
2084.0,2136.0,2082.0,2125.0,6725,
2118.0,2131.0,2104.0,2122.0,10094,
2130.0,2175.0,2130.0,2156.0,14885,
2157.0,2190.0,2153.0,2179.0,5351,
2179.0,2191.0,2169.0,2188.0,5281,
2191.0,2209.0,2179.0,2184.0,4264,
2185.0,2195.0,2156.0,2159.0,4878,
2160.0,2188.0,2158.0,2186.0,4902,
2186.0,2207.0,2177.0,2189.0,7441,
2190.0,2201.0,2171.0,2200.0,9924,
2209.0,2257.0,2207.0,2255.0,14595,
2260.0,2293.0,2253.0,2290.0,11469,
2293.0,2294.0,2260.0,2283.0,8398,
2283.0,2360.0,2280.0,2346.0,13731,
2342.0,2353.0,2246.0,2251.0,12890,
2252.0,2325.0,2246.0,2324.0,17125,
2323.0,2324.0,2290.0,2314.0,11871,
2316.0,2322.0,2286.0,2296.0,12854,
2296.0,2303.0,2261.0,2275.0,14070,
2280.0,2289.0,2253.0,2264.0,11226,
2270.0,2310.0,2259.0,2299.0,12681,
2304.0,2343.0,2298.0,2316.0,12188,
2315.0,2339.0,2307.0,2317.0,10988,
2320.0,2354.0,2308.0,2347.0,21783,
2348.0,2356.0,2320.0,2338.0,15319,
2349.0,2383.0,2300.0,2381.0,27843,
2386.0,2396.0,2359.0,2361.0,27620,
2360.0,2370.0,2309.0,2311.0,25349,
2310.0,2360.0,2310.0,2332.0,21269,
2333.0,2333.0,2282.0,2302.0,30865,
2300.0,2323.0,2295.0,2306.0,18574,
2299.0,2345.0,2288.0,2333.0,19678,
2345.0,2352.0,2321.0,2339.0,22311,
2339.0,2365.0,2326.0,2355.0,23065,
2360.0,2367.0,2300.0,2309.0,29684,
2306.0,2322.0,2288.0,2310.0,29134,
2308.0,2313.0,2249.0,2253.0,42980,
2255.0,2276.0,2237.0,2274.0,42601,
2278.0,2328.0,2277.0,2324.0,46564,
2315.0,2378.0,2309.0,2374.0,39747,
2378.0,2393.0,2364.0,2385.0,35162,
2390.0,2401.0,2367.0,2378.0,30796,
2370.0,2407.0,2358.0,2372.0,39704,
2366.0,2396.0,2356.0,2388.0,32840,
2398.0,2406.0,2355.0,2376.0,52360,
2378.0,2403.0,2363.0,2381.0,51977,
2387.0,2459.0,2375.0,2459.0,63606,
2455.0,2455.0,2416.0,2440.0,40715,
2446.0,2510.0,2446.0,2490.0,66758,
2497.0,2497.0,2437.0,2450.0,76236,
2451.0,2506.0,2446.0,2479.0,73107,
2476.0,2500.0,2457.0,2490.0,106586,
2487.0,2520.0,2425.0,2441.0,130546,
2446.0,2446.0,2406.0,2422.0,95672,
2432.0,2480.0,2430.0,2449.0,95357,
2457.0,2471.0,2438.0,2464.0,74233,
2469.0,2488.0,2427.0,2431.0,123832,
2435.0,2479.0,2428.0,2468.0,74167,
2480.0,2499.0,2442.0,2462.0,81213,
2465.0,2523.0,2429.0,2519.0,110201,
2521.0,2551.0,2513.0,2521.0,81771,
2528.0,2532.0,2477.0,2483.0,75136,
2487.0,2493.0,2439.0,2439.0,74000,
2448.0,2459.0,2430.0,2445.0,73823,
