Date,Open,High,Low,Close,Volume
2023-01-17,4001.0,4027.0,3973.0,4011.0,1038
2023-01-18,4027.0,4051.0,4014.0,4037.0,314
2023-01-19,4043.0,4085.0,4043.0,4080.0,352
2023-01-20,4075.0,4076.0,4050.0,4070.0,502
2023-01-30,4127.0,4157.0,4080.0,4084.0,992
2023-01-31,4092.0,4112.0,4035.0,4040.0,990
2023-02-01,4042.0,4061.0,3974.0,3982.0,2204
2023-02-02,3985.0,4027.0,3934.0,3946.0,2744
2023-02-03,3950.0,3964.0,3900.0,3958.0,4429
2023-02-06,3957.0,3988.0,3908.0,3960.0,2705
2023-02-07,3960.0,3962.0,3891.0,3935.0,4863
2023-02-08,3935.0,3972.0,3906.0,3965.0,2715
2023-02-09,3972.0,4004.0,3960.0,3996.0,2268
2023-02-10,3986.0,3995.0,3929.0,3972.0,2147
2023-02-13,3972.0,3976.0,3890.0,3890.0,3731
2023-02-14,3895.0,3929.0,3860.0,3910.0,2283
2023-02-15,3915.0,3962.0,3908.0,3945.0,2719
2023-02-16,3940.0,4015.0,3936.0,3999.0,3399
2023-02-17,4009.0,4035.0,4009.0,4035.0,5000
2023-02-20,4016.0,4061.0,3999.0,4059.0,3876
2023-02-21,4061.0,4125.0,4061.0,4123.0,3193
2023-02-22,4110.0,4145.0,4099.0,4110.0,3168
2023-02-23,4128.0,4159.0,4095.0,4100.0,3509
2023-02-24,4116.0,4117.0,4066.0,4093.0,3395
2023-02-27,4079.0,4108.0,4054.0,4070.0,4181
2023-02-28,4071.0,4071.0,4038.0,4060.0,2793
2023-03-01,4064.0,4098.0,4046.0,4091.0,2700
2023-03-02,4107.0,4110.0,4078.0,4103.0,4305
2023-03-03,4100.0,4148.0,4098.0,4145.0,3287
2023-03-06,4134.0,4142.0,4062.0,4086.0,5284
2023-03-07,4085.0,4139.0,4078.0,4120.0,3807
2023-03-08,4115.0,4135.0,4095.0,4107.0,2998
2023-03-09,4105.0,4150.0,4066.0,4144.0,6201
2023-03-10,4151.0,4166.0,4133.0,4133.0,5302
2023-03-13,4133.0,4193.0,4133.0,4185.0,3433
2023-03-14,4167.0,4250.0,4152.0,4228.0,8098
2023-03-15,4228.0,4239.0,4170.0,4181.0,4829
2023-03-16,4162.0,4162.0,4057.0,4060.0,8689
2023-03-17,4060.0,4109.0,4020.0,4087.0,8013
2023-03-20,4091.0,4115.0,4030.0,4030.0,5628
2023-03-21,4034.0,4056.0,3988.0,3990.0,5557
2023-03-22,3998.0,4036.0,3969.0,3999.0,7741
2023-03-23,4002.0,4028.0,3950.0,3956.0,9067
2023-03-24,3958.0,3995.0,3928.0,3977.0,9312
2023-03-27,3955.0,3999.0,3942.0,3981.0,14380
2023-03-28,3995.0,4029.0,3985.0,4023.0,37094
2023-03-29,4025.0,4056.0,4016.0,4043.0,28331
2023-03-30,4060.0,4067.0,4022.0,4044.0,10346
2023-03-31,4065.0,4095.0,4043.0,4055.0,8974
2023-04-03,4059.0,4064.0,3947.0,3947.0,16207
2023-04-04,3952.0,3965.0,3903.0,3909.0,11469
2023-04-06,3904.0,3911.0,3858.0,3873.0,9544
2023-04-07,3890.0,3933.0,3861.0,3917.0,10806
2023-04-10,3927.0,3947.0,3813.0,3830.0,21343
2023-04-11,3819.0,3868.0,3796.0,3863.0,17927
2023-04-12,3878.0,3883.0,3816.0,3832.0,18240
2023-04-13,3833.0,3839.0,3782.0,3803.0,21266
2023-04-14,3792.0,3875.0,3792.0,3824.0,14787
2023-04-17,3814.0,3859.0,3795.0,3849.0,18198
2023-04-18,3851.0,3899.0,3849.0,3865.0,12765
2023-04-19,3865.0,3881.0,3831.0,3845.0,12336
2023-04-20,3839.0,3853.0,3796.0,3837.0,21040
2023-04-21,3838.0,3838.0,3740.0,3740.0,23389
2023-04-24,3740.0,3745.0,3630.0,3652.0,42540
2023-04-25,3660.0,3680.0,3615.0,3619.0,33554
2023-04-26,3606.0,3670.0,3593.0,3647.0,36950
2023-04-27,3667.0,3687.0,3622.0,3623.0,33722
2023-04-28,3627.0,3644.0,3596.0,3598.0,26170
2023-05-04,3587.0,3611.0,3539.0,3548.0,26341
2023-05-05,3565.0,3565.0,3473.0,3552.0,50201
2023-05-08,3542.0,3649.0,3536.0,3649.0,68636
2023-05-09,3649.0,3666.0,3618.0,3619.0,43090
2023-05-10,3616.0,3657.0,3602.0,3623.0,43957
2023-05-11,3610.0,3642.0,3526.0,3531.0,51273
2023-05-12,3519.0,3568.0,3498.0,3515.0,35031
2023-05-15,3522.0,3628.0,3522.0,3605.0,58557
2023-05-16,3623.0,3629.0,3565.0,3579.0,39665
2023-05-17,3581.0,3649.0,3570.0,3647.0,38773
2023-05-18,3650.0,3661.0,3598.0,3623.0,29092
2023-05-19,3620.0,3631.0,3550.0,3585.0,36701
2023-05-22,3563.0,3607.0,3485.0,3500.0,59320
2023-05-23,3499.0,3552.0,3499.0,3525.0,29486
2023-05-24,3530.0,3530.0,3411.0,3415.0,53565
2023-05-25,3413.0,3424.0,3361.0,3384.0,50278
2023-05-26,3373.0,3450.0,3343.0,3434.0,66523
2023-05-29,3441.0,3462.0,3410.0,3458.0,34809
2023-05-30,3468.0,3468.0,3390.0,3403.0,52827
2023-05-31,3393.0,3423.0,3373.0,3409.0,34565
2023-06-01,3400.0,3485.0,3395.0,3480.0,58121
2023-06-02,3495.0,3553.0,3433.0,3523.0,98376
2023-06-05,3529.0,3610.0,3525.0,3551.0,83125
2023-06-06,3551.0,3596.0,3530.0,3559.0,59643
2023-06-07,3566.0,3575.0,3501.0,3538.0,67477
2023-06-08,3539.0,3592.0,3532.0,3545.0,51999
2023-06-09,3560.0,3623.0,3548.0,3615.0,93778
2023-06-12,3620.0,3638.0,3546.0,3567.0,54135
2023-06-13,3561.0,3648.0,3560.0,3648.0,61678
2023-06-14,3650.0,3672.0,3633.0,3657.0,55199
2023-06-15,3657.0,3685.0,3626.0,3666.0,48604
2023-06-16,3673.0,3717.0,3664.0,3707.0,43672
2023-06-19,3707.0,3733.0,3665.0,3677.0,55836
2023-06-20,3681.0,3687.0,3639.0,3659.0,41343
2023-06-21,3649.0,3662.0,3605.0,3608.0,55406
2023-06-26,3567.0,3608.0,3561.0,3590.0,44361
2023-06-27,3591.0,3663.0,3587.0,3640.0,68331
2023-06-28,3636.0,3655.0,3615.0,3646.0,42262
2023-06-29,3674.0,3674.0,3621.0,3642.0,35584
2023-06-30,3640.0,3689.0,3633.0,3645.0,46510
2023-07-03,3650.0,3687.0,3621.0,3677.0,76636
2023-07-04,3680.0,3709.0,3660.0,3683.0,59090
2023-07-05,3686.0,3694.0,3651.0,3670.0,37292
2023-07-06,3667.0,3690.0,3655.0,3678.0,30776
2023-07-07,3679.0,3688.0,3597.0,3597.0,54538
2023-07-10,3590.0,3629.0,3582.0,3588.0,56638
2023-07-11,3586.0,3630.0,3586.0,3611.0,46570
2023-07-12,3620.0,3645.0,3606.0,3644.0,32097
2023-07-13,3645.0,3659.0,3626.0,3659.0,47275
