Open,High,Low,Close,Volume,Date
3697.0,3697.0,3610.0,3610.0,17,
3604.0,3643.0,3600.0,3643.0,32,
3649.0,3650.0,3620.0,3624.0,41,
3610.0,3620.0,3580.0,3609.0,116,
3615.0,3650.0,3601.0,3650.0,51,
3658.0,3682.0,3647.0,3654.0,159,
3646.0,3704.0,3646.0,3646.0,86,
3656.0,3678.0,3650.0,3669.0,600,
3665.0,3682.0,3620.0,3638.0,296,
3645.0,3648.0,3623.0,3636.0,79,
3636.0,3661.0,3624.0,3661.0,90,
3654.0,3689.0,3654.0,3683.0,2194,
3693.0,3721.0,3678.0,3720.0,127,
3736.0,3754.0,3719.0,3737.0,137,
3742.0,3774.0,3730.0,3730.0,1180,
3736.0,3762.0,3736.0,3755.0,2647,
3758.0,3768.0,3724.0,3746.0,9755,
3743.0,3745.0,3685.0,3690.0,416,
3690.0,3723.0,3680.0,3719.0,1013,
3719.0,3747.0,3719.0,3738.0,216,
3743.0,3752.0,3696.0,3719.0,318,
3729.0,3736.0,3712.0,3735.0,1060,
3741.0,3768.0,3734.0,3762.0,469,
3753.0,3770.0,3739.0,3769.0,435,
3769.0,3798.0,3765.0,3765.0,375,
3765.0,3776.0,3758.0,3769.0,2071,
3774.0,3774.0,3714.0,3717.0,2165,
3722.0,3743.0,3713.0,3741.0,1532,
3736.0,3739.0,3685.0,3685.0,323,
3685.0,3694.0,3651.0,3655.0,1413,
3656.0,3660.0,3641.0,3657.0,792,
3666.0,3687.0,3662.0,3668.0,98,
3644.0,3646.0,3616.0,3621.0,74,
3637.0,3641.0,3599.0,3599.0,134,
3611.0,3620.0,3585.0,3607.0,574,
3623.0,3623.0,3593.0,3622.0,84,
3623.0,3629.0,3601.0,3619.0,98,
3618.0,3667.0,3604.0,3667.0,110,
3660.0,3671.0,3650.0,3654.0,943,
3659.0,3661.0,3626.0,3626.0,313,
3622.0,3656.0,3621.0,3646.0,601,
3661.0,3661.0,3606.0,3616.0,1033,
3607.0,3628.0,3581.0,3592.0,257,
3595.0,3651.0,3594.0,3629.0,1946,
3645.0,3684.0,3641.0,3670.0,179,
3668.0,3674.0,3656.0,3669.0,871,
3662.0,3711.0,3662.0,3708.0,1490,
3723.0,3734.0,3711.0,3734.0,237,
3734.0,3734.0,3711.0,3732.0,41,
3733.0,3742.0,3727.0,3738.0,511,
3734.0,3739.0,3726.0,3734.0,585,
3734.0,3789.0,3734.0,3789.0,1476,
3790.0,3825.0,3779.0,3825.0,1349,
3804.0,3823.0,3789.0,3793.0,110,
3792.0,3846.0,3777.0,3838.0,610,
3848.0,3869.0,3838.0,3841.0,84,
3861.0,3876.0,3854.0,3874.0,72,
3865.0,3899.0,3845.0,3856.0,416,
3860.0,3861.0,3825.0,3825.0,412,
3847.0,3935.0,3847.0,3910.0,157,
3910.0,3951.0,3886.0,3951.0,74,
3959.0,3963.0,3910.0,3912.0,85,
3908.0,3955.0,3901.0,3955.0,53,
3973.0,3985.0,3938.0,3940.0,80,
3940.0,3959.0,3914.0,3943.0,1644,
3959.0,3974.0,3875.0,3914.0,246,
