Date,Open,High,Low,Close,Volume
2017-01-17,2359.0,2359.0,2270.0,2278.0,14106
2017-01-18,2284.0,2304.0,2280.0,2286.0,6308
2017-01-19,2281.0,2295.0,2277.0,2281.0,5620
2017-01-20,2280.0,2284.0,2248.0,2253.0,8988
2017-01-23,2255.0,2267.0,2243.0,2266.0,14890
2017-01-24,2262.0,2270.0,2251.0,2258.0,6992
2017-01-25,2260.0,2260.0,2211.0,2213.0,10602
2017-01-26,2218.0,2232.0,2212.0,2222.0,3710
2017-02-03,2215.0,2237.0,2202.0,2225.0,4680
2017-02-06,2224.0,2286.0,2224.0,2279.0,12960
2017-02-07,2283.0,2297.0,2276.0,2284.0,7044
2017-02-08,2282.0,2329.0,2268.0,2328.0,12928
2017-02-09,2328.0,2339.0,2316.0,2320.0,10614
2017-02-10,2319.0,2350.0,2319.0,2350.0,17696
2017-02-13,2352.0,2367.0,2340.0,2346.0,18324
2017-02-14,2347.0,2355.0,2327.0,2328.0,17894
2017-02-15,2336.0,2336.0,2311.0,2317.0,17006
2017-02-16,2314.0,2360.0,2308.0,2336.0,18754
2017-02-17,2336.0,2358.0,2303.0,2316.0,15004
2017-02-20,2316.0,2334.0,2311.0,2333.0,6322
2017-02-21,2335.0,2365.0,2331.0,2352.0,9304
2017-02-22,2350.0,2361.0,2323.0,2342.0,10570
2017-02-23,2344.0,2350.0,2311.0,2312.0,10998
2017-02-24,2310.0,2318.0,2289.0,2311.0,8626
2017-02-27,2311.0,2333.0,2306.0,2331.0,10690
2017-02-28,2334.0,2348.0,2322.0,2330.0,11246
2017-03-01,2333.0,2372.0,2326.0,2344.0,28256
2017-03-02,2348.0,2367.0,2345.0,2365.0,13008
2017-03-03,2360.0,2362.0,2336.0,2355.0,8326
2017-03-06,2352.0,2366.0,2344.0,2362.0,10454
2017-03-07,2363.0,2367.0,2348.0,2351.0,8344
2017-03-08,2351.0,2353.0,2306.0,2306.0,13226
2017-03-09,2305.0,2316.0,2292.0,2303.0,9194
2017-03-10,2299.0,2305.0,2266.0,2268.0,12440
2017-03-13,2270.0,2288.0,2261.0,2284.0,6800
2017-03-14,2280.0,2295.0,2255.0,2259.0,11538
2017-03-15,2255.0,2282.0,2237.0,2272.0,12598
2017-03-16,2275.0,2283.0,2261.0,2277.0,7942
2017-03-17,2281.0,2283.0,2254.0,2270.0,10476
2017-03-20,2265.0,2296.0,2260.0,2294.0,11416
2017-03-21,2290.0,2300.0,2267.0,2278.0,9528
2017-03-22,2277.0,2284.0,2262.0,2277.0,11806
2017-03-23,2270.0,2279.0,2242.0,2242.0,16838
2017-03-24,2249.0,2255.0,2221.0,2227.0,16190
2017-03-27,2227.0,2231.0,2197.0,2215.0,21182
2017-03-28,2210.0,2222.0,2206.0,2214.0,15170
2017-03-29,2220.0,2228.0,2206.0,2225.0,21716
2017-03-30,2221.0,2225.0,2200.0,2209.0,15200
2017-03-31,2212.0,2220.0,2178.0,2208.0,23828
2017-04-05,2185.0,2206.0,2178.0,2198.0,13366
2017-04-06,2199.0,2208.0,2186.0,2195.0,17190
2017-04-07,2197.0,2200.0,2170.0,2174.0,19970
2017-04-10,2175.0,2207.0,2175.0,2198.0,17348
2017-04-11,2205.0,2206.0,2185.0,2198.0,12550
2017-04-12,2196.0,2234.0,2182.0,2215.0,37644
2017-04-13,2220.0,2236.0,2209.0,2236.0,30748
2017-04-14,2240.0,2248.0,2229.0,2239.0,29016
2017-04-17,2239.0,2259.0,2230.0,2254.0,27450
2017-04-18,2250.0,2261.0,2239.0,2244.0,29416
2017-04-19,2251.0,2279.0,2226.0,2276.0,30110
2017-04-20,2268.0,2279.0,2242.0,2259.0,38254
2017-04-21,2262.0,2263.0,2237.0,2252.0,31120
2017-04-24,2255.0,2280.0,2238.0,2268.0,44992
2017-04-25,2271.0,2275.0,2258.0,2269.0,27802
2017-04-26,2268.0,2274.0,2232.0,2233.0,41940
2017-04-27,2235.0,2244.0,2218.0,2221.0,32414
2017-04-28,2225.0,2233.0,2215.0,2219.0,26360
2017-05-02,2240.0,2283.0,2239.0,2278.0,40038
2017-05-03,2269.0,2278.0,2261.0,2263.0,33146
2017-05-04,2265.0,2275.0,2247.0,2266.0,42038
2017-05-05,2260.0,2281.0,2248.0,2248.0,41192
2017-05-08,2260.0,2270.0,2225.0,2231.0,48800
2017-05-09,2234.0,2235.0,2213.0,2219.0,46638
2017-05-10,2218.0,2240.0,2217.0,2232.0,37830
2017-05-11,2229.0,2242.0,2216.0,2236.0,37044
2017-05-12,2232.0,2236.0,2189.0,2190.0,46100
2017-05-15,2191.0,2201.0,2180.0,2183.0,42448
2017-05-16,2192.0,2198.0,2167.0,2173.0,59184
2017-05-17,2177.0,2196.0,2176.0,2193.0,53420
2017-05-18,2192.0,2193.0,2149.0,2157.0,51584
2017-05-19,2146.0,2164.0,2131.0,2143.0,61360
2017-05-22,2150.0,2172.0,2137.0,2163.0,62964
2017-05-23,2161.0,2162.0,2137.0,2140.0,80246
2017-05-24,2142.0,2154.0,2124.0,2142.0,71534
2017-05-25,2148.0,2153.0,2135.0,2142.0,42148
2017-05-26,2144.0,2144.0,2108.0,2110.0,58338
2017-05-31,2094.0,2094.0,2005.0,2016.0,89686
2017-06-01,2023.0,2039.0,2020.0,2030.0,60226
2017-06-02,2038.0,2045.0,2016.0,2029.0,51746
2017-06-05,2034.0,2066.0,2032.0,2043.0,71968
2017-06-06,2045.0,2053.0,2034.0,2041.0,58612
2017-06-07,2042.0,2069.0,2041.0,2055.0,65284
2017-06-08,2063.0,2069.0,2054.0,2064.0,52478
2017-06-09,2069.0,2092.0,2066.0,2077.0,70086
2017-06-12,2080.0,2094.0,2070.0,2088.0,71148
2017-06-13,2080.0,2085.0,2068.0,2075.0,48738
2017-06-14,2078.0,2100.0,2076.0,2092.0,62920
2017-06-15,2094.0,2111.0,2080.0,2089.0,48038
2017-06-16,2075.0,2116.0,2075.0,2107.0,51244
2017-06-19,2113.0,2136.0,2100.0,2127.0,47864
2017-06-20,2121.0,2135.0,2117.0,2133.0,46008
2017-06-21,2123.0,2140.0,2119.0,2136.0,59290
2017-06-22,2130.0,2143.0,2102.0,2106.0,62960
2017-06-23,2100.0,2118.0,2091.0,2109.0,62388
2017-06-26,2114.0,2115.0,2096.0,2108.0,52552
2017-06-27,2112.0,2115.0,2103.0,2112.0,39892
2017-06-28,2119.0,2125.0,2106.0,2111.0,48260
2017-06-29,2112.0,2126.0,2112.0,2123.0,54166
2017-06-30,2128.0,2145.0,2096.0,2111.0,71676
2017-07-03,2117.0,2230.0,2112.0,2227.0,161594
2017-07-04,2225.0,2245.0,2222.0,2243.0,112024
2017-07-05,2243.0,2245.0,2232.0,2241.0,69048
2017-07-06,2250.0,2266.0,2241.0,2254.0,92514
2017-07-07,2251.0,2274.0,2242.0,2249.0,82888
2017-07-10,2256.0,2331.0,2233.0,2314.0,194842
2017-07-11,2308.0,2335.0,2299.0,2317.0,104654
2017-07-12,2305.0,2330.0,2303.0,2316.0,68108
2017-07-13,2311.0,2334.0,2268.0,2281.0,130444
2017-07-14,2273.0,2274.0,2219.0,2237.0,136250
2017-07-17,2245.0,2256.0,2235.0,2240.0,80740
2017-07-18,2252.0,2270.0,2247.0,2258.0,82640
2017-07-19,2270.0,2273.0,2240.0,2252.0,106512
2017-07-20,2252.0,2273.0,2250.0,2269.0,88320
2017-07-21,2278.0,2301.0,2272.0,2297.0,134704
2017-07-24,2290.0,2293.0,2229.0,2232.0,154134
2017-07-25,2227.0,2272.0,2226.0,2269.0,119466
2017-07-26,2264.0,2267.0,2221.0,2222.0,146110
2017-07-27,2213.0,2238.0,2196.0,2227.0,125706
2017-07-28,2238.0,2248.0,2217.0,2234.0,174104
2017-07-31,2238.0,2255.0,2222.0,2250.0,186158
2017-08-01,2247.0,2267.0,2243.0,2243.0,165444
2017-08-02,2240.0,2245.0,2206.0,2215.0,232564
2017-08-03,2215.0,2224.0,2163.0,2165.0,282104
2017-08-04,2166.0,2188.0,2160.0,2182.0,307550
2017-08-07,2187.0,2205.0,2173.0,2190.0,363638
2017-08-08,2192.0,2232.0,2188.0,2229.0,455882
2017-08-09,2232.0,2246.0,2221.0,2242.0,382786
2017-08-10,2241.0,2259.0,2234.0,2252.0,450572
2017-08-11,2255.0,2278.0,2165.0,2177.0,877206
2017-08-14,2186.0,2188.0,2151.0,2166.0,391512
2017-08-15,2162.0,2174.0,2152.0,2157.0,376796
2017-08-16,2152.0,2159.0,2129.0,2140.0,416010
2017-08-17,2144.0,2159.0,2138.0,2152.0,405362
2017-08-18,2156.0,2162.0,2148.0,2150.0,289266
2017-08-21,2147.0,2176.0,2147.0,2165.0,492950
2017-08-22,2161.0,2186.0,2130.0,2184.0,744928
2017-08-23,2179.0,2194.0,2171.0,2182.0,655714
2017-08-24,2188.0,2190.0,2161.0,2176.0,530238
2017-08-25,2178.0,2185.0,2167.0,2177.0,392312
2017-08-28,2182.0,2205.0,2170.0,2194.0,597970
2017-08-29,2198.0,2199.0,2170.0,2177.0,438820
2017-08-30,2169.0,2179.0,2148.0,2155.0,480218
2017-08-31,2156.0,2161.0,2145.0,2151.0,323138
2017-09-01,2150.0,2168.0,2140.0,2153.0,424936
2017-09-04,2160.0,2174.0,2147.0,2166.0,556814
2017-09-05,2164.0,2180.0,2162.0,2170.0,422546
2017-09-06,2175.0,2194.0,2170.0,2177.0,553508
2017-09-07,2180.0,2202.0,2170.0,2192.0,582486
2017-09-08,2194.0,2199.0,2152.0,2163.0,628578
2017-09-11,2164.0,2177.0,2150.0,2172.0,386886
2017-09-12,2170.0,2183.0,2157.0,2166.0,407688
2017-09-13,2166.0,2179.0,2112.0,2123.0,986520
2017-09-14,2126.0,2147.0,2121.0,2146.0,471810
2017-09-15,2146.0,2169.0,2143.0,2159.0,586120
2017-09-18,2158.0,2175.0,2138.0,2172.0,499770
2017-09-19,2168.0,2180.0,2155.0,2157.0,385438
2017-09-20,2158.0,2165.0,2145.0,2162.0,310862
2017-09-21,2160.0,2188.0,2152.0,2184.0,581714
2017-09-22,2184.0,2258.0,2175.0,2248.0,1220566
2017-09-25,2251.0,2270.0,2237.0,2258.0,742718
2017-09-26,2255.0,2258.0,2229.0,2244.0,508612
2017-09-27,2239.0,2246.0,2218.0,2243.0,481808
2017-09-28,2238.0,2251.0,2208.0,2220.0,578416
2017-09-29,2215.0,2237.0,2161.0,2174.0,702100
2017-10-09,2212.0,2230.0,2202.0,2213.0,280676
2017-10-10,2215.0,2225.0,2206.0,2213.0,329536
2017-10-11,2220.0,2236.0,2199.0,2207.0,487514
2017-10-12,2207.0,2218.0,2196.0,2204.0,317074
2017-10-13,2206.0,2285.0,2198.0,2284.0,713040
2017-10-16,2288.0,2292.0,2267.0,2276.0,476092
2017-10-17,2278.0,2295.0,2260.0,2269.0,360826
2017-10-18,2263.0,2275.0,2258.0,2264.0,333418
2017-10-19,2267.0,2280.0,2257.0,2275.0,404176
2017-10-20,2277.0,2283.0,2264.0,2273.0,355508
2017-10-23,2275.0,2298.0,2236.0,2249.0,553386
2017-10-24,2248.0,2257.0,2240.0,2242.0,236076
2017-10-25,2240.0,2257.0,2233.0,2254.0,286972
2017-10-26,2256.0,2262.0,2220.0,2224.0,413100
2017-10-27,2228.0,2235.0,2205.0,2209.0,318250
2017-10-30,2211.0,2226.0,2209.0,2216.0,257596
2017-10-31,2216.0,2219.0,2191.0,2192.0,287980
2017-11-01,2195.0,2208.0,2187.0,2199.0,256698
2017-11-02,2197.0,2220.0,2189.0,2207.0,325274
2017-11-03,2205.0,2216.0,2199.0,2202.0,278574
2017-11-06,2202.0,2205.0,2180.0,2193.0,345264
2017-11-07,2193.0,2219.0,2191.0,2215.0,457336
2017-11-08,2210.0,2231.0,2209.0,2222.0,460254
2017-11-09,2222.0,2238.0,2212.0,2236.0,381424
2017-11-10,2237.0,2245.0,2199.0,2206.0,502810
2017-11-13,2206.0,2230.0,2204.0,2227.0,334380
2017-11-14,2222.0,2243.0,2217.0,2226.0,473100
2017-11-15,2227.0,2271.0,2226.0,2256.0,1077308
2017-11-16,2260.0,2295.0,2252.0,2284.0,706652
2017-11-17,2281.0,2297.0,2272.0,2277.0,615658
2017-11-20,2283.0,2339.0,2267.0,2328.0,759988
2017-11-21,2324.0,2354.0,2316.0,2343.0,586098
2017-11-22,2341.0,2346.0,2310.0,2327.0,547398
2017-11-23,2335.0,2344.0,2317.0,2319.0,478686
2017-11-24,2319.0,2339.0,2317.0,2333.0,267546
2017-11-27,2336.0,2346.0,2305.0,2310.0,499946
2017-11-28,2313.0,2326.0,2304.0,2314.0,291926
2017-11-29,2308.0,2321.0,2299.0,2311.0,290704
2017-11-30,2312.0,2325.0,2296.0,2301.0,378666
2017-12-01,2302.0,2302.0,2277.0,2281.0,361814
2017-12-04,2283.0,2351.0,2283.0,2341.0,382824
2017-12-05,2341.0,2349.0,2323.0,2329.0,243956
2017-12-06,2332.0,2372.0,2332.0,2355.0,376790
2017-12-07,2355.0,2359.0,2324.0,2330.0,175694
2017-12-08,2318.0,2332.0,2311.0,2329.0,101396
2017-12-11,2332.0,2336.0,2300.0,2309.0,90314
2017-12-12,2303.0,2358.0,2301.0,2348.0,121306
2017-12-13,2346.0,2398.0,2346.0,2378.0,175308
2017-12-14,2378.0,2387.0,2354.0,2356.0,61142
2017-12-15,2357.0,2375.0,2349.0,2373.0,40640
2017-12-18,2378.0,2397.0,2368.0,2395.0,47244
2017-12-19,2396.0,2429.0,2391.0,2401.0,45698
2017-12-20,2400.0,2401.0,2366.0,2372.0,34990
2017-12-21,2365.0,2387.0,2354.0,2363.0,31440
2017-12-22,2361.0,2373.0,2355.0,2373.0,20716
2017-12-25,2374.0,2394.0,2343.0,2344.0,22746
2017-12-26,2346.0,2384.0,2335.0,2383.0,17904
2017-12-27,2380.0,2400.0,2380.0,2394.0,12744
2017-12-28,2386.0,2396.0,2373.0,2384.0,8972
2017-12-29,2371.0,2390.0,2343.0,2351.0,19134
2018-01-02,2376.0,2400.0,2338.0,2338.0,596
2018-01-03,2375.0,2376.0,2356.0,2356.0,1186
2018-01-04,2367.0,2369.0,2345.0,2345.0,2418
2018-01-05,2340.0,2351.0,2312.0,2320.0,2732
2018-01-08,2320.0,2346.0,2319.0,2346.0,278
2018-01-09,2325.0,2325.0,2323.0,2323.0,162
2018-01-10,2324.0,2338.0,2226.0,2338.0,790
2018-01-11,2280.0,2280.0,2176.0,2245.0,844
2018-01-12,2239.0,2267.0,2239.0,2267.0,6
2018-01-15,0.0,0.0,0.0,0.0,2000
