Open,High,Low,Close,Volume,Date
1784.0,1811.0,1777.0,1796.0,663,
1793.0,1805.0,1791.0,1805.0,173,
1806.0,1825.0,1796.0,1804.0,323,
1804.0,1815.0,1804.0,1810.0,194,
1813.0,1819.0,1772.0,1780.0,573,
1783.0,1795.0,1760.0,1765.0,616,
1768.0,1780.0,1714.0,1745.0,1136,
1748.0,1789.0,1722.0,1789.0,550,
1789.0,1871.0,1783.0,1821.0,2516,
1817.0,1840.0,1740.0,1760.0,3836,
1769.0,1819.0,1749.0,1817.0,1726,
1819.0,1832.0,1796.0,1825.0,1805,
1821.0,1872.0,1814.0,1868.0,4686,
1869.0,1964.0,1860.0,1925.0,5712,
1929.0,1968.0,1910.0,1940.0,5074,
1938.0,1945.0,1872.0,1907.0,3149,
1907.0,2089.0,1893.0,2082.0,10102,
2085.0,2155.0,2065.0,2112.0,10636,
2108.0,2122.0,2050.0,2105.0,5816,
2095.0,2128.0,2090.0,2101.0,3490,
2103.0,2113.0,1982.0,2028.0,4208,
2030.0,2047.0,1991.0,2035.0,3204,
2045.0,2110.0,2038.0,2064.0,5131,
2069.0,2069.0,2003.0,2023.0,3769,
2029.0,2058.0,2005.0,2008.0,2600,
2010.0,2035.0,2000.0,2005.0,1628,
2005.0,2029.0,1964.0,2027.0,3498,
2017.0,2088.0,2008.0,2055.0,3113,
2045.0,2048.0,1983.0,1996.0,2361,
2003.0,2023.0,1983.0,1985.0,1673,
1983.0,1990.0,1956.0,1962.0,1977,
1961.0,1962.0,1925.0,1950.0,2166,
1950.0,1964.0,1932.0,1938.0,1369,
1925.0,1941.0,1905.0,1918.0,1026,2024-01-02
1915.0,1979.0,1895.0,1967.0,2480,2024-01-03
1974.0,1982.0,1901.0,1908.0,2350,2024-01-04
1914.0,1915.0,1883.0,1895.0,3012,2024-01-05
1898.0,1906.0,1860.0,1872.0,1964,2024-01-08
1871.0,1897.0,1855.0,1858.0,1151,2024-01-09
1855.0,1856.0,1800.0,1800.0,2295,2024-01-10
1807.0,1825.0,1788.0,1820.0,1251,2024-01-11
1823.0,1826.0,1793.0,1806.0,1640,2024-01-12
1806.0,1819.0,1790.0,1808.0,1042,2024-01-15
1811.0,1868.0,1809.0,1841.0,2407,2024-01-16
1852.0,1874.0,1826.0,1840.0,1644,2024-01-17
1830.0,1852.0,1808.0,1844.0,1953,2024-01-18
1847.0,1851.0,1829.0,1849.0,835,2024-01-19
1852.0,1996.0,1844.0,1994.0,4512,2024-01-22
1993.0,1999.0,1925.0,1971.0,3314,2024-01-23
1974.0,1996.0,1922.0,1956.0,2732,2024-01-24
1960.0,1976.0,1935.0,1949.0,1670,2024-01-25
1942.0,1951.0,1900.0,1900.0,2069,2024-01-26
1899.0,1930.0,1890.0,1928.0,1595,2024-01-29
1924.0,1936.0,1858.0,1864.0,2360,2024-01-30
1857.0,1885.0,1848.0,1868.0,1534,2024-01-31
1874.0,1882.0,1834.0,1842.0,1224,2024-02-01
1849.0,1909.0,1842.0,1884.0,1530,2024-02-02
1880.0,1888.0,1855.0,1862.0,1185,2024-02-05
1860.0,1880.0,1850.0,1869.0,912,2024-02-06
1866.0,1888.0,1857.0,1872.0,921,2024-02-07
1872.0,1905.0,1862.0,1862.0,1650,2024-02-08
1862.0,1862.0,1785.0,1788.0,1285,2024-02-19
1781.0,1813.0,1772.0,1802.0,1087,2024-02-20
1809.0,1828.0,1791.0,1795.0,1101,2024-02-21
1798.0,1811.0,1793.0,1800.0,613,2024-02-22
1804.0,1812.0,1787.0,1794.0,724,2024-02-23
1793.0,1802.0,1745.0,1750.0,1152,2024-02-26
1748.0,1768.0,1743.0,1760.0,841,2024-02-27
1764.0,1775.0,1751.0,1760.0,754,2024-02-28
1762.0,1789.0,1758.0,1778.0,1928,2024-02-29
1774.0,1810.0,1773.0,1801.0,1572,2024-03-01
1806.0,1832.0,1780.0,1822.0,1722,2024-03-04
1827.0,1932.0,1827.0,1869.0,2030,2024-03-05
1870.0,1891.0,1843.0,1875.0,1210,2024-03-06
1893.0,1918.0,1873.0,1879.0,2365,2024-03-07
1889.0,1896.0,1865.0,1878.0,1548,2024-03-08
1877.0,1878.0,1811.0,1838.0,1537,2024-03-11
1834.0,1859.0,1822.0,1837.0,1674,2024-03-12
1839.0,1855.0,1834.0,1848.0,2407,2024-03-13
1847.0,1853.0,1781.0,1789.0,2969,2024-03-14
1788.0,1814.0,1780.0,1781.0,1207,2024-03-15
1781.0,1800.0,1759.0,1797.0,2151,2024-03-18
1801.0,1852.0,1791.0,1841.0,1768,2024-03-19
1850.0,1852.0,1795.0,1796.0,1236,2024-03-20
1797.0,1846.0,1792.0,1833.0,1775,2024-03-21
1820.0,1840.0,1802.0,1808.0,1376,2024-03-22
1798.0,1816.0,1745.0,1754.0,2891,2024-03-25
1755.0,1772.0,1741.0,1752.0,1944,2024-03-26
1754.0,1772.0,1711.0,1715.0,3031,2024-03-27
1710.0,1740.0,1707.0,1714.0,1631,2024-03-28
1721.0,1743.0,1702.0,1740.0,3078,2024-03-29
1735.0,1754.0,1699.0,1739.0,3655,2024-04-01
1744.0,1758.0,1732.0,1756.0,2163,2024-04-02
1747.0,1805.0,1747.0,1770.0,4666,2024-04-03
1783.0,1834.0,1763.0,1830.0,2377,2024-04-08
1836.0,1860.0,1816.0,1856.0,3072,2024-04-09
1864.0,1889.0,1844.0,1880.0,2779,2024-04-10
1880.0,1888.0,1834.0,1835.0,1993,2024-04-11
1833.0,1865.0,1819.0,1847.0,1766,2024-04-12
1855.0,1875.0,1844.0,1865.0,1735,2024-04-15
1863.0,1863.0,1829.0,1833.0,1049,2024-04-16
1830.0,1867.0,1809.0,1867.0,1648,2024-04-17
1866.0,2007.0,1866.0,1992.0,5988,2024-04-18
1998.0,2071.0,1977.0,2014.0,6278,2024-04-19
2012.0,2072.0,1995.0,2052.0,5361,2024-04-22
