Date,Open,High,Low,Close,Volume
2012-09-17,7834.0,7878.0,7776.0,7830.0,60
2012-09-18,7748.0,7814.0,7730.0,7730.0,24
2012-09-19,7766.0,7776.0,7718.0,7776.0,24
2012-09-20,7700.0,7700.0,7602.0,7602.0,80
2012-09-21,7660.0,7660.0,7580.0,7590.0,54
2012-09-24,7550.0,7572.0,7488.0,7542.0,78
2012-09-25,7638.0,7640.0,7558.0,7574.0,104
2012-09-26,7490.0,7530.0,7490.0,7510.0,28
2012-09-27,7506.0,7636.0,7440.0,7530.0,144
2012-09-28,7530.0,7638.0,7530.0,7632.0,54
2012-10-08,7582.0,7594.0,7450.0,7456.0,64
2012-10-09,7496.0,7638.0,7496.0,7600.0,168
2012-10-10,7606.0,7610.0,7550.0,7582.0,116
2012-10-11,7574.0,7688.0,7574.0,7644.0,2136
2012-10-12,7668.0,7692.0,7580.0,7614.0,270
2012-10-15,7550.0,7620.0,7540.0,7596.0,58
2012-10-16,7620.0,7668.0,7608.0,7668.0,204
2012-10-17,7688.0,7696.0,7620.0,7650.0,584
2012-10-18,7680.0,7680.0,7608.0,7640.0,396
2012-10-19,7654.0,7654.0,7568.0,7576.0,520
2012-10-22,7520.0,7592.0,7514.0,7576.0,1168
2012-10-23,7560.0,7600.0,7492.0,7492.0,1054
2012-10-24,7440.0,7600.0,7436.0,7560.0,1266
2012-10-25,7554.0,7570.0,7512.0,7566.0,610
2012-10-26,7556.0,7598.0,7482.0,7540.0,996
2012-10-29,7550.0,7580.0,7400.0,7454.0,1632
2012-10-30,7450.0,7464.0,7338.0,7432.0,3134
2012-10-31,7450.0,7492.0,7410.0,7468.0,1278
2012-11-01,7470.0,7546.0,7398.0,7526.0,3364
2012-11-02,7536.0,7570.0,7508.0,7546.0,1266
2012-11-05,7488.0,7488.0,7408.0,7442.0,3632
2012-11-06,7462.0,7498.0,7420.0,7454.0,2162
2012-11-07,7480.0,7576.0,7480.0,7562.0,1850
2012-11-08,7470.0,7498.0,7434.0,7486.0,664
2012-11-09,7498.0,7500.0,7460.0,7464.0,478
2012-11-12,7464.0,7470.0,7398.0,7462.0,2350
2012-11-13,7472.0,7472.0,7412.0,7424.0,5576
2012-11-14,7424.0,7524.0,7322.0,7466.0,3336
2012-11-15,7456.0,7468.0,7432.0,7444.0,728
2012-11-16,7406.0,7456.0,7402.0,7428.0,1014
2012-11-19,7470.0,7484.0,7426.0,7456.0,3096
2012-11-20,7490.0,7516.0,7464.0,7492.0,3008
2012-11-21,7470.0,7522.0,7458.0,7518.0,3508
2012-11-22,7516.0,7534.0,7494.0,7502.0,1936
2012-11-23,7486.0,7500.0,7466.0,7490.0,3514
2012-11-26,7500.0,7586.0,7496.0,7570.0,6908
2012-11-27,7584.0,7614.0,7570.0,7588.0,4354
2012-11-28,7576.0,7610.0,7518.0,7524.0,5554
2012-11-29,7526.0,7560.0,7518.0,7544.0,2788
2012-11-30,7576.0,7602.0,7558.0,7592.0,4952
