Open,High,Low,Close,Volume,Date
5726.0,5726.0,5634.0,5634.0,2,
5668.0,5722.0,5668.0,5722.0,2,
5734.0,5734.0,5734.0,5734.0,1,
5768.0,5798.0,5768.0,5798.0,64,
5748.0,5830.0,5748.0,5830.0,36,
5810.0,5810.0,5810.0,5810.0,1,
5868.0,5886.0,5812.0,5880.0,11,
0.0,0.0,0.0,0.0,0,
5808.0,5830.0,5808.0,5826.0,402,
5872.0,5912.0,5860.0,5910.0,2005,
5900.0,5900.0,5818.0,5858.0,107,
5882.0,5886.0,5808.0,5818.0,870,
5786.0,5812.0,5740.0,5788.0,901,
5840.0,5860.0,5748.0,5798.0,56,
5794.0,5840.0,5792.0,5804.0,27,
5788.0,5788.0,5758.0,5768.0,7,
5802.0,5874.0,5796.0,5874.0,199,
5870.0,5880.0,5834.0,5880.0,120,
5888.0,5938.0,5822.0,5914.0,495,
5958.0,5994.0,5920.0,5978.0,27,
5978.0,5978.0,5942.0,5958.0,18,
5952.0,5952.0,5800.0,5800.0,21,
5802.0,5802.0,5782.0,5790.0,5,
5740.0,5758.0,5734.0,5740.0,7,
5730.0,5762.0,5730.0,5762.0,5,
5712.0,5744.0,5660.0,5660.0,26,
5676.0,5682.0,5650.0,5650.0,11,
5688.0,5688.0,5620.0,5622.0,12,
5664.0,5774.0,5664.0,5772.0,10,
5778.0,5788.0,5668.0,5690.0,17,
5718.0,5722.0,5716.0,5716.0,54,
5688.0,5688.0,5650.0,5670.0,277,
5600.0,5708.0,5600.0,5696.0,8,
5674.0,5674.0,5674.0,5674.0,1,
5690.0,5742.0,5690.0,5728.0,7,
5710.0,5746.0,5704.0,5718.0,124,
5720.0,5720.0,5696.0,5696.0,333,
5670.0,5670.0,5598.0,5600.0,76,
5590.0,5638.0,5578.0,5588.0,204,
5624.0,5700.0,5624.0,5676.0,266,
5700.0,5710.0,5690.0,5706.0,146,
5766.0,5768.0,5736.0,5744.0,19,
5772.0,5852.0,5770.0,5840.0,96,
5858.0,5898.0,5832.0,5898.0,50,
5892.0,5928.0,5870.0,5900.0,65,
5906.0,5910.0,5880.0,5892.0,342,
5878.0,5908.0,5866.0,5876.0,23,
5900.0,5956.0,5900.0,5956.0,17,
5920.0,5982.0,5920.0,5980.0,108,
5958.0,5958.0,5886.0,5924.0,517,
5960.0,6026.0,5934.0,5938.0,15,2024-01-02
5906.0,5908.0,5852.0,5856.0,187,2024-01-03
5892.0,5940.0,5872.0,5900.0,459,2024-01-04
5888.0,5902.0,5846.0,5902.0,94,2024-01-05
5882.0,5934.0,5768.0,5768.0,99,2024-01-08
5762.0,5762.0,5724.0,5724.0,104,2024-01-09
5724.0,5762.0,5718.0,5732.0,13,2024-01-10
5738.0,5740.0,5692.0,5740.0,16,2024-01-11
5742.0,5786.0,5712.0,5734.0,481,2024-01-12
5754.0,5760.0,5700.0,5718.0,39,2024-01-15
5690.0,5766.0,5672.0,5748.0,83,2024-01-16
5754.0,5760.0,5754.0,5754.0,4,2024-01-17
5702.0,5766.0,5702.0,5760.0,79,2024-01-18
5790.0,5814.0,5790.0,5814.0,6,2024-01-19
5806.0,5858.0,5806.0,5858.0,5,2024-01-22
5854.0,5894.0,5854.0,5894.0,14,2024-01-23
5902.0,5930.0,5894.0,5930.0,74,2024-01-24
5928.0,5928.0,5898.0,5924.0,172,2024-01-25
5914.0,5968.0,5914.0,5950.0,104,2024-01-26
5926.0,5976.0,5924.0,5940.0,127,2024-01-29
5922.0,5936.0,5916.0,5916.0,8,2024-01-30
5898.0,5898.0,5820.0,5820.0,165,2024-02-01
5808.0,5832.0,5772.0,5792.0,921,2024-02-02
5770.0,5782.0,5758.0,5780.0,40,2024-02-05
5776.0,5814.0,5776.0,5812.0,32,2024-02-06
5832.0,5832.0,5816.0,5822.0,21,2024-02-07
5840.0,5862.0,5840.0,5860.0,3,2024-02-08
5902.0,5938.0,5902.0,5930.0,10,2024-02-19
5914.0,5916.0,5840.0,5848.0,664,2024-02-20
5846.0,5890.0,5832.0,5886.0,1080,2024-02-21
5850.0,5898.0,5848.0,5890.0,70,2024-02-22
5890.0,5902.0,5850.0,5856.0,117,2024-02-23
5844.0,5864.0,5806.0,5814.0,262,2024-02-26
5810.0,5894.0,5802.0,5882.0,49,2024-02-27
5880.0,5930.0,5880.0,5916.0,10,2024-02-28
5908.0,5908.0,5854.0,5898.0,84,2024-02-29
5886.0,5886.0,5864.0,5880.0,994,2024-03-01
5900.0,5938.0,5886.0,5890.0,175,2024-03-04
5870.0,5888.0,5820.0,5822.0,490,2024-03-05
5824.0,5876.0,5816.0,5854.0,108,2024-03-06
5862.0,5862.0,5836.0,5848.0,1059,2024-03-07
5844.0,5854.0,5812.0,5846.0,194,2024-03-08
5850.0,5850.0,5804.0,5832.0,130,2024-03-11
5832.0,5870.0,5832.0,5844.0,492,2024-03-12
5836.0,5858.0,5830.0,5846.0,137,2024-03-13
5862.0,5942.0,5858.0,5942.0,106,2024-03-14
5960.0,6004.0,5952.0,5980.0,133,2024-03-15
5958.0,6006.0,5954.0,5998.0,71,2024-03-18
6012.0,6042.0,6008.0,6030.0,135,2024-03-19
6034.0,6046.0,5998.0,5998.0,33,2024-03-20
5972.0,5972.0,5902.0,5910.0,183,2024-03-21
5910.0,5930.0,5904.0,5930.0,56,2024-03-22
5936.0,5976.0,5928.0,5934.0,41,2024-03-25
5938.0,5948.0,5938.0,5948.0,2,2024-03-26
5958.0,5978.0,5956.0,5956.0,36,2024-03-27
5960.0,6012.0,5958.0,5988.0,478,2024-03-28
6000.0,6016.0,5980.0,5986.0,21,2024-03-29
6004.0,6088.0,6002.0,6078.0,62,2024-04-01
6070.0,6112.0,6062.0,6112.0,43,2024-04-02
6126.0,6128.0,6098.0,6108.0,74,2024-04-03
6066.0,6090.0,6056.0,6068.0,195,2024-04-08
6078.0,6090.0,6044.0,6044.0,28,2024-04-09
6036.0,6070.0,6034.0,6042.0,13,2024-04-10
6030.0,6036.0,6030.0,6036.0,6,2024-04-11
6032.0,6032.0,5976.0,5984.0,31,2024-04-12
6026.0,6050.0,6010.0,6030.0,46,2024-04-15
6050.0,6124.0,6018.0,6084.0,102,2024-04-16
6104.0,6104.0,6064.0,6080.0,25,2024-04-17
6074.0,6076.0,5970.0,5996.0,133,2024-04-18
6090.0,6090.0,5958.0,5992.0,90,2024-04-19
5984.0,6000.0,5984.0,5984.0,54,2024-04-22
