Date,ES,6E,6M,ZN,ZC,GC,SR3
2018-05-07,2977.25,1.3285999876022336,0.0331399988520145,119.26561500000004,420.75,1741.199999999999,99.09000061035158
2018-05-08,2977.5,1.3217499876022336,0.0329199988520145,119.09374000000004,423.75,1740.7999999999988,99.08500061035156
2018-05-09,3003.25,1.3221499876022336,0.0329599988520145,118.84374000000004,423.75,1740.0999999999988,99.08500061035156
2018-05-10,3026.0,1.3283999876022337,0.0339099988520145,118.96874000000004,423.75,1749.3999999999987,99.07000061035156
2018-05-11,3036.75,1.3299999876022337,0.0334499988520145,118.98436500000004,418.75,1747.7999999999988,99.06000061035157
2018-05-14,3038.25,1.3298999876022335,0.0329799988520145,118.82811500000004,418.5,1745.2999999999988,99.06500061035156
2018-05-15,3016.25,1.3202999876022337,0.0326299988520145,118.18749000000004,423.5,1717.3999999999987,99.05500061035156
2018-05-16,3030.25,1.3155499876022336,0.0328899988520145,118.12499000000004,421.25,1718.5999999999988,99.05500061035156
2018-05-17,3026.0,1.3149999876022336,0.0326899988520145,118.09374000000004,417.25,1716.4999999999989,99.05500061035156
2018-05-18,3020.25,1.3124499876022335,0.0320799988520145,118.42186500000004,424.5,1718.3999999999987,99.07000061035156
2018-05-21,3040.25,1.3122499876022335,0.0322699988520145,118.42186500000004,425.25,1717.9999999999989,99.06000061035157
2018-05-22,3033.25,1.3127499876022335,0.0325399988520145,118.45311500000004,427.5,1719.0999999999988,99.07000061035156
2018-05-23,3038.0,1.3046499876022335,0.0329699988520145,118.96874000000004,430.75,1716.699999999999,99.12000061035155
2018-05-24,3034.75,1.3072999876022335,0.0327099988520145,119.07811500000004,426.75,1731.4999999999989,99.15000061035155
2018-05-25,3025.5,1.3006999876022336,0.0331899988520145,119.43749000000004,429.25,1730.7999999999988,99.17500061035156
2018-05-29,2999.5,1.2875499876022336,0.0323199988520145,120.81249000000004,423.25,1726.0999999999988,99.35500061035157
2018-05-30,3031.75,1.2995499876022336,0.0324999988520145,120.18749000000004,417.5,1728.5999999999988,99.26500061035156
2018-05-31,3012.75,1.3027999876022336,0.0321599988520145,120.31249000000004,418.0,1726.7999999999988,99.26000061035155
2018-06-01,3041.0,1.3002499876022335,0.0322399988520145,119.71874000000004,416.0,1721.3999999999987,99.19000061035156
2018-06-04,3052.75,1.3036499876022336,0.0320099988520145,119.37499000000004,405.5,1719.3999999999987,99.13500061035155
2018-06-05,3058.75,1.3051499876022337,0.0311799988520145,119.57811500000004,408.25,1724.2999999999988,99.14500061035156
2018-06-06,3079.5,1.3104999876022336,0.0312899988520145,119.15624000000004,404.0,1723.4999999999989,99.11500061035156
2018-06-07,3079.5,1.3141999876022334,0.0308099988520145,119.46874000000004,401.0,1725.0999999999988,99.12000061035155
2018-06-08,3086.0,1.3103999876022336,0.0312399988520145,119.46874000000004,402.25,1724.7999999999988,99.13500061035155
2018-06-11,3090.25,1.3120499876022336,0.0307199988520145,119.31249000000004,392.5,1725.2999999999988,99.12000061035155
2018-06-12,3091.75,1.3081999876022337,0.0304399988520145,119.28124000000004,402.5,1721.4999999999989,99.11000061035156
2018-06-13,3082.5,1.3104999876022336,0.0303399988520145,119.06249000000004,401.25,1723.3999999999987,99.07500061035157
