Date,ES,6E,6M,ZN,ZC,GC,SR3
2018-05-07,2674.25,1.2045,0.05025,119.359375,408.5,1320.4,97.56
2018-05-08,2674.25,1.1976,0.05002,119.1875,411.25,1320.0,97.685
2018-05-09,2700.25,1.1979,0.05006,118.921875,411.0,1319.3,97.68
2018-05-10,2722.75,1.20415,0.051,119.046875,410.25,1328.6,97.66
2018-05-11,2733.5,1.20565,0.05055,119.078125,405.0,1327.0,97.5
2018-05-14,2735.25,1.20555,0.05008,118.90625,404.75,1324.3,97.5
2018-05-15,2713.25,1.196,0.04972,118.21875,410.5,1296.2,97.37
2018-05-16,2727.5,1.1912,0.04997,118.15625,407.5,1297.4,97.365
2018-05-17,2723.5,1.1906,0.04978,118.125,403.5,1295.2,97.365
2018-05-18,2717.75,1.1881,0.04918,118.484375,411.0,1296.9,97.385
2018-05-21,2737.75,1.18795,0.04936,118.46875,411.25,1296.4,97.375
2018-05-22,2731.0,1.1885,0.04963,118.515625,413.5,1297.4,97.385
2018-05-23,2735.5,1.18035,0.05006,119.0625,417.25,1294.8,97.435
2018-05-24,2732.0,1.183,0.04979,119.171875,413.0,1309.8,97.465
2018-05-25,2722.75,1.1764,0.05026,119.53125,415.0,1309.0,97.495
2018-05-29,2696.5,1.1632,0.0494,120.9375,409.0,1304.1,97.71
2018-05-30,2729.0,1.17505,0.04956,120.296875,402.5,1319.1,97.615
2018-05-31,2709.75,1.17835,0.04922,120.3125,403.25,1317.1,97.605
2018-06-01,2738.25,1.1758,0.04931,119.71875,400.5,1311.7,97.53
2018-06-04,2749.75,1.17915,0.04909,119.375,389.75,1309.6,97.47
2018-06-05,2755.5,1.1806,0.04827,119.578125,393.0,1314.5,97.48
2018-06-06,2776.0,1.18605,0.04839,119.15625,387.75,1313.6,97.44
2018-06-07,2776.0,1.1898,0.04791,119.46875,385.25,1315.1,97.45
2018-06-08,2782.5,1.186,0.04834,119.46875,386.5,1315.1,97.465
2018-06-11,2790.5,1.1876,0.04782,119.3125,376.25,1315.7,97.69
2018-06-12,2792.25,1.1836,0.04754,119.28125,386.75,1311.9,97.69
2018-06-13,2783.5,1.18585,0.04744,119.0625,385.5,1313.8,97.66
2018-06-14,2792.75,1.16725,0.04724,119.25,372.75,1320.8,97.67
2018-06-15,2789.0,1.1772,0.04695,119.40625,370.75,1290.7,97.685
2018-06-18,2784.0,1.1782,0.0472,119.40625,365.5,1292.3,97.685
2018-06-19,2770.0,1.17385,0.04729,119.65625,363.25,1290.7,97.69
2018-06-20,2776.0,1.1748,0.0477,119.421875,363.75,1286.5,97.685
2018-06-21,2756.25,1.17835,0.04802,119.671875,366.5,1282.4,97.695
2018-06-22,2763.25,1.1824,0.04855,119.609375,366.5,1282.6,97.695
2018-06-25,2725.5,1.18645,0.04871,119.78125,359.5,1280.9,97.7
2018-06-26,2732.0,1.1809,0.04886,119.78125,361.25,1271.8,97.72
2018-06-27,2708.0,1.17135,0.04819,120.203125,361.75,1268.0,97.74
2018-06-28,2722.5,1.1709,0.04935,119.984375,354.25,1262.8,97.745
2018-06-29,2725.0,1.1822,0.04901,120.0,359.5,1266.3,97.745
2018-07-02,2730.5,1.17595,0.04856,119.875,347.0,1253.0,97.745
2018-07-03,2716.75,1.17985,0.04976,120.109375,352.0,1264.8,97.76
2018-07-05,2742.25,1.18265,0.0507,120.0625,352.25,1270.0,97.74
2018-07-06,2766.5,1.1891,0.05114,120.15625,360.25,1267.2,97.75
2018-07-09,2791.25,1.18955,0.05085,119.9375,354.0,1271.1,97.735
2018-07-10,2800.5,1.189,0.05154,119.828125,347.75,1266.9,97.72
2018-07-11,2777.75,1.1815,0.05132,120.078125,340.0,1255.6,97.72
2018-07-12,2802.25,1.18105,0.05159,119.984375,345.75,1257.5,97.705
2018-07-13,2807.0,1.1815,0.05153,120.203125,341.25,1251.9,97.7
2018-07-16,2800.5,1.1852,0.05184,120.0,341.75,1250.3,97.69
2018-07-17,2815.25,1.1801,0.05174,119.953125,346.25,1237.8,97.665
2018-07-18,2820.0,1.1784,0.05181,119.890625,347.25,1238.4,97.66
2018-07-19,2809.25,1.17775,0.05134,120.140625,351.25,1234.0,97.665
2018-07-20,2804.5,1.18575,0.05126,119.8125,355.25,1240.4,97.665
2018-07-23,2816.0,1.1821,0.05141,119.296875,357.25,1234.4,97.655
2018-07-24,2825.0,1.1814,0.0517,119.375,352.0,1234.6,97.645
2018-07-25,2845.5,1.18305,0.05223,119.46875,359.25,1241.0,97.645
2018-07-26,2846.5,1.17725,0.05243,119.140625,361.5,1235.3,97.64
2018-07-27,2821.5,1.1783,0.05249,119.234375,362.0,1232.7,97.245
2018-07-30,2807.25,1.1836,0.05275,119.171875,367.25,1237.1,97.245
2018-07-31,2821.25,1.1823,0.05244,119.21875,372.25,1239.3,97.245
2018-08-01,2815.0,1.1787,0.0526,118.953125,365.0,1233.4,97.24
2018-08-02,2832.5,1.1707,0.05247,119.09375,366.75,1225.8,97.24
2018-08-03,2843.75,1.16975,0.0528,119.40625,369.75,1229.0,97.25
2018-08-06,2854.25,1.16745,0.05296,119.53125,371.0,1223.5,97.265
2018-08-07,2864.0,1.17125,0.05303,119.265625,370.75,1223.9,97.26
2018-08-08,2859.5,1.17365,0.05311,119.3125,371.25,1226.6,97.265
2018-08-09,2858.0,1.1656,0.05261,119.53125,369.25,1225.5,97.28
2018-08-10,2840.75,1.15115,0.05175,120.234375,357.75,1224.6,97.345
2018-08-13,2829.5,1.15045,0.05103,120.09375,356.5,1204.4,97.34
2018-08-14,2845.0,1.14475,0.05182,119.953125,362.25,1206.3,97.315
2018-08-15,2825.0,1.1454,0.05111,120.296875,361.5,1190.5,97.35
2018-08-16,2848.75,1.1471,0.05146,120.125,365.25,1189.5,97.33
2018-08-17,2856.25,1.1549,0.05184,120.125,364.25,1189.7,97.335
2018-08-20,2862.75,1.1572,0.05156,120.5,362.0,1200.1,97.36
2018-08-21,2865.75,1.1677,0.05198,120.328125,359.75,1205.5,97.35
2018-08-22,2865.25,1.1692,0.05229,120.5,352.5,1208.8,97.36
2018-08-23,2862.0,1.1638,0.05183,120.484375,346.75,1199.5,97.34
2018-08-24,2881.0,1.17265,0.05193,120.390625,348.5,1218.8,97.34
2018-08-27,2902.75,1.1779,0.05246,120.234375,346.75,1221.6,97.32
2018-08-28,2903.5,1.17945,0.05171,119.984375,341.0,1220.0,97.305
2018-08-29,2919.0,1.17975,0.0518,119.96875,341.25,1217.1,97.29
2018-08-30,2906.5,1.17605,0.05154,120.15625,341.0,1210.5,97.3
2018-08-31,2906.5,1.1692,0.05155,120.046875,351.0,1212.3,97.33
2018-09-04,2903.0,1.16735,0.05079,119.703125,354.5,1204.7,97.31
2018-09-05,2893.0,1.17165,0.05081,119.734375,351.75,1206.9,97.305
2018-09-06,2883.75,1.1716,0.05109,119.953125,353.5,1210.0,97.32
2018-09-07,2879.25,1.16535,0.05097,119.421875,354.25,1206.1,97.26
2018-09-10,2885.0,1.16845,0.05117,119.4375,355.5,1205.5,97.26
