Date,ES,6E,6M,ZN,ZC,GC,SR3
2018-05-07,7600.0,735.0,58.0,3898.0,58385.0,19442.0,356.0
2018-05-08,4043.0,727.0,108.0,4904.0,57873.0,52676.0,205.0
2018-05-09,2776.0,699.0,355.0,11214.0,65490.0,39310.0,81.0
2018-05-10,7860.0,2144.0,646.0,12160.0,114314.0,20631.0,494.0
2018-05-11,5852.0,1210.0,30.0,18037.0,102768.0,25713.0,25.0
2018-05-14,10144.0,2697.0,81.0,26264.0,40236.0,30883.0,202.0
2018-05-15,8870.0,1874.0,391.0,181755.0,79541.0,39693.0,5.0
2018-05-16,8294.0,5536.0,82.0,74669.0,39170.0,22136.0,141.0
2018-05-17,6823.0,1759.0,118.0,82114.0,28238.0,20015.0,0.0
2018-05-18,15049.0,1384.0,90.0,93885.0,48490.0,26605.0,584.0
2018-05-21,9758.0,2514.0,32.0,335919.0,50081.0,53904.0,0.0
2018-05-22,13362.0,2901.0,48.0,374198.0,59468.0,47663.0,0.0
2018-05-23,20519.0,7988.0,363.0,721422.0,41096.0,67841.0,237.0
2018-05-24,23097.0,8579.0,175.0,1975686.0,91668.0,101752.0,0.0
2018-05-25,7434.0,12251.0,163.0,1447531.0,43907.0,96671.0,65.0
2018-05-29,18028.0,27766.0,401.0,3481293.0,72780.0,362211.0,71.0
2018-05-30,25650.0,31367.0,3759.0,2166327.0,91337.0,4135.0,371.0
2018-05-31,33533.0,11103.0,342.0,0.0,95586.0,6411.0,39.0
2018-06-01,26058.0,26106.0,6456.0,0.0,68104.0,7752.0,23.0
2018-06-04,37632.0,19732.0,3474.0,1.0,87854.0,3054.0,2.0
2018-06-05,62254.0,10376.0,2355.0,0.0,85707.0,2624.0,0.0
2018-06-06,220257.0,36441.0,3958.0,0.0,66427.0,5861.0,82.0
2018-06-07,777094.0,32536.0,3647.0,1.0,173456.0,7793.0,25.0
2018-06-08,1281036.0,22442.0,8802.0,0.0,84028.0,9034.0,98.0
2018-06-11,2234.0,65357.0,41318.0,1.0,147379.0,3991.0,3.0
2018-06-12,1453.0,133984.0,56253.0,0.0,164209.0,5323.0,47.0
2018-06-13,780.0,240735.0,69648.0,0.0,145483.0,7588.0,33.0
2018-06-14,1620.0,323920.0,79277.0,1.0,215150.0,5059.0,11.0
2018-06-15,1550.0,1108.0,0.0,2.0,175315.0,18220.0,13.0
2018-06-18,1335.0,521.0,0.0,4.0,104957.0,3484.0,0.0
2018-06-19,4665.0,1033.0,0.0,0.0,172823.0,5939.0,148.0
2018-06-20,1093.0,617.0,86.0,1.0,121565.0,9787.0,125.0
2018-06-21,3421.0,543.0,2.0,1.0,105831.0,7993.0,88.0
2018-06-22,925.0,531.0,1.0,16.0,94476.0,9054.0,28.0
2018-06-25,3755.0,536.0,2.0,1.0,137810.0,7389.0,31.0
2018-06-26,3872.0,179.0,2.0,89.0,174383.0,4139.0,292.0
2018-06-27,4147.0,636.0,101.0,36.0,154463.0,6824.0,208.0
2018-06-28,8138.0,377.0,3.0,418.0,183936.0,7391.0,38.0
2018-06-29,1897.0,437.0,1.0,476.0,186901.0,11043.0,38.0
2018-07-02,3219.0,224.0,3.0,17.0,156584.0,28043.0,30.0
2018-07-03,1134.0,319.0,4.0,210.0,89520.0,19871.0,300.0
2018-07-05,1345.0,521.0,3.0,462.0,103882.0,31002.0,20.0
2018-07-06,1897.0,831.0,1.0,232.0,114530.0,14258.0,58.0
2018-07-09,2128.0,2215.0,0.0,95.0,93018.0,32416.0,1028.0
2018-07-10,2641.0,231.0,2.0,45.0,121498.0,25659.0,93.0
2018-07-11,4523.0,296.0,3.0,41.0,145277.0,55714.0,83.0
2018-07-12,1879.0,132.0,1.0,121.0,151697.0,35217.0,1180.0
2018-07-13,1400.0,255.0,4.0,45.0,109316.0,41726.0,570.0
2018-07-16,6796.0,301.0,6.0,22.0,95293.0,13531.0,548.0
2018-07-17,1882.0,207.0,1.0,53.0,100115.0,29548.0,760.0
2018-07-18,1475.0,199.0,34.0,187.0,81867.0,34290.0,393.0
2018-07-19,1594.0,446.0,11.0,695.0,81407.0,65605.0,195.0
2018-07-20,926.0,361.0,1.0,202.0,69609.0,55154.0,458.0
2018-07-23,905.0,273.0,0.0,1669.0,75399.0,75931.0,127.0
2018-07-24,1693.0,357.0,4.0,2230.0,105606.0,66092.0,1187.0
2018-07-25,4924.0,388.0,19.0,1325.0,121593.0,58938.0,721.0
2018-07-26,3003.0,400.0,24.0,3183.0,146376.0,101394.0,867.0
2018-07-27,2077.0,482.0,13.0,4659.0,133494.0,156036.0,209.0
2018-07-30,1736.0,589.0,30.0,1062.0,127462.0,982.0,0.0
2018-07-31,1686.0,355.0,11.0,3128.0,141808.0,2865.0,50.0
2018-08-01,2439.0,312.0,29.0,3038.0,120054.0,973.0,132.0
2018-08-02,10305.0,680.0,18.0,5511.0,161081.0,1464.0,0.0
2018-08-03,1427.0,669.0,5.0,5299.0,77985.0,1163.0,703.0
2018-08-06,1477.0,670.0,119.0,5317.0,80946.0,1648.0,80.0
2018-08-07,2906.0,373.0,108.0,3197.0,167092.0,2490.0,0.0
2018-08-08,1485.0,426.0,42.0,5877.0,123366.0,2193.0,0.0
2018-08-09,1409.0,1295.0,27.0,7761.0,148239.0,2596.0,220.0
2018-08-10,3027.0,1661.0,70.0,23129.0,182404.0,2678.0,100.0
2018-08-13,2874.0,1647.0,195.0,22915.0,178694.0,3521.0,25.0
2018-08-14,3979.0,1259.0,67.0,3941.0,101207.0,1479.0,150.0
2018-08-15,8314.0,1389.0,99.0,35009.0,102535.0,2459.0,25.0
2018-08-16,3720.0,7163.0,152.0,23263.0,79361.0,866.0,0.0
2018-08-17,2637.0,1708.0,67.0,67619.0,82450.0,1014.0,50.0
2018-08-20,4606.0,1825.0,97.0,72956.0,88310.0,1463.0,0.0
2018-08-21,4680.0,5272.0,183.0,159886.0,98587.0,826.0,850.0
