Date,ES,6E,6M,ZN,ZC,GC,SR3
2018-05-07,201806,201806,201806,201806,201812,201806,201806
2018-05-08,201806,201806,201806,201806,201812,201806,201809
2018-05-09,201806,201806,201806,201806,201812,201806,201809
2018-05-10,201806,201806,201806,201806,201812,201806,201809
2018-05-11,201806,201806,201806,201806,201812,201806,201812
2018-05-14,201806,201806,201806,201806,201812,201806,201812
2018-05-15,201806,201806,201806,201806,201812,201806,201903
2018-05-16,201806,201806,201806,201806,201812,201806,201903
2018-05-17,201806,201806,201806,201806,201812,201806,201903
2018-05-18,201806,201806,201806,201806,201812,201806,201903
2018-05-21,201806,201806,201806,201806,201812,201806,201903
2018-05-22,201806,201806,201806,201806,201812,201806,201903
2018-05-23,201806,201806,201806,201806,201812,201806,201903
2018-05-24,201806,201806,201806,201806,201812,201806,201903
2018-05-25,201806,201806,201806,201806,201812,201806,201903
2018-05-29,201806,201806,201806,201806,201812,201806,201903
2018-05-30,201806,201806,201806,201806,201812,201808,201903
2018-05-31,201806,201806,201806,201809,201812,201808,201903
2018-06-01,201806,201806,201806,201809,201812,201808,201903
2018-06-04,201806,201806,201806,201809,201812,201808,201903
2018-06-05,201806,201806,201806,201809,201812,201808,201903
2018-06-06,201806,201806,201806,201809,201812,201808,201903
2018-06-07,201806,201806,201806,201809,201812,201808,201903
2018-06-08,201806,201806,201806,201809,201812,201808,201903
2018-06-11,201809,201806,201806,201809,201812,201808,201906
2018-06-12,201809,201806,201806,201809,201812,201808,201906
2018-06-13,201809,201806,201806,201809,201812,201808,201906
2018-06-14,201809,201806,201806,201809,201812,201808,201906
2018-06-15,201809,201809,201809,201809,201812,201808,201906
2018-06-18,201809,201809,201809,201809,201812,201808,201906
2018-06-19,201809,201809,201809,201809,201812,201808,201906
2018-06-20,201809,201809,201809,201809,201812,201808,201906
2018-06-21,201809,201809,201809,201809,201812,201808,201906
2018-06-22,201809,201809,201809,201809,201812,201808,201906
2018-06-25,201809,201809,201809,201809,201812,201808,201906
2018-06-26,201809,201809,201809,201809,201812,201808,201906
2018-06-27,201809,201809,201809,201809,201812,201808,201906
2018-06-28,201809,201809,201809,201809,201812,201808,201906
2018-06-29,201809,201809,201809,201809,201812,201808,201906
2018-07-02,201809,201809,201809,201809,201812,201808,201906
2018-07-03,201809,201809,201809,201809,201812,201808,201906
2018-07-05,201809,201809,201809,201809,201812,201808,201906
2018-07-06,201809,201809,201809,201809,201812,201808,201906
2018-07-09,201809,201809,201809,201809,201812,201808,201906
2018-07-10,201809,201809,201809,201809,201812,201808,201906
2018-07-11,201809,201809,201809,201809,201812,201808,201906
2018-07-12,201809,201809,201809,201809,201812,201808,201906
2018-07-13,201809,201809,201809,201809,201812,201808,201906
2018-07-16,201809,201809,201809,201809,201812,201808,201906
2018-07-17,201809,201809,201809,201809,201812,201808,201906
2018-07-18,201809,201809,201809,201809,201812,201808,201906
2018-07-19,201809,201809,201809,201809,201812,201808,201906
2018-07-20,201809,201809,201809,201809,201812,201808,201906
2018-07-23,201809,201809,201809,201809,201812,201808,201906
2018-07-24,201809,201809,201809,201809,201812,201808,201906
2018-07-25,201809,201809,201809,201809,201812,201808,201906
2018-07-26,201809,201809,201809,201809,201812,201808,201906
2018-07-27,201809,201809,201809,201809,201812,201808,201912
2018-07-30,201809,201809,201809,201809,201812,201812,201912
2018-07-31,201809,201809,201809,201809,201812,201812,201912
2018-08-01,201809,201809,201809,201809,201812,201812,201912
2018-08-02,201809,201809,201809,201809,201812,201812,201912
2018-08-03,201809,201809,201809,201809,201812,201812,201912
2018-08-06,201809,201809,201809,201809,201812,201812,202006
2018-08-07,201809,201809,201809,201809,201812,201812,202006
2018-08-08,201809,201809,201809,201809,201812,201812,202006
2018-08-09,201809,201809,201809,201809,201812,201812,202006
2018-08-10,201809,201809,201809,201809,201812,201812,202006
2018-08-13,201809,201809,201809,201809,201812,201812,202006
2018-08-14,201809,201809,201809,201809,201812,201812,202006
2018-08-15,201809,201809,201809,201809,201812,201812,202006
2018-08-16,201809,201809,201809,201809,201812,201812,202006
2018-08-17,201809,201809,201809,201809,201812,201812,202006
2018-08-20,201809,201809,201809,201809,201812,201812,202006
2018-08-21,201809,201809,201809,201809,201812,201812,202006
2018-08-22,201809,201809,201809,201809,201812,201812,202006
2018-08-23,201809,201809,201809,201809,201812,201812,202006
2018-08-24,201809,201809,201809,201809,201812,201812,202006
2018-08-27,201809,201809,201809,201809,201812,201812,202006
2018-08-28,201809,201809,201809,201809,201812,201812,202006
2018-08-29,201809,201809,201809,201809,201812,201812,202006
2018-08-30,201809,201809,201809,201809,201812,201812,202006
2018-08-31,201809,201809,201809,201812,201812,201812,202006
2018-09-04,201809,201809,201809,201812,201812,201812,202006
2018-09-05,201809,201809,201809,201812,201812,201812,202006
2018-09-06,201809,201809,201809,201812,201812,201812,202006
2018-09-07,201809,201809,201809,201812,201812,201812,202006
2018-09-10,201809,201809,201809,201812,201812,201812,202006
2018-09-11,201809,201809,201809,201812,201812,201812,202006
2018-09-12,201809,201809,201809,201812,201812,201812,202006
2018-09-13,201809,201809,201809,201812,201812,201812,202006
2018-09-14,201812,201812,201812,201812,201812,201812,202006
2018-09-17,201812,201812,201812,201812,201812,201812,202006
2018-09-18,201812,201812,201812,201812,201812,201812,202006
2018-09-19,201812,201812,201812,201812,201812,201812,202006
2018-09-20,201812,201812,201812,201812,201812,201812,202006
2018-09-21,201812,201812,201812,201812,201812,201812,202006
2018-09-24,201812,201812,201812,201812,201812,201812,202006
2018-09-25,201812,201812,201812,201812,201812,201812,202006
2018-09-26,201812,201812,201812,201812,201812,201812,202006
2018-09-27,201812,201812,201812,201812,201812,201812,202006
2018-09-28,201812,201812,201812,201812,201812,201812,202009
2018-10-01,201812,201812,201812,201812,201812,201812,202009
2018-10-02,201812,201812,201812,201812,201812,201812,202009
2018-10-03,201812,201812,201812,201812,201812,201812,202009
2018-10-04,201812,201812,201812,201812,201812,201812,202009
2018-10-05,201812,201812,201812,201812,201812,201812,202009
2018-10-08,201812,201812,201812,201812,201812,201812,202009
2018-10-09,201812,201812,201812,201812,201812,201812,202009
2018-10-10,201812,201812,201812,201812,201812,201812,202009
2018-10-11,201812,201812,201812,201812,201812,201812,202009
2018-10-12,201812,201812,201812,201812,201812,201812,202009
2018-10-15,201812,201812,201812,201812,201812,201812,202009
2018-10-16,201812,201812,201812,201812,201912,201812,202009
2018-10-17,201812,201812,201812,201812,201912,201812,202009
2018-10-18,201812,201812,201812,201812,201912,201812,202009
2018-10-19,201812,201812,201812,201812,201912,201812,202009
2018-10-22,201812,201812,201812,201812,201912,201812,202009
2018-10-23,201812,201812,201812,201812,201912,201812,202009
2018-10-24,201812,201812,201812,201812,201912,201812,202009
2018-10-25,201812,201812,201812,201812,201912,201812,202009
2018-10-26,201812,201812,201812,201812,201912,201812,202009
2018-10-29,201812,201812,201812,201812,201912,201812,202009
2018-10-30,201812,201812,201812,201812,201912,201812,202009
2018-10-31,201812,201812,201812,201812,201912,201812,202009
2018-11-01,201812,201812,201812,201812,201912,201812,202009
2018-11-02,201812,201812,201812,201812,201912,201812,202009
2018-11-05,201812,201812,201812,201812,201912,201812,202009
2018-11-06,201812,201812,201812,201812,201912,201812,202009
2018-11-07,201812,201812,201812,201812,201912,201812,202009
2018-11-08,201812,201812,201812,201812,201912,201812,202009
2018-11-09,201812,201812,201812,201812,201912,201812,202009
2018-11-12,201812,201812,201812,201812,201912,201812,202009
2018-11-13,201812,201812,201812,201812,201912,201812,202009
2018-11-14,201812,201812,201812,201812,201912,201812,202009
2018-11-15,201812,201812,201812,201812,201912,201812,202009
2018-11-16,201812,201812,201812,201812,201912,201812,202009
2018-11-19,201812,201812,201812,201812,201912,201812,202009
