Date,ES,6E,6M,ZN,ZC,GC,SR3
2018-05-07,2670.0,1.19585,0.05096,119.6875,416.5,1314.1,98.025
2018-05-08,2670.25,1.189,0.05074,119.515625,419.5,1313.7,97.84
2018-05-09,2696.0,1.1894,0.05078,119.265625,419.5,1313.0,97.84
2018-05-10,2718.75,1.19565,0.05173,119.390625,419.5,1322.3,97.825
2018-05-11,2729.5,1.19725,0.05127,119.40625,414.5,1320.7,97.64
2018-05-14,2731.0,1.19715,0.0508,119.25,414.25,1318.2,97.645
2018-05-15,2709.0,1.18755,0.05045,118.609375,419.25,1290.3,97.48
2018-05-16,2723.0,1.1828,0.05071,118.546875,417.0,1291.5,97.48
2018-05-17,2718.75,1.18225,0.05051,118.515625,413.0,1289.4,97.48
2018-05-18,2713.0,1.1797,0.0499,118.84375,420.25,1291.3,97.495
2018-05-21,2733.0,1.1795,0.05009,118.84375,421.0,1290.9,97.485
2018-05-22,2726.0,1.18,0.05036,118.875,423.25,1292.0,97.495
2018-05-23,2730.75,1.1719,0.05079,119.390625,426.5,1289.6,97.545
2018-05-24,2727.5,1.17455,0.05053,119.5,422.5,1304.4,97.575
2018-05-25,2718.25,1.16795,0.05101,119.859375,425.0,1303.7,97.6
2018-05-29,2692.25,1.1548,0.05014,121.234375,419.0,1299.0,97.78
2018-05-30,2724.5,1.1668,0.05032,120.609375,413.25,1306.5,97.69
2018-05-31,2705.5,1.17005,0.04998,120.4375,413.75,1304.7,97.685
2018-06-01,2733.75,1.1675,0.05006,119.84375,411.75,1299.3,97.615
2018-06-04,2745.5,1.1709,0.04983,119.5,401.25,1297.3,97.56
2018-06-05,2751.5,1.1724,0.049,119.703125,404.0,1302.2,97.57
2018-06-06,2772.25,1.17775,0.04911,119.28125,399.75,1301.4,97.54
2018-06-07,2772.25,1.18145,0.04863,119.59375,396.75,1303.0,97.545
2018-06-08,2778.75,1.17765,0.04906,119.59375,398.0,1302.7,97.56
2018-06-11,2786.75,1.1793,0.04854,119.4375,388.25,1303.2,97.45
2018-06-12,2788.25,1.17545,0.04826,119.40625,398.25,1299.4,97.44
2018-06-13,2779.0,1.17775,0.04816,119.1875,397.0,1301.3,97.405
2018-06-14,2788.5,1.15935,0.04797,119.4375,384.5,1308.3,97.405
2018-06-15,2784.5,1.1686,0.04767,119.59375,382.75,1278.5,97.42
2018-06-18,2779.75,1.16955,0.04792,119.59375,377.25,1280.1,97.41
2018-06-19,2766.25,1.1653,0.048,119.84375,375.5,1278.6,97.44
2018-06-20,2772.0,1.1663,0.0484,119.609375,375.75,1274.5,97.435
2018-06-21,2752.5,1.1698,0.04872,119.859375,378.25,1270.5,97.445
2018-06-22,2759.5,1.17375,0.04927,119.828125,378.0,1270.7,97.445
2018-06-25,2722.25,1.1778,0.04942,120.03125,371.5,1268.9,97.465
2018-06-26,2728.5,1.1723,0.04957,120.0,373.25,1259.9,97.48
2018-06-27,2705.0,1.1628,0.04889,120.390625,373.25,1256.1,97.515
2018-06-28,2719.5,1.16235,0.05006,120.1875,366.0,1251.0,97.515
2018-06-29,2721.5,1.17365,0.04971,120.1875,371.25,1254.5,97.515
2018-07-02,2727.25,1.16745,0.04927,120.078125,359.0,1241.7,97.515
2018-07-03,2713.25,1.17145,0.05046,120.3125,364.25,1253.5,97.52
2018-07-05,2738.5,1.1741,0.05142,120.25,364.5,1258.8,97.5
2018-07-06,2763.0,1.1805,0.05186,120.34375,373.0,1255.8,97.515
2018-07-09,2787.5,1.1809,0.05157,120.125,367.0,1259.6,97.495
2018-07-10,2796.75,1.1804,0.05226,120.015625,360.75,1255.4,97.48
2018-07-11,2774.0,1.173,0.05204,120.25,353.25,1244.4,97.48
2018-07-12,2798.5,1.17255,0.05231,120.15625,359.25,1246.6,97.465
2018-07-13,2803.25,1.1731,0.05226,120.359375,354.75,1241.2,97.47
2018-07-16,2796.5,1.1767,0.05258,120.171875,355.25,1239.7,97.455
2018-07-17,2811.25,1.1716,0.05248,120.125,359.75,1227.3,97.43
2018-07-18,2816.0,1.16995,0.05255,120.0625,361.0,1227.9,97.425
2018-07-19,2805.25,1.16935,0.05207,120.296875,365.0,1224.0,97.425
2018-07-20,2800.75,1.17735,0.05199,119.984375,369.0,1231.1,97.42
2018-07-23,2812.0,1.1737,0.05215,119.484375,371.25,1225.6,97.39
2018-07-24,2821.0,1.173,0.05245,119.5625,366.0,1225.5,97.38
2018-07-25,2841.25,1.17465,0.053,119.65625,373.25,1231.8,97.38
2018-07-26,2842.5,1.16885,0.0532,119.34375,375.75,1225.7,97.35
2018-07-27,2817.5,1.1699,0.05327,119.4375,376.25,1223.0,97.255
2018-07-30,2803.25,1.1751,0.05353,119.375,381.25,1231.5,97.255
2018-07-31,2817.0,1.17375,0.05321,119.421875,386.5,1233.6,97.255
2018-08-01,2810.75,1.17025,0.05337,119.171875,379.5,1227.6,97.25
