Date,ES,6E,6M,ZN,ZC,GC,SR3
2018-05-07,1148919.0,165318.0,54700.0,633457.0,81851.0,235292.0,1043.0
2018-05-08,1281751.0,287935.0,70848.0,1208157.0,88335.0,407409.0,325.0
2018-05-09,1251722.0,261003.0,59734.0,1146875.0,75454.0,384042.0,0.0
2018-05-10,1173629.0,332089.0,86167.0,1424795.0,132671.0,373535.0,576.0
2018-05-11,1066248.0,223015.0,77972.0,1018534.0,90143.0,263471.0,76.0
2018-05-14,945963.0,201921.0,66375.0,924286.0,77043.0,241225.0,223.0
2018-05-15,1519108.0,331653.0,109299.0,2462266.0,85759.0,485197.0,711.0
2018-05-16,1057687.0,381691.0,74601.0,1803123.0,66802.0,333614.0,542.0
2018-05-17,1071506.0,283482.0,71764.0,1649924.0,50569.0,298816.0,39.0
2018-05-18,1013073.0,257054.0,78538.0,1608621.0,78514.0,264426.0,701.0
2018-05-21,951913.0,265071.0,67444.0,1495659.0,81739.0,328016.0,0.0
2018-05-22,891511.0,291627.0,59796.0,1541549.0,89174.0,291716.0,0.0
2018-05-23,1295885.0,430841.0,108727.0,2875558.0,79328.0,402342.0,428.0
2018-05-24,1277264.0,308535.0,79908.0,3791797.0,102952.0,432419.0,132.0
2018-05-25,993783.0,363578.0,55793.0,2761228.0,61276.0,292912.0,662.0
2018-05-29,1989677.0,731721.0,89927.0,5473546.0,89230.0,386334.0,489.0
2018-05-30,1424364.0,504707.0,87099.0,2189691.0,137414.0,338847.0,950.0
2018-05-31,1665452.0,411583.0,73926.0,2638899.0,94678.0,315137.0,209.0
2018-06-01,1241171.0,347073.0,52556.0,2163284.0,85407.0,318565.0,309.0
2018-06-04,857850.0,250314.0,42061.0,1346499.0,155815.0,215328.0,310.0
2018-06-05,1027609.0,278736.0,91309.0,1653378.0,112441.0,271294.0,178.0
2018-06-06,1326401.0,328571.0,63485.0,1603866.0,136777.0,252054.0,207.0
2018-06-07,1773923.0,299866.0,72250.0,2145874.0,140882.0,259648.0,400.0
2018-06-08,1367033.0,270952.0,89774.0,2042131.0,79352.0,217650.0,590.0
2018-06-11,1558782.0,228004.0,94317.0,1175545.0,145820.0,211583.0,1333.0
2018-06-12,1496135.0,327959.0,98828.0,1236771.0,138182.0,236393.0,643.0
2018-06-13,1384101.0,457432.0,112963.0,1501977.0,90953.0,263840.0,0.0
2018-06-14,1275141.0,570616.0,79306.0,1604785.0,183111.0,347193.0,25.0
2018-06-15,1512061.0,321630.0,80969.0,1634656.0,195859.0,525960.0,75.0
2018-06-18,993118.0,181774.0,46099.0,917718.0,133693.0,195743.0,25.0
2018-06-19,1657081.0,295487.0,61172.0,1551816.0,226830.0,289574.0,90.0
2018-06-20,1082802.0,233958.0,58747.0,1231414.0,130113.0,233184.0,88.0
2018-06-21,1493235.0,333933.0,65893.0,1566709.0,128844.0,281809.0,87.0
2018-06-22,1108771.0,241796.0,61981.0,937367.0,119601.0,184223.0,148.0
2018-06-25,2206994.0,217497.0,63985.0,1504375.0,128661.0,201565.0,91.0
2018-06-26,1399067.0,248560.0,64053.0,1058281.0,209659.0,254014.0,244.0
2018-06-27,2117686.0,302853.0,69349.0,1898576.0,163861.0,256900.0,492.0
2018-06-28,1678667.0,264551.0,81903.0,1409221.0,170569.0,241824.0,161.0
2018-06-29,1641889.0,338579.0,87903.0,1402554.0,210864.0,226196.0,770.0
2018-07-02,1213215.0,192483.0,90646.0,1072783.0,208090.0,262872.0,67.0
2018-07-03,860533.0,176487.0,69609.0,1041155.0,102860.0,297343.0,142.0
2018-07-05,1165235.0,294051.0,95724.0,1166546.0,100184.0,392947.0,50.0
2018-07-06,1287758.0,224361.0,58879.0,992184.0,129156.0,200193.0,145.0
2018-07-09,970337.0,186245.0,55162.0,804790.0,132694.0,238968.0,1685.0
2018-07-10,925706.0,176362.0,61417.0,1011141.0,168514.0,272630.0,103.0
2018-07-11,1369176.0,253616.0,76581.0,1588869.0,189076.0,299639.0,261.0
2018-07-12,1120424.0,169174.0,60766.0,998978.0,218959.0,220956.0,286.0
2018-07-13,952307.0,197721.0,48278.0,822694.0,148343.0,257313.0,121.0
2018-07-16,801608.0,150267.0,34424.0,878760.0,109481.0,186301.0,40.0
2018-07-17,1059163.0,193417.0,44882.0,818755.0,133693.0,318219.0,30.0
2018-07-18,860523.0,204532.0,63835.0,866201.0,107024.0,283976.0,418.0
2018-07-19,1082645.0,280556.0,74776.0,1757197.0,123789.0,428879.0,893.0
2018-07-20,1013663.0,290909.0,68261.0,1329203.0,107310.0,355232.0,119.0
2018-07-23,812481.0,187511.0,48353.0,1631269.0,93312.0,333328.0,1365.0
2018-07-24,1347688.0,199833.0,44209.0,1311962.0,127345.0,299064.0,289.0
2018-07-25,1302896.0,223726.0,51299.0,1673593.0,131602.0,272250.0,126.0
2018-07-26,1039552.0,250043.0,62242.0,1476232.0,193944.0,285613.0,1583.0
2018-07-27,1492056.0,202612.0,52131.0,1273355.0,140474.0,254428.0,951.0
2018-07-30,1169457.0,183956.0,45360.0,1053711.0,161085.0,183752.0,1.0
2018-07-31,1366896.0,227953.0,55471.0,1915199.0,215405.0,297825.0,363.0
2018-08-01,1098291.0,193668.0,51465.0,1500142.0,208725.0,218458.0,131.0
2018-08-02,1238138.0,231821.0,50800.0,1306817.0,246583.0,234632.0,0.0
2018-08-03,922242.0,267096.0,45208.0,1284592.0,123360.0,280209.0,892.0
2018-08-06,797324.0,205320.0,31349.0,905781.0,98617.0,199536.0,80.0
2018-08-07,780222.0,215677.0,35178.0,840015.0,202109.0,205380.0,0.0
2018-08-08,745412.0,211417.0,41419.0,987422.0,156202.0,263236.0,181.0
2018-08-09,696695.0,227087.0,49873.0,1137612.0,198325.0,232037.0,365.0
2018-08-10,1416182.0,453203.0,98598.0,2336406.0,308641.0,328240.0,100.0
2018-08-13,1282874.0,325193.0,93859.0,2075482.0,215084.0,374115.0,845.0
2018-08-14,1022577.0,263133.0,68218.0,1292946.0,152312.0,242549.0,675.0
2018-08-15,1871800.0,289694.0,80632.0,1829448.0,125629.0,377682.0,25.0
2018-08-16,1271529.0,305497.0,72352.0,1253118.0,109870.0,362108.0,3.0
2018-08-17,1202980.0,251028.0,58565.0,1312548.0,126694.0,255792.0,79.0
