Date,ES,6E,6M,ZN,ZC,GC,SR3
2018-05-07,1.9861889414865765,-0.14005946544218162,1.7712156198232667,-14.829425594799892,4.406754631398964,0.7706038044122014,0.0
2018-05-08,2.1588350204215123,-1.2235455514338547,0.9594225566649761,-15.613696595125644,4.5399358862099755,0.5852926269816217,0.0
2018-05-09,2.459205815096033,-2.167271694786642,0.23224057216302962,-15.550950228636843,5.236777563229113,0.3956552650277603,0.0
2018-05-10,2.827531032640585,-2.565837640518087,0.00020893560338475226,-15.67282622589426,6.228484929611628,0.4252785541725297,0.0
2018-05-11,3.8025005712183306,-3.0541969863270033,-0.35117587930434313,-17.71529344970658,5.6539448810720545,0.42350596625817816,0.0
2018-05-14,4.257006602025204,-3.4975340975254974,-0.8292937182380706,-17.760508861018984,5.54775491022376,0.3628533460722061,0.0
2018-05-15,4.553263439704573,-4.072703240239267,-1.3785759240847348,-15.884938329163576,5.378001543450848,-0.24866424834137657,0.0
2018-05-16,4.8860581084836525,-4.851677201919794,-1.7457242185122057,-16.58941292908248,5.340298735073724,-0.7565662754689131,0.0
2018-05-17,5.207736024689491,-5.5361590306423665,-2.164836583410242,-17.671205769923272,4.927577355895822,-1.313722859398848,0.0
2018-05-18,5.34605098487002,-6.27959712316406,-2.768868564865909,-16.6676298236318,4.707147519800243,-1.7377000738117707,0.0
2018-05-21,5.7009611680547465,-6.590563281253408,-3.2085412499225265,-16.73587856819923,5.015568877181372,-2.110577286788341,0.0
2018-05-22,6.065924335243454,-6.927749598690625,-3.4245988600268844,-16.869570243867557,5.281595469607313,-2.3904010988421156,0.0
2018-05-23,6.270416391273643,-7.328796472484173,-3.373634695680181,-15.389297018341853,5.631666356201563,-2.723891238863969,0.0
2018-05-24,6.541579478263669,-7.669398963734938,-3.81287213840821,-15.343403261412053,5.544970380011808,-2.4495441372379005,0.0
2018-05-25,6.763525998313724,-8.034221402146981,-3.652710681008812,-14.416823912319968,6.156061861055103,-2.4661082430918944,0.0
2018-05-29,6.206349936035105,-8.460329816864304,-3.983520886051691,-8.61492357667619,5.559746982651806,-2.647690062686306,0.0
2018-05-30,6.5439734556012725,-8.647166311311732,-4.137606302424603,-7.439691133378328,4.889488465693051,-2.7207358216774833,0.0
2018-05-31,6.252203077597145,-8.772617641325713,-4.3818708609001265,-6.9513608207849495,4.812399068810769,-2.8300659517579807,0.0
2018-06-01,6.466818200968795,-9.104320448392974,-4.605017039438881,-6.359116083435491,4.402124322311973,-2.9683957776943095,0.0
2018-06-04,6.704439847085167,-9.21347649249222,-5.165073990707261,-6.202350473286327,3.108620614802238,-3.181241505118859,0.0
2018-06-05,7.365784470851089,-9.21422082859013,-5.448178585718867,-6.029141742565246,2.547414442902387,-3.180317791524822,0.0
2018-06-06,7.676090014527466,-9.12218953755282,-5.9617993720129645,-5.974513886570966,1.9233363972396198,-3.3907188428293766,0.0
2018-06-07,8.600577231679999,-8.719488121938966,-6.453985771916928,-5.814531807407068,1.2089655512203714,-3.3772582697760956,0.0
2018-06-08,9.01678037698038,-8.552327261315313,-6.539816572897998,-5.731204678988808,0.6498439330392931,-3.449749659323841,0.0
2018-06-11,9.959701783999574,-8.36303831536463,-6.9002545144094665,-5.682128709927516,-0.24308754064616064,-3.4336810497208985,0.0
2018-06-12,10.326540794784892,-8.318620289148093,-7.651205712400526,-5.659756591405727,-0.5274838834360748,-3.4852039221067432,0.0
2018-06-13,10.379476038066972,-8.363230010255803,-8.11885213488728,-5.710826970177473,-0.8519370374742272,-3.480095000358675,0.0
2018-06-14,11.087320954379141,-7.353582910829859,-8.593138804558981,-5.6623244290365875,-1.4195333462401434,-3.2340003539707527,0.0
2018-06-15,11.651424245950354,-7.830603417040178,-9.737663343375816,-5.538310923673768,-2.0459881564614166,-3.0300301039145054,0.0
2018-06-18,11.779154057558122,-8.059207283902433,-9.805651679736627,-5.427111204287646,-2.7583926018997382,-3.370468809457898,0.0
2018-06-19,11.430863139876696,-8.324549352169239,-9.982561852781176,-5.210925750438775,-3.442480811690659,-3.699133136889183,0.0
2018-06-20,12.064078596005707,-8.825324502832682,-9.644834343389338,-5.376239882722827,-4.149750016682071,-5.0399588325815925,0.0
2018-06-21,11.424544204394532,-8.873881354875799,-9.30704672335086,-5.1637723588462485,-4.5280780464948265,-5.504012615301243,0.0
2018-06-22,11.254324907714658,-8.712905940198114,-8.4748967855553,-4.998687435126037,-4.925310461133866,-5.903931454101678,0.0
2018-06-25,9.395676603267018,-8.462676379756426,-8.322962478335427,-4.7930597900098695,-5.714556674639663,-6.305915865399494,0.0
2018-06-26,9.250465165283245,-8.339033523106874,-7.808952689779265,-4.588842879240783,-6.106964280603867,-6.690319226067696,0.0
2018-06-27,8.28574352053188,-8.260187041766075,-7.286841597982177,-4.1815521138509215,-6.542758709557021,-7.2302604986675485,0.0
2018-06-28,7.768859025699528,-8.673228890900864,-5.867131402433749,-4.034946351453267,-7.128976336289016,-7.771720470560408,0.0
2018-06-29,7.439661682369026,-8.021784156888486,-5.461255285382922,-3.8355070536757303,-7.115630375101639,-9.063958282489297,0.0
2018-07-02,7.22803946140341,-8.064511503833817,-5.31764333291431,-3.747552791695374,-7.346853689769122,-9.3363453929559,0.0
2018-07-03,7.134572256484237,-8.602019676938337,-4.460566547197558,-4.99489897991233,-7.471049249678586,-8.931395142180884,0.0
2018-07-05,7.305908794973755,-9.088546881427144,-3.4177043336937807,-5.323016754053744,-7.799443502871927,-8.929076697436855,0.0
2018-07-06,7.425108359825181,-8.569809984319715,-2.6039709187657394,-5.024032507726337,-7.307973380878777,-9.066261293809596,0.0
2018-07-09,7.983624761498777,-8.267725614524167,-1.9469157050286643,-5.521950161277103,-7.375353778253051,-9.034957846504582,0.0
2018-07-10,8.493723387265964,-8.020878431743293,-1.1559128778945762,-5.775318499086767,-7.930273193689622,-9.114958415959473,0.0
2018-07-11,8.250219330916176,-7.733274216890456,-0.591770322714325,-5.501835597426983,-8.346785145181261,-9.32354896014956,0.0
2018-07-12,8.518469779872374,-7.831821788023469,0.05443253706646922,-5.929600595210099,-8.29810995419044,-9.477852223121612,0.0
2018-07-13,8.876297622884367,-7.838505426354505,0.6210492870040545,-5.775978076234662,-8.572442203530318,-9.78244067824458,0.0
2018-07-16,9.096569206367162,-7.631037101657323,1.228497920110279,-5.5010316551105785,-8.830574640376115,-10.062414375385039,0.0
2018-07-17,9.315184472754353,-7.53469983624626,1.7840922125884555,-5.527153673908386,-9.077053872428912,-10.273308520290293,0.0
2018-07-18,9.645060750350918,-7.593027692272227,2.2973036328891605,-5.506065917701481,-9.816802758074317,-10.620102579899475,0.0
2018-07-19,9.793606900205692,-7.649989474911719,2.4569325456332276,-5.360646565549951,-9.503386465490369,-11.10273684901974,0.0
2018-07-20,9.921876453424655,-8.989980713648226,2.6469726693813573,-5.215597603771267,-10.004433874199778,-11.282687960725427,0.0
2018-07-23,10.040581854871359,-8.75433682171927,2.867782215436518,-5.082030794784977,-9.638086403942605,-14.38487249480579,0.0
2018-07-24,10.2643015715567,-8.654533388053359,3.148407850171755,-5.400519795650747,-9.535834313947339,-14.635818861356892,0.0
2018-07-25,10.61187702690785,-8.633099582133376,3.5495921875462955,-5.756301150025777,-8.819299189871495,-14.524571779990737,0.0
2018-07-26,10.966045098364777,-8.423238844870923,4.008180491694756,-6.077477700907497,-8.38953769587786,-14.65543705720906,0.0
2018-07-27,10.785282410582212,-8.493844749840823,4.418350170324212,-6.54761204187299,-8.05509918478594,-14.850849409976394,0.0
2018-07-30,10.477349530106839,-8.218396142732448,4.918524956648591,-6.850725767772195,-7.432989626659326,-15.048187701062323,0.0
2018-07-31,11.754680339781395,-8.183428942212414,5.084587746583111,-7.235205004278782,-6.94592723417855,-15.138383709111812,0.0
2018-08-01,11.595267170487887,-8.293056383072795,5.3648973469121,-7.456684683502637,-6.38907558858042,-15.458645865554653,0.0
2018-08-02,12.332189635712759,-8.7536282837597,5.882950395516304,-8.26212059417639,-6.047569418709509,-15.557516755131909,0.0
2018-08-03,12.616291152807019,-8.99544892757919,6.869663340127995,-7.898170906874198,-5.868635212777829,-15.690727810263175,0.0
2018-08-06,12.886500569795956,-10.636204189984774,7.431300237034714,-7.647247824078235,-5.5567944087184475,-15.946732224533026,-5.110106604198002
2018-08-07,13.215782666639495,-10.979321326618823,8.137990798523553,-7.521415253188171,-6.00204743928423,-16.41262155537099,-5.18822940370521
2018-08-08,13.826213403687566,-11.117659335969371,10.086259472594591,-7.795277693716079,-5.741317890108194,-17.06808136505048,-5.1637483655293455
2018-08-09,14.53695296160221,-10.800619259310718,10.917877923106019,-7.401812527924226,-5.445628865847764,-17.4163005526783,-4.840142485882492
2018-08-10,14.467140206697238,-10.287913789648783,9.081357452191217,-5.629387289864338,-5.318401948476012,-17.54781561512336,-2.7433721607311305
2018-08-13,14.757660044399788,-10.956372036166991,7.765414334313499,-5.257425446651201,-5.682343612204758,-16.730090706681864,-2.3145178634355417
2018-08-14,14.51813953248906,-11.54973831769618,7.354230426087869,-4.955214018568862,-5.693869511245682,-16.827273400252775,-2.02873394639119
2018-08-15,14.461527824235286,-12.473154050310564,6.397053613207787,-4.391252008047163,-6.051593472486362,-16.748222470820217,-1.4609268831637015
2018-08-16,14.565900591756424,-12.831787112864905,6.058188837935775,-4.057957534413619,-5.97852790787957,-16.973968298044973,-1.2150922324651534
2018-08-17,14.629366183776877,-12.099641025979773,5.847714376713722,-3.853133101103377,-6.014953299077192,-17.131007729361794,-0.9787161478501055
2018-08-20,14.890539765387249,-12.194796077647558,5.64446483298997,-3.2559094933529305,-5.904559134456478,-16.858794242032378,-0.5988745716200283
2018-08-21,15.326848755384862,-10.894087972039497,5.506967771714425,-2.9233148951722576,-5.990716943255922,-17.091349930358632,-0.3625634209360204
2018-08-22,15.44116335420772,-10.50748774979754,5.547816757338908,-2.5303093493330877,-5.912003962989365,-17.1346251343364,-0.07996986390382041
2018-08-23,15.734387743992402,-10.166939314296513,5.442382024957354,-2.2503243962447197,-6.286370062519314,-17.112110373802537,0.03130535703509513
2018-08-24,15.582252286172181,-9.643542266124399,5.379805597545436,-2.0919555431796493,-6.725170031040849,-16.190038030122118,0.12504272605638286
2018-08-27,15.554129607014175,-8.97701187491145,5.387285029893694,-2.190657784930427,-7.111245693037954,-15.820822601238916,0.08006713958438542
2018-08-28,15.997431582626778,-8.433863133730297,4.917324095446189,-2.229622436018408,-7.60476905073806,-15.474569558093672,-0.05874390773357041
2018-08-29,16.788574551817547,-7.962056748272278,4.944944362608615,-2.3220454920262297,-8.566991146158957,-15.476896655829794,-0.27020594841924184
2018-08-30,16.615464296063223,-7.732431116359011,4.723935443363788,-2.357992921780885,-9.045482568141935,-15.343528469625163,-0.40583339424359494
2018-08-31,18.473185788498355,-7.438232965874988,4.531513889220211,-2.2110495475169554,-8.229547651728966,-15.155857582357394,-0.2965106185450678
2018-09-04,19.1776911111708,-7.548330432427463,3.8987929127052317,-2.228543986805704,-8.202179057566186,-14.953506808833266,-0.3353256815135876
2018-09-05,18.9785319669571,-7.270731727267352,3.5164072526971633,-2.3174339638436323,-8.429592426855292,-14.887068645543142,-0.40408659052714263
2018-09-06,18.66071507352993,-7.155980161843746,3.2429000199386797,-2.2760877361631353,-8.70898749531552,-14.779622450413918,-0.3665184589383244
2018-09-07,18.681996568339034,-7.302916707727845,2.97745759214341,-2.336571942034916,-8.623138077620958,-14.894809807863972,-0.6067407919618715
2018-09-10,18.594796771832964,-7.1837045484726065,2.83509498138538,-2.633819114483787,-8.624254761063472,-14.91306246882042,-0.8577507138498636
2018-09-11,18.544409582285574,-7.163023677602565,2.7213927914957434,-2.9801020085569148,-8.548256469741126,-14.846485138946587,-1.239623403664023
2018-09-12,18.534974296445167,-6.944204136577734,2.7181325058196872,-3.330674613116697,-7.519251432622342,-14.1109556518896,-1.6144625170941163
2018-09-13,18.332221899413607,-6.495195643310787,2.890267931512463,-3.5989869473507747,-7.962108482361779,-13.888990298226185,-2.0262247595546765
2018-09-14,18.41846476021725,-6.484193410460469,3.1564119781106976,-3.9876938702668703,-8.235712325470315,-13.622861085378794,-2.51816299285327
2018-09-17,18.335126554171275,-7.223424380272299,3.6049359054449885,-5.21476336507061,-9.415719947594553,-13.312674953579153,-3.5459111022734677
2018-09-18,18.40510382488637,-6.9615445117012325,4.10608596266313,-5.680211839798481,-9.819843312677946,-15.217537658281667,-4.103635765397674
2018-09-19,18.699916706411386,-7.014813393797356,4.676522808252978,-6.338127189502721,-10.597268385932132,-14.790637408648818,-4.760117426443692
