Date,CurrentContract,CarryContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
1999-01-04,199903,199906,1.1921,2.0,1.1866,2924.0,1.4157999876022336
1999-01-05,199903,199906,1.1875,1.0,1.182,2111.0,1.4111999876022332
1999-01-06,199903,199906,1.1697,1.0,1.1642,5106.0,1.3933999876022334
1999-01-07,199903,199906,1.1804,1.0,1.1749,3893.0,1.4040999876022333
1999-01-08,199903,199906,1.1684,0.0,1.1629,4032.0,1.3920999876022333
1999-01-11,199903,199906,1.1578,0.0,1.1523,6195.0,1.3814999876022336
1999-01-12,199903,199906,1.1641,0.0,1.1586,3266.0,1.3877999876022336
1999-01-13,199903,199906,1.1743,0.0,1.1688,5765.0,1.3979999876022333
1999-01-14,199903,199906,1.1797,0.0,1.1742,1304.0,1.4033999876022332
1999-01-15,199903,199906,1.1677,0.0,1.1622,1065.0,1.3913999876022332
1999-01-19,199903,199906,1.1698,102.0,1.1643,1787.0,1.3934999876022331
1999-01-20,199903,199906,1.1643,0.0,1.1586,1596.0,1.3877999876022336
1999-01-21,199903,199906,1.1687,0.0,1.163,1115.0,1.3921999876022335
1999-01-22,199903,199906,1.1673,0.0,1.1616,1246.0,1.3907999876022332
1999-01-25,199903,199906,1.1641,0.0,1.1584,975.0,1.3875999876022336
1999-01-26,199903,199906,1.1646,0.0,1.1589,1853.0,1.3880999876022333
1999-01-27,199903,199906,1.1516,8.0,1.1459,14831.0,1.3750999876022334
1999-01-28,199903,199906,1.1503,0.0,1.1446,7198.0,1.3737999876022333
1999-01-29,199903,199906,1.1448,0.0,1.1391,2584.0,1.3682999876022333
1999-02-01,199903,199906,1.1393,2.0,1.1336,5326.0,1.3627999876022332
1999-02-02,199903,199906,1.1428,8.0,1.1371,2621.0,1.3662999876022335
1999-02-03,199903,199906,1.1398,5.0,1.1341,4839.0,1.3632999876022334
1999-02-04,199903,199906,1.141,5.0,1.1355,6022.0,1.3646999876022332
1999-02-05,199903,199906,1.134,0.0,1.1285,2585.0,1.3576999876022335
1999-02-08,199903,199906,1.1399,5.0,1.1344,10459.0,1.3635999876022336
1999-02-09,199903,199906,1.1363,0.0,1.1308,2001.0,1.3599999876022335
1999-02-10,199903,199906,1.1418,0.0,1.1363,4079.0,1.3654999876022336
1999-02-11,199903,199906,1.1304,0.0,1.1249,2915.0,1.3540999876022335
1999-02-12,199903,199906,1.1351,0.0,1.1296,4004.0,1.3587999876022332
1999-02-16,199903,199906,1.1272,9.0,1.1217,6745.0,1.3508999876022334
1999-02-17,199903,199906,1.1306,96.0,1.1251,4953.0,1.3542999876022335
