Date,CurrentContract,CarryContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
1995-04-25,199506,199509,0.1409,304.0,0.1568,528.0,-0.06611000114798542
1995-04-26,199506,199509,0.1424,207.0,0.1589,659.0,-0.0640100011479854
1995-04-27,199506,199509,0.1385,206.0,0.155,701.0,-0.06791000114798541
1995-04-28,199506,199509,0.139,67.0,0.1557,477.0,-0.06721000114798541
1995-05-01,199506,199509,0.1405,9.0,0.157,44.0,-0.06591000114798541
1995-05-02,199506,199509,0.1447,187.0,0.1587,364.0,-0.0642100011479854
1995-05-03,199506,199509,0.145,117.0,0.1598,539.0,-0.0631100011479854
1995-05-04,199509,199506,0.16,136.0,0.1445,150.0,-0.0629100011479854
1995-05-05,199509,199506,0.1603,57.0,0.1448,29.0,-0.06261000114798537
1995-05-08,199509,199506,0.1609,247.0,0.1455,98.0,-0.0619100011479854
1995-05-09,199509,199506,0.1605,430.0,0.146,159.0,-0.0614100011479854
1995-05-10,199509,199506,0.1603,567.0,0.1463,114.0,-0.06111000114798538
1995-05-11,199509,199506,0.1616,220.0,0.1476,105.0,-0.05981000114798538
1995-05-12,199509,199506,0.1608,268.0,0.1461,172.0,-0.061310001147985384
1995-05-15,199509,199506,0.161,162.0,0.1465,293.0,-0.0609100011479854
1995-05-16,199509,199506,0.1612,143.0,0.147,119.0,-0.0604100011479854
1995-05-17,199509,199506,0.162,251.0,0.147,45.0,-0.0604100011479854
1995-05-18,199509,199506,0.164,268.0,0.1496,143.0,-0.05781000114798538
1995-05-19,199509,199506,0.1636,227.0,0.1497,306.0,-0.05771000114798539
1995-05-22,199512,199509,0.1515,140.0,0.1408,307.0,-0.055910001147985396
1995-05-23,199512,199509,0.1504,309.0,0.1392,177.0,-0.057510001147985414
1995-05-24,199512,199509,0.1487,246.0,0.1375,64.0,-0.05921000114798539
1995-05-25,199512,199509,0.1472,271.0,0.1366,11.0,-0.060110001147985405
1995-05-26,199512,199509,0.1462,102.0,0.1353,13.0,-0.0614100011479854
1995-05-30,199512,199509,0.1427,400.0,0.1323,17.0,-0.06441000114798541
1995-05-31,199512,199509,0.144,329.0,0.134,2.0,-0.06271000114798539
1995-06-01,199512,199509,0.1447,129.0,0.1344,18.0,-0.06231000114798541
1995-06-02,199512,199509,0.1445,207.0,0.1339,17.0,-0.0628100011479854
1995-06-05,199512,199509,0.1463,397.0,0.1353,80.0,-0.0614100011479854
1995-06-06,199512,199509,0.1466,237.0,0.1355,43.0,-0.061210001147985395
1995-06-07,199512,199509,0.144825,367.0,0.1335,1.0,-0.06321000114798539
1995-06-08,199512,199509,0.1445,307.0,0.1345,119.0,-0.062210001147985396
1995-06-09,199512,199509,0.143,355.0,0.133,247.0,-0.06371000114798539
1995-06-12,199512,199509,0.145,196.0,0.13425,55.0,-0.062460001147985396
1995-06-13,199512,199509,0.1467,399.0,0.136,100.0,-0.060710001147985394
1995-06-14,199512,199509,0.1468,199.0,0.1361,207.0,-0.060610001147985405
1995-06-15,199512,199509,0.1485,582.0,0.1378,227.0,-0.0589100011479854
1995-06-16,199512,199509,0.1484,193.0,0.1381,66.0,-0.058610001147985404
1995-06-19,199512,199509,0.1486,114.0,0.1382,21.0,-0.058510001147985415
1995-06-20,199512,199509,0.1476,468.0,0.1372,307.0,-0.059510001147985415
1995-06-21,199512,199509,0.147,198.0,0.1365,427.0,-0.060210001147985394
1995-06-22,199512,199509,0.1486,397.0,0.1381,73.0,-0.058610001147985404
