Date,CurrentContract,CarryContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
1997-09-09,199712,199803,,,944.0,460.0,1402.65
1997-09-10,199712,199803,,,925.0,436.0,1383.65
1997-09-11,199712,199803,,,918.25,12421.0,1376.9
1997-09-12,199712,199803,,,933.75,9945.0,1392.4
1997-09-15,199712,199803,,,931.5,8911.0,1390.15
1997-09-16,199712,199803,,,956.0,11874.0,1414.65
1997-09-17,199712,199803,,,956.0,11093.0,1414.65
1997-09-18,199712,199803,,,957.75,11620.0,1416.4
1997-09-19,199712,199803,,,960.5,10005.0,1419.15
1997-09-22,199712,199803,976.75,5.0,966.25,12126.0,1424.9
1997-09-23,199712,199803,972.25,5.0,962.0,10198.0,1420.65
1997-09-24,199712,199803,964.75,6.0,954.5,14580.0,1413.15
1997-09-25,199712,199803,956.75,7.0,946.5,14114.0,1405.15
1997-09-26,199712,199803,963.5,16.0,953.25,12097.0,1411.9
1997-09-29,199712,199803,972.0,8.0,961.75,11152.0,1420.4
1997-09-30,199712,199803,964.75,2.0,954.5,15239.0,1413.15
1997-10-01,199712,199803,973.75,7.0,963.5,14015.0,1422.15
1997-10-02,199712,199803,979.5,6.0,969.0,9651.0,1427.65
1997-10-03,199712,199803,986.0,14.0,975.5,13792.0,1434.15
1997-10-06,199712,199803,992.0,6.0,981.5,9245.0,1440.15
1997-10-07,199712,199803,1000.0,15.0,989.5,11896.0,1448.15
1997-10-08,199712,199803,992.75,1.0,989.5,16204.0,1448.15
1997-10-09,199712,199803,988.5,5.0,978.0,9407.0,1436.65
1997-10-10,199712,199803,987.25,3.0,976.75,6506.0,1435.4
1997-10-13,199712,199803,987.0,0.0,976.25,3914.0,1434.9
1997-10-14,199712,199803,988.0,0.0,977.5,11923.0,1436.15
1997-10-15,199712,199803,984.0,0.0,973.5,9715.0,1432.15
1997-10-16,199712,199803,970.25,5.0,959.75,12998.0,1418.4
1997-10-17,199712,199803,959.25,33.0,948.75,13573.0,1407.4
1997-10-20,199712,199803,972.75,75.0,962.25,11772.0,1420.9
1997-10-21,199712,199803,990.25,41.0,979.5,10576.0,1438.15
1997-10-22,199712,199803,985.25,16.0,974.25,10284.0,1432.9
1997-10-23,199712,199803,966.0,82.0,955.5,13567.0,1414.15
1997-10-24,199712,199803,954.5,128.0,944.0,14924.0,1402.65
1997-10-27,199712,199803,884.5,87.0,874.0,15394.0,1332.65
1997-10-28,199712,199803,934.25,279.0,924.5,17082.0,1383.15
1997-10-29,199712,199803,934.0,94.0,924.25,16552.0,1382.9
1997-10-30,199712,199803,912.25,192.0,903.0,13868.0,1361.65
1997-10-31,199712,199803,933.5,82.0,924.0,14353.0,1382.65
1997-11-03,199712,199803,955.5,81.0,945.75,11469.0,1404.4
1997-11-04,199712,199803,952.0,37.0,942.0,11354.0,1400.65
1997-11-05,199712,199803,957.0,64.0,947.0,11065.0,1405.65
1997-11-06,199712,199803,952.25,21.0,942.25,8873.0,1400.9
