Date,CurrentContract,CarryContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
1979-10-30,198004,198002,393.1,1529.0,402.5,3510.0,1566.000048828125
1979-10-31,198004,198002,395.5,1768.0,405.0,1650.0,1568.500048828125
1979-11-01,198004,198002,381.8,2619.0,391.2,3291.0,1554.7000488281249
1979-11-02,198006,198008,414.3,1115.0,406.0,2216.0,1561.000048828125
1979-11-05,198006,198008,418.6,2781.0,410.5,3130.0,1565.500048828125
1979-11-06,198104,198106,477.1,2062.0,469.3,5335.0,1582.2000488281249
1979-11-07,198104,198106,476.9,1372.0,468.8,2030.0,1581.7000488281249
1979-11-08,198104,198106,475.2,580.0,467.0,351.0,1579.9000488281247
1979-11-09,198104,198106,471.2,243.0,463.1,50.0,1576.000048828125
1979-11-12,198104,198106,477.3,197.0,469.2,849.0,1582.100048828125
1979-11-13,198104,198106,463.1,36.0,455.5,224.0,1568.4000488281247
1979-11-14,198104,198106,469.1,333.0,461.4,161.0,1574.3000488281248
1979-11-15,198104,198106,463.8,135.0,456.2,309.0,1569.100048828125
1979-11-16,198104,198106,467.4,53.0,459.7,942.0,1572.600048828125
1979-11-19,198104,198106,466.2,661.0,458.3,308.0,1571.2000488281249
1979-11-20,198104,198106,472.9,1589.0,464.8,2354.0,1577.7000488281249
1979-11-21,198104,198106,476.0,857.0,467.7,4717.0,1580.600048828125
1979-11-23,198104,198106,476.0,106.0,467.8,176.0,1580.7000488281249
1979-11-26,198104,198106,468.3,2524.0,460.3,1283.0,1573.2000488281249
1979-11-27,198104,198106,476.5,172.0,468.4,940.0,1581.3000488281248
1979-11-28,198104,198106,491.6,1123.0,483.5,2295.0,1596.4000488281247
1979-11-29,198104,198106,489.4,803.0,481.2,3644.0,1594.100048828125
1979-11-30,198104,198106,502.4,1920.0,493.9,1890.0,1606.8000488281248
1979-12-03,198104,198106,518.9,856.0,509.9,2383.0,1622.8000488281252
1979-12-04,198104,198106,513.4,559.0,504.5,690.0,1617.4000488281251
1979-12-05,198104,198106,519.0,304.0,510.1,1185.0,1623.000048828125
1979-12-06,198104,198106,512.3,2423.0,503.3,4064.0,1616.2000488281249
1979-12-07,198104,198106,511.3,566.0,502.4,1072.0,1615.3000488281252
1979-12-10,198104,198106,523.2,306.0,514.2,1375.0,1627.100048828125
1979-12-11,198104,198106,541.2,1247.0,531.7,3365.0,1644.6000488281245
1979-12-12,198104,198106,541.0,427.0,531.5,1195.0,1644.4000488281247
1979-12-13,198104,198106,559.8,631.0,549.3,1122.0,1662.2000488281244
1979-12-14,198104,198106,562.1,935.0,551.7,756.0,1664.6000488281245
1979-12-17,198104,198106,567.2,1248.0,556.8,1804.0,1669.7000488281244
1979-12-18,198104,198106,583.8,1319.0,573.1,2374.0,1686.0000488281246
1979-12-19,198104,198106,575.3,2169.0,564.0,4057.0,1676.9000488281247
1979-12-20,198104,198106,573.4,688.0,562.4,3064.0,1675.3000488281248
1979-12-21,198104,198106,592.2,360.0,580.9,880.0,1693.8000488281248
1979-12-26,198104,198106,617.2,386.0,605.9,656.0,1718.8000488281248
1979-12-27,198104,198106,639.8,867.0,627.0,2632.0,1739.9000488281247
1979-12-28,198104,198106,639.6,479.0,626.8,658.0,1739.7000488281244
1979-12-31,198104,198106,659.4,1884.0,646.0,1122.0,1758.9000488281247
1980-01-02,198104,198106,684.4,668.0,671.0,780.0,1783.9000488281242
1980-01-03,198104,198106,709.4,405.0,696.0,868.0,1808.9000488281238
1980-01-04,198104,198106,741.5,216.0,726.3,769.0,1839.200048828124
