Date,CurrentContract,CarryContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
2018-05-07,201806,201903,97.56,356.0,98.025,1043.0,99.09000061035158
2018-05-08,201809,201812,97.685,205.0,97.84,325.0,99.08500061035157
2018-05-09,201809,201812,97.68,81.0,97.84,0.0,99.08500061035157
2018-05-10,201809,201812,97.66,494.0,97.825,576.0,99.07000061035157
2018-05-11,201812,201903,97.5,25.0,97.64,76.0,99.06000061035157
2018-05-14,201812,201903,97.5,202.0,97.645,223.0,99.06500061035156
2018-05-15,201903,201906,97.37,5.0,97.48,711.0,99.05500061035157
2018-05-16,201903,201906,97.365,141.0,97.48,542.0,99.05500061035157
2018-05-17,201903,201906,97.365,0.0,97.48,39.0,99.05500061035157
2018-05-18,201903,201906,97.385,584.0,97.495,701.0,99.07000061035157
2018-05-21,201903,201906,97.375,0.0,97.485,0.0,99.06000061035157
2018-05-22,201903,201906,97.385,0.0,97.495,0.0,99.07000061035157
2018-05-23,201903,201906,97.435,237.0,97.545,428.0,99.12000061035157
2018-05-24,201903,201906,97.465,0.0,97.575,132.0,99.15000061035157
2018-05-25,201903,201906,97.495,65.0,97.6,662.0,99.17500061035156
2018-05-29,201903,201906,97.71,71.0,97.78,489.0,99.35500061035157
2018-05-30,201903,201906,97.615,371.0,97.69,950.0,99.26500061035156
2018-05-31,201903,201906,97.605,39.0,97.685,209.0,99.26000061035157
2018-06-01,201903,201906,97.53,23.0,97.615,309.0,99.19000061035156
2018-06-04,201903,201906,97.47,2.0,97.56,310.0,99.13500061035157
2018-06-05,201903,201906,97.48,0.0,97.57,178.0,99.14500061035156
2018-06-06,201903,201906,97.44,82.0,97.54,207.0,99.11500061035157
2018-06-07,201903,201906,97.45,25.0,97.545,400.0,99.12000061035157
2018-06-08,201903,201906,97.465,98.0,97.56,590.0,99.13500061035157
2018-06-11,201906,201812,97.69,3.0,97.45,1333.0,99.12000061035157
2018-06-12,201906,201812,97.69,47.0,97.44,643.0,99.11000061035156
2018-06-13,201906,201812,97.66,33.0,97.405,0.0,99.07500061035157
2018-06-14,201906,201812,97.67,11.0,97.405,25.0,99.07500061035157
2018-06-15,201906,201812,97.685,13.0,97.42,75.0,99.09000061035157
2018-06-18,201906,201812,97.685,0.0,97.41,25.0,99.08000061035156
2018-06-19,201906,201812,97.69,148.0,97.44,90.0,99.11000061035156
2018-06-20,201906,201812,97.685,125.0,97.435,88.0,99.10500061035157
2018-06-21,201906,201812,97.695,88.0,97.445,87.0,99.11500061035156
2018-06-22,201906,201812,97.695,28.0,97.445,148.0,99.11500061035156
2018-06-25,201906,201812,97.7,31.0,97.465,91.0,99.13500061035157
2018-06-26,201906,201812,97.72,292.0,97.48,244.0,99.15000061035157
2018-06-27,201906,201812,97.74,208.0,97.515,492.0,99.18500061035157
2018-06-28,201906,201812,97.745,38.0,97.515,161.0,99.18500061035157
2018-06-29,201906,201812,97.745,38.0,97.515,770.0,99.18500061035157
2018-07-02,201906,201812,97.745,30.0,97.515,67.0,99.18500061035157
2018-07-03,201906,201812,97.76,300.0,97.52,142.0,99.19000061035156
2018-07-05,201906,201812,97.74,20.0,97.5,50.0,99.17000061035156
2018-07-06,201906,201812,97.75,58.0,97.515,145.0,99.18500061035157
2018-07-09,201906,201812,97.735,1028.0,97.495,1685.0,99.16500061035157
2018-07-10,201906,201812,97.72,93.0,97.48,103.0,99.15000061035157
2018-07-11,201906,201812,97.72,83.0,97.48,261.0,99.15000061035157
2018-07-12,201906,201812,97.705,1180.0,97.465,286.0,99.13500061035157
2018-07-13,201906,201812,97.7,570.0,97.47,121.0,99.14000061035156
2018-07-16,201906,201812,97.69,548.0,97.455,40.0,99.12500061035156
2018-07-17,201906,201812,97.665,760.0,97.43,30.0,99.10000061035157
2018-07-18,201906,201812,97.66,393.0,97.425,418.0,99.09500061035156
2018-07-19,201906,201812,97.665,195.0,97.425,893.0,99.09500061035156
2018-07-20,201906,201812,97.665,458.0,97.42,119.0,99.09000061035157
2018-07-23,201906,201812,97.655,127.0,97.39,1365.0,99.06000061035157
2018-07-24,201906,201812,97.645,1187.0,97.38,289.0,99.05000061035156
2018-07-25,201906,201812,97.645,721.0,97.38,126.0,99.05000061035156
2018-07-26,201906,201812,97.64,867.0,97.35,1583.0,99.02000061035156
2018-07-27,201912,202003,97.245,209.0,97.255,951.0,99.02500061035157
2018-07-30,201912,202003,97.245,0.0,97.255,1.0,99.02500061035157
2018-07-31,201912,202003,97.245,50.0,97.255,363.0,99.02500061035157
2018-08-01,201912,202003,97.24,132.0,97.25,131.0,99.02000061035157
2018-08-02,201912,202003,97.24,0.0,97.25,0.0,99.02000061035157
2018-08-03,201912,202003,97.25,703.0,97.26,892.0,99.03000061035158
2018-08-06,202006,202009,97.265,80.0,97.26,80.0,99.04000061035157
2018-08-07,202006,202009,97.26,0.0,97.255,0.0,99.03500061035156
2018-08-08,202006,202009,97.265,0.0,97.26,181.0,99.04000061035157
