Date,CurrentContract,CarryContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
1978-01-04,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-05,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-06,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-09,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-10,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-11,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-12,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-13,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-16,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-17,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-18,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-19,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-20,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-23,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-24,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-25,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-26,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-27,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-30,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-01-31,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-01,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-02,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-03,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-06,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-07,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-08,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-09,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-10,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-13,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-14,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-15,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-16,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-17,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-21,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-22,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-23,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-24,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-27,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-02-28,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-01,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-02,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-03,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-06,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-07,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-08,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-09,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-10,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-13,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-14,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-15,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-16,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-17,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-20,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-21,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-22,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-23,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-27,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-28,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-29,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-30,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-03-31,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-03,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-04,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-05,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-06,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-07,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-10,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-11,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-12,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-13,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-14,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-17,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-18,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-19,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-20,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-21,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-24,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-25,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-26,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-27,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-04-28,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-05-01,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-05-02,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-05-03,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-05-04,197812,197809,255.25,278.0,261.0,361.0,782.75
1978-05-05,197812,197809,255.25,278.0,261.0,361.0,782.75
