Date,CurrentContract,CarryContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
1982-05-03,198206,198209,63.8281,12728.0,63.6406,17700.0,-34.35891500000008
1982-05-04,198206,198209,64.1406,5318.0,64.1094,11421.0,-33.89011500000009
1982-05-05,198206,198209,64.2188,5808.0,64.2188,14083.0,-33.78071500000008
1982-05-06,198206,198209,65.125,3053.0,65.1406,9400.0,-32.858915000000074
1982-05-07,198206,198209,65.375,1447.0,65.3906,6526.0,-32.608915000000074
1982-05-10,198206,198209,65.3125,584.0,65.2813,4233.0,-32.71821500000008
1982-05-11,198206,198209,65.3906,611.0,65.3906,5339.0,-32.608915000000074
1982-05-12,198206,198209,65.0625,714.0,65.0625,6310.0,-32.93701500000008
1982-05-13,198206,198209,64.8438,684.0,64.8438,3976.0,-33.15571500000008
1982-05-14,198206,198209,65.2813,723.0,65.2813,4664.0,-32.71821500000008
1982-05-17,198206,198209,64.875,906.0,64.875,5243.0,-33.12451500000008
1982-05-18,198206,198209,65.0625,654.0,65.0625,5408.0,-32.93701500000008
1982-05-19,198206,198209,64.7031,260.0,64.7031,4599.0,-33.296415000000074
1982-05-20,198206,198209,65.2031,885.0,65.25,5633.0,-32.74951500000008
1982-05-21,198206,198209,65.125,717.0,65.1719,3006.0,-32.82761500000009
1982-05-24,198206,198209,65.0938,367.0,65.1406,1918.0,-32.858915000000074
1982-05-25,198206,198209,64.8906,999.0,64.9219,2490.0,-33.07761500000009
1982-05-26,198206,198209,64.5781,1259.0,64.625,3498.0,-33.37451500000008
1982-05-27,198206,198209,64.4531,2205.0,64.5,3730.0,-33.49951500000008
1982-05-28,198206,198209,64.3906,2744.0,64.5,3559.0,-33.49951500000008
1982-06-01,198209,198212,63.75,165.0,63.6563,4383.0,-34.21821500000008
1982-06-02,198209,198212,63.9531,72.0,63.8906,3698.0,-33.98391500000008
1982-06-03,198209,198212,63.8281,74.0,63.8125,2570.0,-34.06201500000008
1982-06-04,198209,198212,63.5,59.0,63.5,2491.0,-34.37451500000008
1982-06-07,198209,198212,63.6406,10.0,63.6406,3119.0,-34.23391500000008
1982-06-08,198209,198212,63.5313,380.0,63.5625,2829.0,-34.31201500000008
1982-06-09,198209,198212,63.5625,87.0,63.5781,2549.0,-34.29641500000008
1982-06-10,198209,198212,63.3594,22.0,63.3906,3592.0,-34.48391500000008
1982-06-11,198209,198212,63.7813,92.0,63.8125,2180.0,-34.06201500000008
1982-06-14,198209,198212,62.8594,572.0,62.8281,3519.0,-35.04641500000008
1982-06-15,198209,198212,62.8281,46.0,62.8281,2489.0,-35.04641500000008
1982-06-16,198209,198212,62.6406,31.0,62.6406,2714.0,-35.23391500000008
1982-06-17,198209,198212,62.0938,313.0,62.0938,3412.0,-35.78071500000008
1982-06-18,198209,198212,61.3438,899.0,61.4375,5742.0,-36.43701500000008
1982-06-21,198209,198212,61.2656,240.0,61.3281,5555.0,-36.54641500000008
1982-06-22,198209,198212,61.2656,110.0,61.3281,5122.0,-36.54641500000008
1982-06-23,198209,198212,61.0781,87.0,61.125,5199.0,-36.74951500000008
1982-06-24,198209,198212,61.0781,134.0,61.125,5186.0,-36.74951500000008
1982-06-25,198209,198212,60.9844,58.0,61.0469,2072.0,-36.82761500000008
1982-06-28,198209,198212,61.2344,99.0,61.2969,3122.0,-36.57761500000008
1982-06-29,198209,198212,61.4063,255.0,61.5,6207.0,-36.37451500000008
1982-06-30,198209,198212,62.0156,52.0,62.0938,6527.0,-35.78071500000008
1982-07-01,198209,198212,62.1875,163.0,62.2656,6738.0,-35.60891500000008
