Date,CurrentContract,CarryContract
1997-12-10,199712,199803
1998-03-11,199803,199806
1998-06-10,199806,199809
1998-09-09,199809,199812
1998-12-09,199812,199903
1999-03-10,199903,199906
1999-06-09,199906,199909
1999-09-08,199909,199912
1999-12-08,199912,200003
2000-03-08,200003,200006
2000-06-07,200006,200009
2000-09-06,200009,200012
2000-12-06,200012,200103
2001-03-07,200103,200106
2001-06-06,200106,200109
2001-09-17,200109,200112
2001-12-12,200112,200203
2002-03-06,200203,200206
2002-06-12,200206,200209
2002-09-11,200209,200212
2002-12-11,200212,200303
2003-03-12,200303,200306
2003-06-11,200306,200309
2003-09-10,200309,200312
2003-12-10,200312,200403
2004-03-10,200403,200406
2004-06-10,200406,200409
2004-09-08,200409,200412
2004-12-08,200412,200503
2005-03-09,200503,200506
2005-06-08,200506,200509
2005-09-07,200509,200512
2005-12-07,200512,200603
2006-03-08,200603,200606
2006-06-07,200606,200609
2006-09-06,200609,200612
2006-12-06,200612,200703
2007-03-07,200703,200706
2007-06-06,200706,200709
2007-09-12,200709,200712
2007-12-12,200712,200803
2008-03-12,200803,200806
2008-06-11,200806,200809
2008-09-10,200809,200812
2008-12-10,200812,200903
2009-03-11,200903,200906
2009-06-10,200906,200909
2009-09-09,200909,200912
2009-12-10,200912,201003
2010-03-11,201003,201006
2010-06-10,201006,201009
2010-09-09,201009,201012
2010-12-09,201012,201103
2011-03-10,201103,201106
2011-06-09,201106,201109
2011-09-08,201109,201112
2011-12-08,201112,201203
2012-03-08,201203,201206
2012-06-07,201206,201209
2012-09-13,201209,201212
2012-12-13,201212,201303
2013-03-07,201303,201306
2013-06-13,201306,201309
2013-09-12,201309,201312
2013-12-12,201312,201403
2014-03-13,201403,201406
2014-06-12,201406,201409
2014-09-11,201409,201412
2014-12-11,201412,201503
2015-03-12,201503,201506
2015-06-11,201506,201509
2015-09-10,201509,201512
2015-12-10,201512,201603
2016-03-10,201603,201606
2016-06-09,201606,201609
2016-09-08,201609,201612
2016-12-08,201612,201703
2017-03-09,201703,201706
2017-06-08,201706,201709
2017-09-07,201709,201712
2017-12-07,201712,201803
2018-03-09,201803,201806
2018-06-08,201806,201809
2018-09-13,201809,201812
2018-12-13,201812,201903
2019-03-07,201903,201906
2019-06-13,201906,201909
2019-09-12,201909,201912
2019-12-12,201912,202003
2020-03-13,202003,202006
2020-06-12,202006,202009
2020-09-10,202009,202012
2020-12-10,202012,202103
2021-03-11,202103,202106
2021-06-10,202106,202109
2021-09-09,202109,202112
2021-12-09,202112,202203
2022-03-10,202203,202206
2022-06-10,202206,202209
2022-09-09,202209,202212
2022-12-09,202212,202303
2023-03-10,202303,202306
2023-06-09,202306,202309
2023-09-08,202309,202312
2023-12-08,202312,202403
2024-03-08,202403,202406
2024-06-14,202406,202409
2024-08-02,202409,202412
