Date,CurrentContract,CarryContract
1979-11-01,198004,198002
1979-11-05,198006,198008
1981-03-26,198104,198106
1981-05-27,198106,198108
1981-07-30,198108,198112
1981-11-25,198112,198202
1982-01-27,198202,198204
1982-03-26,198204,198206
1982-05-26,198206,198208
1982-07-29,198208,198212
1982-11-26,198212,198302
1983-01-26,198302,198304
1983-03-29,198304,198306
1983-05-26,198306,198308
1983-07-27,198308,198312
1983-11-28,198312,198402
1984-01-27,198402,198404
1984-03-28,198404,198406
1984-05-25,198406,198408
1984-07-27,198408,198412
1984-11-28,198412,198502
1985-01-28,198502,198504
1985-03-28,198504,198506
1985-05-29,198506,198508
1985-07-30,198508,198512
1985-11-26,198512,198602
1986-01-29,198602,198604
1986-03-26,198604,198606
1986-05-28,198606,198608
1986-07-29,198608,198612
1986-11-26,198612,198702
1987-01-28,198702,198704
1987-03-26,198704,198706
1987-05-28,198706,198708
1987-07-29,198708,198712
1987-11-25,198712,198802
1988-01-27,198802,198804
1988-03-29,198804,198806
1988-05-26,198806,198808
1988-07-28,198808,198812
1988-11-28,198812,198902
1989-01-27,198902,198904
1989-03-29,198904,198906
1989-05-26,198906,198908
1989-07-28,198908,198912
1989-11-28,198912,199002
1990-01-29,199002,199004
1990-03-28,199004,199006
1990-05-29,199006,199008
1990-07-30,199008,199012
1990-11-28,199012,199102
1991-01-29,199102,199104
1991-03-26,199104,199106
1991-05-29,199106,199108
1991-07-29,199108,199112
1991-11-26,199112,199202
1992-01-29,199202,199204
1992-03-27,199204,199206
1992-05-27,199206,199208
1992-07-29,199208,199212
1992-11-25,199212,199302
1993-01-27,199302,199304
1993-03-26,199304,199306
1993-05-26,199306,199308
1993-07-28,199308,199312
1993-11-24,199312,199402
1994-01-26,199402,199404
1994-03-28,199404,199406
1994-05-26,199406,199408
1994-07-27,199408,199412
1994-11-28,199412,199502
1995-01-26,199502,199504
1995-03-28,199504,199506
1995-05-26,199506,199508
1995-07-26,199508,199512
1995-11-22,199512,199602
1996-01-26,199602,199604
1996-03-27,199604,199606
1996-05-28,199606,199608
1996-07-30,199608,199612
1996-11-22,199612,199702
1997-01-28,199702,199704
1997-03-25,199704,199706
1997-05-28,199706,199708
1997-07-29,199708,199712
1997-11-24,199712,199802
1998-01-28,199802,199804
1998-03-26,199804,199806
1998-05-26,199806,199808
1998-07-29,199808,199812
1998-11-24,199812,199902
1999-01-26,199902,199904
1999-03-25,199904,199906
1999-05-26,199906,199908
1999-07-28,199908,199912
1999-11-09,199912,200002
2000-01-27,200002,200004
2000-03-28,200004,200006
2000-05-26,200006,200008
2000-07-28,200008,200012
2000-11-28,200012,200102
2001-01-25,200102,200104
2001-03-28,200104,200106
2001-05-25,200106,200108
2001-07-27,200108,200112
2001-11-28,200112,200202
2002-01-28,200202,200204
2002-03-26,200204,200206
2002-05-29,200206,200208
2002-07-26,200208,200212
2002-11-26,200212,200302
2003-01-29,200302,200304
2003-03-27,200304,200306
2003-05-28,200306,200308
2003-07-29,200308,200312
2003-11-24,200312,200402
2004-01-28,200402,200404
2004-03-26,200404,200406
2004-05-26,200406,200408
2004-07-28,200408,200412
2004-11-24,200412,200502
2005-01-27,200502,200504
2005-03-29,200504,200506
2005-05-26,200506,200508
2005-07-27,200508,200512
2005-11-28,200512,200602
2006-01-27,200602,200604
2006-03-28,200604,200606
2006-05-26,200606,200608
2006-07-27,200608,200612
2006-11-28,200612,200702
2007-01-29,200702,200704
2007-03-27,200704,200706
2007-05-29,200706,200708
2007-07-27,200708,200712
2007-11-28,200712,200802
2008-01-29,200802,200804
2008-03-27,200804,200806
2008-05-28,200806,200808
2008-07-29,200808,200812
2008-11-25,200812,200902
2009-01-28,200902,200904
