Date,CurrentContract,CarryContract
2018-05-07,201806,201903
2018-05-10,201809,201812
2018-05-14,201812,201903
2018-06-08,201903,201906
2018-07-26,201906,201812
2018-08-03,201912,202003
2018-09-27,202006,202009
2018-12-26,202009,202012
2019-07-16,202012,202009
2019-09-30,202103,202012
2019-11-04,202106,202103
2020-04-27,202109,202106
2020-05-26,202112,202109
2020-06-30,202203,202206
2020-09-24,202206,202112
2021-01-26,202209,202206
2021-03-29,202212,202303
2021-09-13,202306,202212
2022-09-21,202309,202212
2022-11-22,202312,202212
2023-07-31,202409,202212
2024-06-04,202512,202509
