Date,CurrentContract,CarryContract
1978-10-13,197812,197809
1979-10-15,197912,197909
1980-10-15,198012,198009
1981-10-15,198112,198109
1982-10-15,198212,198209
1983-10-14,198312,198309
1984-10-15,198412,198409
1985-10-15,198512,198509
1986-10-15,198612,198609
1987-10-15,198712,198709
1988-10-14,198812,198809
1989-10-13,198912,198909
1990-10-15,199012,199009
1991-10-15,199112,199109
1992-10-15,199212,199209
1993-10-15,199312,199309
1994-10-14,199412,199409
1995-10-13,199512,199509
1996-10-15,199612,199609
1997-10-15,199712,199709
1998-10-15,199812,199809
1999-10-15,199912,199909
2000-10-13,200012,200009
2001-10-15,200112,200109
2002-10-15,200212,200209
2003-10-15,200312,200309
2004-10-15,200412,200409
2005-10-14,200512,200509
2006-10-13,200612,200609
2007-10-15,200712,200709
2008-10-15,200812,200809
2009-10-15,200912,200909
2010-10-15,201012,201009
2011-10-14,201112,201109
2012-10-15,201212,201209
2013-10-15,201312,201309
2014-10-15,201412,201409
2015-10-15,201512,201509
2016-10-14,201612,201609
2017-10-13,201712,201709
2018-10-15,201812,201809
2019-10-15,201912,201909
2020-10-15,202012,202009
2021-10-15,202112,202109
2022-10-14,202212,202209
2023-10-13,202312,202309
2024-08-08,202412,202409
