Date,CurrentContract,CarryContract
1982-05-28,198206,198209
1982-09-02,198209,198212
1982-11-30,198212,198303
1983-03-02,198303,198306
1983-06-03,198306,198309
1983-08-31,198309,198312
1983-11-30,198312,198403
1984-03-02,198403,198406
1984-05-29,198406,198409
1984-08-30,198409,198412
1984-11-30,198412,198503
1985-03-01,198503,198506
1985-05-30,198506,198509
1985-08-23,198509,198512
1985-11-29,198512,198603
1986-02-26,198603,198606
1986-05-28,198606,198609
1986-08-29,198609,198612
1986-12-01,198612,198703
1987-02-27,198703,198706
1987-05-29,198706,198709
1987-08-28,198709,198712
1987-11-30,198712,198803
1988-02-29,198803,198806
1988-05-31,198806,198809
1988-08-31,198809,198812
1988-12-05,198812,198903
1989-03-02,198903,198906
1989-05-31,198906,198909
1989-08-30,198909,198912
1989-12-04,198912,199003
1990-02-28,199003,199006
1990-05-30,199006,199009
1990-08-31,199009,199012
1990-11-29,199012,199103
1991-02-27,199103,199106
1991-05-31,199106,199109
1991-08-29,199109,199112
1991-11-29,199112,199203
1992-02-28,199203,199206
1992-05-29,199206,199209
1992-08-31,199209,199212
1992-11-30,199212,199303
1993-02-26,199303,199306
1993-06-01,199306,199309
1993-08-30,199309,199312
1993-11-29,199312,199403
1994-02-25,199403,199406
1994-05-27,199406,199409
1994-08-30,199409,199412
1994-11-28,199412,199503
1995-02-28,199503,199506
1995-05-30,199506,199509
1995-08-29,199509,199512
1995-11-29,199512,199603
1996-02-28,199603,199606
1996-05-30,199606,199609
1996-08-29,199609,199612
1996-11-29,199612,199703
1997-02-27,199703,199706
1997-05-29,199706,199709
1997-08-28,199709,199712
1997-11-26,199712,199803
1998-02-26,199803,199806
1998-05-28,199806,199809
1998-08-28,199809,199812
1998-11-27,199812,199903
1999-02-26,199903,199906
1999-05-27,199906,199909
1999-08-27,199909,199912
1999-11-26,199912,200003
2000-02-25,200003,200006
2000-05-26,200006,200009
2000-08-29,200009,200012
2000-11-28,200012,200103
2001-02-27,200103,200106
2001-05-29,200106,200109
2001-08-29,200109,200112
2001-11-28,200112,200203
2002-02-27,200203,200206
2002-05-30,200206,200209
2002-08-28,200209,200212
2002-11-26,200212,200303
2003-02-26,200303,200306
2003-05-28,200306,200309
2003-08-28,200309,200312
2003-11-25,200312,200403
2004-02-26,200403,200406
2004-05-26,200406,200409
2004-08-27,200409,200412
2004-11-29,200412,200503
2005-02-25,200503,200506
2005-05-27,200506,200509
2005-08-30,200509,200512
2005-11-29,200512,200603
2006-02-27,200603,200606
2006-05-30,200606,200609
2006-08-30,200609,200612
2006-11-29,200612,200703
2007-02-27,200703,200706
2007-05-30,200706,200709
2007-08-30,200709,200712
2007-11-29,200712,200803
2008-02-28,200803,200806
2008-05-29,200806,200809
2008-08-28,200809,200812
2008-11-26,200812,200903
2009-02-26,200903,200906
2009-05-28,200906,200909
2009-08-28,200909,200912
2009-11-27,200912,201003
2010-02-25,201003,201006
2010-05-27,201006,201009
2010-08-30,201009,201012
2010-11-29,201012,201103
2011-02-25,201103,201106
2011-05-27,201106,201109
2011-08-30,201109,201112
2011-11-29,201112,201203
2012-02-28,201203,201206
2012-05-30,201206,201209
2012-08-30,201209,201212
2012-11-29,201212,201303
2013-02-27,201303,201306
2013-05-30,201306,201309
2013-08-29,201309,201312
2013-11-27,201312,201403
2014-02-27,201403,201406
2014-05-29,201406,201409
2014-08-28,201409,201412
2014-11-26,201412,201503
2015-02-26,201503,201506
2015-05-28,201506,201509
2015-08-28,201509,201512
2015-11-25,201512,201603
2016-02-26,201603,201606
2016-05-27,201606,201609
2016-08-30,201609,201612
2016-11-29,201612,201703
2017-02-27,201703,201706
2017-05-30,201706,201709
2017-08-29,201709,201712
2017-11-29,201712,201803
2018-02-27,201803,201806
2018-05-30,201806,201809
2018-08-30,201809,201812
2018-11-28,201812,201903
2019-02-26,201903,201906
2019-05-29,201906,201909
2019-08-28,201909,201912
2019-11-26,201912,202003
2020-02-26,202003,202006
2020-05-27,202006,202009
2020-08-27,202009,202012
2020-11-25,202012,202103
2021-02-24,202103,202106
2021-05-26,202106,202109
2021-08-27,202109,202112
2021-11-26,202112,202203
2022-02-24,202203,202206
2022-05-26,202206,202209
2022-08-26,202209,202212
2022-11-25,202212,202303
2023-02-24,202303,202306
2023-05-26,202306,202309
2023-08-28,202309,202312
2023-11-27,202312,202403
2024-02-26,202403,202406
2024-05-23,202406,202409
2024-07-29,202409,202412
