Date,Open,High,Low,Close,Volume,Open Interest
2007-06-18,1.3581,1.3581,1.3581,1.3581,0.0,0.0
2007-06-19,1.3592,1.3592,1.3592,1.3592,0.0,0.0
2007-06-20,1.3586,1.3586,1.3586,1.3586,0.0,0.0
2007-06-21,1.3563,1.3563,1.3546,1.3546,2.0,2.0
2007-06-22,1.3618,1.3618,1.3618,1.3618,0.0,2.0
2007-06-25,1.3614,1.3614,1.3614,1.3614,0.0,2.0
2007-06-26,1.3615,1.3615,1.3615,1.3615,0.0,2.0
2007-06-27,1.3593,1.3593,1.3593,1.3593,0.0,2.0
2007-06-28,1.3579,1.3579,1.3579,1.3579,0.0,2.0
2007-06-29,1.3679,1.3679,1.3679,1.3679,0.0,2.0
2007-07-02,1.377,1.377,1.377,1.377,0.0,2.0
2007-07-03,1.3764,1.3764,1.3764,1.3764,0.0,2.0
2007-07-05,1.3743,1.3743,1.3743,1.3743,0.0,2.0
2007-07-06,1.3764,1.3764,1.3764,1.3764,0.0,2.0
2007-07-09,1.3765,1.3765,1.3765,1.3765,0.0,2.0
2007-07-10,1.3872,1.3872,1.3872,1.3872,0.0,2.0
2007-07-11,1.3904,1.3904,1.3904,1.3904,0.0,2.0
2007-07-12,1.3924,1.3924,1.3924,1.3924,0.0,2.0
2007-07-13,1.3928,1.3928,1.3928,1.3928,0.0,2.0
2007-07-16,1.3922,1.3922,1.3922,1.3922,0.0,2.0
2007-07-17,1.3921,1.3921,1.3921,1.3921,0.0,2.0
2007-07-18,1.3934,1.3934,1.3934,1.3934,0.0,2.0
2007-07-19,1.3943,1.3943,1.3943,1.3943,0.0,2.0
2007-07-20,1.3958,1.3958,1.3958,1.3958,0.0,2.0
2007-07-23,1.394,1.394,1.394,1.394,0.0,2.0
2007-07-24,1.3964,1.3964,1.3964,1.3964,0.0,2.0
2007-07-25,1.3843,1.3843,1.3843,1.3843,0.0,2.0
2007-07-26,1.3866,1.3866,1.3866,1.3866,0.0,2.0
2007-07-27,1.3754,1.3768,1.3746,1.3768,8.0,8.0
2007-07-30,1.3808,1.3808,1.3808,1.3808,0.0,8.0
2007-07-31,1.3809,1.3809,1.3809,1.3809,0.0,8.0
2007-08-01,1.3777,1.3777,1.3777,1.3777,0.0,8.0
2007-08-02,1.381,1.381,1.381,1.381,0.0,8.0
2007-08-03,1.3904,1.3904,1.3904,1.3904,0.0,8.0
2007-08-06,1.3894,1.3894,1.3894,1.3894,0.0,8.0
2007-08-07,1.3858,1.3858,1.3858,1.3858,0.0,8.0
2007-08-08,1.3895,1.3895,1.3895,1.3895,0.0,8.0
2007-08-09,1.3782,1.3782,1.3782,1.3782,0.0,8.0
2007-08-10,1.3795,1.3795,1.3795,1.3795,0.0,8.0
2007-08-13,1.3717,1.3717,1.3717,1.3717,0.0,8.0
2007-08-14,1.3672,1.3681,1.3637,1.3637,8.0,16.0
2007-08-15,1.3552,1.3593,1.3546,1.3551,8.0,24.0
2007-08-16,1.3491,1.3491,1.3491,1.3491,0.0,24.0
2007-08-17,1.3559,1.3559,1.3559,1.3559,0.0,24.0
