Date,Open,High,Low,Close,Volume,Open Interest
2000-09-08,0.097,0.097,0.097,0.097,0.0,0.0
2000-09-11,0.0976,0.0976,0.0976,0.0976,0.0,0.0
2000-09-12,0.0976,0.0976,0.0976,0.0976,0.0,0.0
2000-09-13,0.0969,0.0969,0.0969,0.0969,0.0,0.0
2000-09-14,0.0972,0.0972,0.0972,0.0972,0.0,0.0
2000-09-15,0.095325,0.095325,0.095325,0.095325,0.0,0.0
2000-09-18,0.09515,0.09515,0.09515,0.09515,0.0,0.0
2000-09-19,0.0955,0.0955,0.0955,0.0955,0.0,0.0
2000-09-20,0.095,0.095,0.095,0.095,0.0,0.0
2000-09-21,0.09535,0.09535,0.09535,0.09535,0.0,0.0
2000-09-22,0.095425,0.095425,0.095425,0.095425,0.0,0.0
2000-09-25,0.0957,0.0957,0.09565,0.09565,10.0,10.0
2000-09-26,0.095625,0.095625,0.095625,0.095625,0.0,10.0
2000-09-27,0.095725,0.095725,0.095725,0.095725,0.0,10.0
2000-09-28,0.0956,0.0956,0.0956,0.0956,0.0,10.0
2000-09-29,0.09585,0.09585,0.09585,0.09585,0.0,10.0
2000-10-02,0.09625,0.09625,0.09625,0.09625,0.0,10.0
2000-10-03,0.096625,0.096625,0.096625,0.096625,0.0,10.0
2000-10-04,0.0958,0.0958,0.0958,0.0958,0.0,10.0
2000-10-05,0.0959,0.0959,0.0959,0.0959,0.0,10.0
2000-10-06,0.095925,0.095925,0.095925,0.095925,0.0,10.0
2000-10-10,0.096,0.096,0.096,0.096,0.0,10.0
2000-10-11,0.0964,0.0964,0.096,0.096,1.0,10.0
2000-10-12,0.094775,0.094775,0.094775,0.094775,0.0,10.0
2000-10-13,0.095125,0.095125,0.095125,0.095125,0.0,10.0
2000-10-16,0.095275,0.095275,0.095275,0.095275,0.0,10.0
2000-10-17,0.094725,0.094725,0.094725,0.094725,0.0,10.0
2000-10-18,0.095,0.095,0.095,0.095,0.0,10.0
2000-10-19,0.095225,0.095225,0.095225,0.095225,0.0,10.0
2000-10-20,0.095025,0.095025,0.095025,0.095025,0.0,10.0
2000-10-23,0.094675,0.094675,0.094675,0.094675,0.0,10.0
2000-10-24,0.09455,0.09455,0.09455,0.09455,0.0,10.0
2000-10-25,0.09395,0.09395,0.09395,0.09395,0.0,10.0
2000-10-26,0.093625,0.093625,0.093625,0.093625,0.0,10.0
2000-10-27,0.0944,0.0944,0.0944,0.0944,0.0,10.0
2000-10-30,0.094625,0.094625,0.094625,0.094625,0.0,11.0
2000-10-31,0.0952,0.0952,0.095175,0.095175,1.0,12.0
2000-11-01,0.09485,0.09485,0.09485,0.09485,0.0,12.0
2000-11-02,0.095225,0.095225,0.095225,0.095225,0.0,12.0
2000-11-03,0.0943,0.0943,0.0943,0.0943,0.0,12.0
2000-11-06,0.0943,0.0943,0.0943,0.0943,0.0,12.0
2000-11-07,0.094725,0.094725,0.094725,0.094725,0.0,12.0
2000-11-08,0.094125,0.094125,0.094125,0.094125,0.0,12.0
2000-11-09,0.094325,0.094325,0.094325,0.094325,0.0,12.0
2000-11-10,0.0949,0.095425,0.0949,0.095425,1.0,13.0
2000-11-13,0.096025,0.096025,0.096025,0.096025,0.0,13.0
2000-11-14,0.096175,0.096175,0.096175,0.096175,0.0,13.0
2000-11-15,0.0966,0.0967,0.0966,0.0966,6.0,14.0
2000-11-16,0.0965,0.0965,0.0965,0.0965,0.0,14.0
2000-11-17,0.097,0.097,0.096775,0.096775,26.0,40.0
2000-11-20,0.0973,0.0973,0.0973,0.0973,10.0,50.0
2000-11-21,0.0978,0.0978,0.09755,0.09755,1.0,51.0
2000-11-22,0.097725,0.097725,0.097725,0.097725,0.0,51.0
2000-11-24,0.097625,0.097625,0.097625,0.097625,0.0,51.0
2000-11-27,0.098025,0.098025,0.098025,0.098025,0.0,51.0
2000-11-28,0.097425,0.097425,0.097425,0.097425,0.0,51.0
2000-11-29,0.0977,0.0979,0.0977,0.0979,1.0,52.0
2000-11-30,0.097,0.0974,0.097,0.0974,12.0,64.0
2000-12-01,0.097825,0.097825,0.097825,0.097825,0.0,64.0
2000-12-04,0.097725,0.097725,0.097725,0.097725,0.0,64.0
2000-12-05,0.0982,0.0984,0.097875,0.097875,22.0,86.0
2000-12-06,0.098,0.0984,0.09765,0.09765,63.0,97.0
2000-12-07,0.0979,0.09815,0.0979,0.0981,226.0,269.0
2000-12-08,0.0984,0.0984,0.09835,0.09835,48.0,310.0
2000-12-11,0.098025,0.098025,0.098025,0.098025,0.0,310.0
2000-12-12,0.0975,0.0975,0.0975,0.0975,0.0,310.0
2000-12-13,0.0979,0.0988,0.0979,0.0988,3.0,312.0
2000-12-14,0.0985,0.0985,0.0985,0.0985,0.0,312.0
2000-12-15,0.098625,0.098625,0.098625,0.098625,0.0,312.0
2000-12-18,0.0992,0.0992,0.0992,0.0992,0.0,312.0
2000-12-19,0.0987,0.0987,0.0987,0.0987,0.0,312.0
2000-12-20,0.096925,0.096925,0.096925,0.096925,0.0,312.0
2000-12-21,0.0965,0.0965,0.096025,0.096025,10.0,302.0
2000-12-22,0.096425,0.096425,0.096425,0.096425,0.0,302.0
2000-12-26,0.096675,0.096675,0.096675,0.096675,0.0,302.0
2000-12-27,0.0966,0.0966,0.0966,0.0966,0.0,302.0
2000-12-28,0.096775,0.096775,0.096775,0.096775,0.0,302.0
2000-12-29,0.0963,0.0963,0.0963,0.0963,0.0,302.0
2001-01-02,0.095,0.095,0.094425,0.094425,1.0,301.0
2001-01-03,0.0952,0.095875,0.0942,0.095875,4.0,301.0
2001-01-04,0.095125,0.095125,0.095125,0.095125,0.0,301.0
2001-01-05,0.095275,0.095275,0.095275,0.095275,0.0,296.0
2001-01-08,0.095425,0.095425,0.095425,0.095425,0.0,296.0
2001-01-09,0.0946,0.09505,0.0946,0.09505,1.0,295.0
2001-01-10,0.09455,0.09455,0.09455,0.09455,0.0,295.0
2001-01-11,0.094375,0.094375,0.094375,0.094375,0.0,295.0
2001-01-12,0.093675,0.093675,0.093675,0.093675,0.0,295.0
2001-01-16,0.09295,0.09295,0.09295,0.09295,0.0,295.0
2001-01-17,0.09375,0.09375,0.09375,0.09375,0.0,295.0
2001-01-18,0.094,0.09455,0.094,0.09455,10.0,297.0
2001-01-19,0.094725,0.094725,0.094725,0.094725,0.0,297.0
2001-01-22,0.094725,0.094725,0.094725,0.094725,0.0,300.0
2001-01-23,0.094875,0.094875,0.094875,0.094875,0.0,297.0
2001-01-24,0.096275,0.096275,0.096275,0.096275,12.0,297.0
2001-01-25,0.096125,0.096125,0.096125,0.096125,0.0,297.0
2001-01-26,0.096,0.096,0.096,0.096,0.0,297.0
