Date,Open,High,Low,Close,Volume,Open Interest
2017-05-30,1300.8,1300.8,1300.8,1300.8,0.0,0.0
2017-05-31,1310.4,1310.4,1310.4,1310.4,0.0,0.0
2017-06-01,1305.1,1305.1,1305.1,1305.1,0.0,0.0
2017-06-02,1315.3,1315.3,1315.3,1315.3,0.0,0.0
2017-06-05,1317.8,1317.8,1317.8,1317.8,0.0,0.0
2017-06-06,1332.4,1332.4,1332.4,1332.4,0.0,0.0
2017-06-07,1328.0,1328.0,1328.0,1328.0,0.0,0.0
2017-06-08,1314.3,1314.3,1314.3,1314.3,0.0,0.0
2017-06-09,1306.3,1306.3,1306.3,1306.3,0.0,0.0
2017-06-12,1303.9,1303.9,1303.9,1303.9,0.0,0.0
2017-06-13,1303.6,1303.6,1303.6,1303.6,0.0,0.0
2017-06-14,1310.6,1310.6,1310.6,1310.6,0.0,0.0
2017-06-15,1289.2,1289.2,1289.2,1289.2,0.0,0.0
2017-06-16,1291.1,1291.1,1291.1,1291.1,0.0,0.0
2017-06-19,1281.4,1281.4,1281.4,1281.4,0.0,0.0
2017-06-20,1278.0,1278.0,1278.0,1278.0,0.0,0.0
2017-06-21,1280.3,1280.3,1280.3,1280.3,0.0,0.0
2017-06-22,1283.9,1283.9,1283.9,1283.9,0.0,0.0
2017-06-23,1291.2,1291.2,1291.2,1291.2,0.0,0.0
2017-06-26,1281.2,1281.2,1281.2,1281.2,0.0,0.0
2017-06-27,1281.9,1281.9,1281.9,1281.9,0.0,0.0
2017-06-28,1284.3,1284.3,1284.3,1284.3,0.0,0.0
2017-06-29,1281.2,1281.2,1281.2,1281.2,0.0,0.0
2017-06-30,1277.5,1277.5,1277.5,1277.5,0.0,0.0
2017-07-03,1254.4,1254.4,1254.4,1254.4,0.0,0.0
2017-07-05,1257.4,1257.4,1257.4,1257.4,0.0,0.0
2017-07-06,1260.2,1260.2,1260.2,1260.2,0.0,0.0
2017-07-07,1245.9,1245.9,1245.9,1245.9,0.0,0.0
2017-07-10,1249.5,1249.5,1249.5,1249.5,0.0,0.0
2017-07-11,1251.2,1251.2,1251.2,1251.2,0.0,0.0
2017-07-12,1254.7,1254.7,1254.7,1254.7,0.0,0.0
2017-07-13,1252.0,1252.0,1252.0,1252.0,0.0,0.0
2017-07-14,1262.3,1262.3,1262.3,1262.3,0.0,0.0
2017-07-17,1268.9,1268.9,1268.9,1268.9,0.0,0.0
2017-07-18,1277.0,1277.0,1277.0,1277.0,0.0,0.0
2017-07-19,1277.2,1277.2,1277.2,1277.2,0.0,0.0
2017-07-20,1280.6,1280.6,1280.6,1280.6,0.0,0.0
2017-07-21,1289.4,1289.4,1289.4,1289.4,0.0,0.0
2017-07-24,1288.9,1288.9,1288.9,1288.9,0.0,0.0
