Date,Open,High,Low,Close,Volume,Open Interest
2018-05-07,97.835,97.86,97.835,97.84,5.0,5.0
2018-05-08,97.84,97.845,97.84,97.84,325.0,80.0
2018-05-09,97.84,97.84,97.84,97.84,0.0,80.0
2018-05-10,97.84,97.84,97.825,97.825,576.0,146.0
2018-05-11,97.82,97.82,97.81,97.815,75.0,166.0
2018-05-14,97.82,97.825,97.82,97.825,1.0,167.0
2018-05-15,97.825,97.825,97.81,97.81,31.0,157.0
2018-05-16,97.81,97.81,97.805,97.805,87.0,142.0
2018-05-17,97.81,97.81,97.805,97.805,10.0,147.0
2018-05-18,97.815,97.815,97.815,97.815,0.0,147.0
2018-05-21,97.8,97.8,97.8,97.8,0.0,147.0
2018-05-22,97.81,97.81,97.81,97.81,0.0,147.0
2018-05-23,97.825,97.855,97.825,97.845,90.0,85.0
2018-05-24,97.855,97.875,97.855,97.87,601.0,206.0
2018-05-25,97.885,97.89,97.885,97.885,36.0,206.0
2018-05-29,97.91,97.97,97.91,97.94,249.0,265.0
2018-05-30,97.935,97.935,97.905,97.905,344.0,231.0
2018-05-31,97.895,97.9,97.89,97.89,22.0,232.0
2018-06-01,97.865,97.88,97.865,97.865,22.0,238.0
2018-06-04,97.85,97.85,97.85,97.85,1.0,238.0
2018-06-05,97.865,97.865,97.86,97.86,71.0,229.0
2018-06-06,97.85,97.85,97.845,97.85,43.0,224.0
2018-06-07,97.84,97.85,97.84,97.85,24.0,218.0
2018-06-08,97.865,97.865,97.865,97.865,12.0,214.0
2018-06-11,97.85,97.85,97.85,97.85,0.0,214.0
2018-06-12,97.85,97.85,97.85,97.85,0.0,214.0
2018-06-13,97.855,97.855,97.835,97.835,8.0,214.0
2018-06-14,97.85,97.85,97.845,97.845,42.0,236.0
2018-06-15,97.86,97.86,97.86,97.86,12.0,229.0
2018-06-18,97.865,97.865,97.865,97.865,0.0,229.0
2018-06-19,97.87,97.87,97.87,97.87,0.0,229.0
2018-06-20,97.87,97.87,97.865,97.865,3.0,229.0
2018-06-21,97.86,97.875,97.86,97.875,145.0,231.0
2018-06-22,97.88,97.88,97.88,97.88,0.0,231.0
2018-06-25,97.88,97.885,97.88,97.885,1.0,231.0
2018-06-26,97.895,97.925,97.88,97.895,375.0,406.0
2018-06-27,97.915,97.915,97.9,97.9,101.0,377.0
2018-06-28,97.915,97.915,97.91,97.91,10.0,377.0
2018-06-29,97.91,97.91,97.91,97.91,0.0,377.0
2018-07-02,97.915,97.915,97.915,97.915,5.0,382.0
2018-07-03,97.925,97.93,97.925,97.925,10.0,372.0
2018-07-05,97.92,97.92,97.915,97.915,10.0,372.0
2018-07-06,97.92,97.93,97.92,97.92,107.0,401.0
2018-07-09,97.91,97.915,97.91,97.915,1002.0,1403.0
2018-07-10,97.905,97.905,97.9,97.9,210.0,1573.0
2018-07-11,97.895,97.9,97.89,97.895,289.0,1655.0
2018-07-12,97.895,97.895,97.88,97.885,557.0,1656.0
2018-07-13,97.875,97.875,97.865,97.875,229.0,1738.0
2018-07-16,97.86,97.865,97.86,97.865,125.0,1741.0
2018-07-17,97.85,97.855,97.85,97.855,197.0,1589.0
2018-07-18,97.85,97.85,97.85,97.85,387.0,1475.0
2018-07-19,97.855,97.87,97.855,97.86,961.0,813.0
2018-07-20,97.86,97.865,97.86,97.865,53.0,813.0
2018-07-23,97.86,97.865,97.86,97.865,92.0,843.0
2018-07-24,97.86,97.86,97.855,97.855,381.0,1004.0
2018-07-25,97.855,97.855,97.845,97.85,148.0,963.0
2018-07-26,97.85,97.85,97.84,97.845,106.0,918.0
2018-07-27,97.85,97.85,97.85,97.85,181.0,891.0
2018-07-30,97.85,97.855,97.85,97.85,87.0,875.0
2018-07-31,97.85,97.855,97.85,97.85,120.0,866.0
2018-08-01,97.835,97.855,97.835,97.845,107.0,873.0
2018-08-02,97.85,97.865,97.85,97.855,70.0,886.0
2018-08-03,97.86,97.865,97.86,97.865,462.0,1112.0
2018-08-06,97.865,97.865,97.865,97.865,36.0,1125.0
2018-08-07,97.865,97.865,97.865,97.865,35.0,1124.0
2018-08-08,97.865,97.87,97.865,97.87,355.0,1187.0
2018-08-09,97.87,97.87,97.865,97.87,479.0,1382.0
2018-08-10,97.87,97.885,97.87,97.885,431.0,1544.0
2018-08-13,97.8775,97.8775,97.8675,97.87,135.0,1515.0
2018-08-14,97.87,97.87,97.8675,97.87,29.0,1529.0
2018-08-15,97.8725,97.8725,97.87,97.87,84.0,1524.0
2018-08-16,97.865,97.865,97.8625,97.8625,25.0,1524.0
2018-08-17,97.87,97.87,97.865,97.8675,590.0,1559.0
2018-08-20,97.87,97.875,97.87,97.875,54.0,1576.0
2018-08-21,97.8725,97.8725,97.8625,97.865,405.0,1693.0
2018-08-22,97.87,97.87,97.86,97.87,72.0,1695.0
2018-08-23,97.865,97.865,97.855,97.855,26.0,1697.0
2018-08-24,97.855,97.855,97.8425,97.8475,202.0,1765.0
2018-08-27,97.84,97.84,97.84,97.84,50.0,1766.0
2018-08-28,97.835,97.8375,97.8275,97.83,95.0,1733.0
2018-08-29,97.83,97.8325,97.83,97.8325,61.0,1746.0
2018-08-30,97.84,97.84,97.835,97.84,44.0,1749.0
2018-08-31,97.8375,97.8425,97.8375,97.8425,322.0,1906.0
2018-09-04,97.8375,97.8375,97.8375,97.8375,50.0,1906.0
2018-09-05,97.84,97.84,97.835,97.835,26.0,1906.0
2018-09-06,97.835,97.8375,97.8325,97.8375,101.0,2006.0
2018-09-07,97.84,97.84,97.825,97.825,40.0,2005.0
2018-09-10,97.8275,97.8275,97.8275,97.8275,0.0,2005.0
2018-09-11,97.8275,97.8275,97.8275,97.8275,0.0,2005.0
2018-09-12,97.83,97.84,97.83,97.84,10.0,2015.0
2018-09-13,97.8275,97.835,97.8275,97.835,1.0,2016.0
2018-09-14,97.825,97.825,97.825,97.825,5.0,2016.0
2018-09-17,97.825,97.825,97.82,97.82,75.0,1991.0
2018-09-18,97.82,97.82,97.82,97.82,0.0,1991.0
2018-09-19,97.805,97.805,97.805,97.805,0.0,1991.0
2018-09-20,97.795,97.795,97.795,97.795,0.0,1991.0
2018-09-21,97.805,97.805,97.805,97.805,0.0,1991.0
2018-09-24,97.805,97.805,97.805,97.805,38.0,1980.0
2018-09-25,97.79,97.79,97.79,97.79,0.0,1980.0
2018-09-26,97.8,97.8,97.8,97.8,0.0,1980.0
2018-09-27,97.805,97.805,97.805,97.805,0.0,1980.0
2018-09-28,97.81,97.81,97.81,97.81,0.0,1980.0
2018-10-01,97.805,97.805,97.805,97.805,0.0,1980.0
2018-10-02,97.815,97.815,97.815,97.815,0.0,1980.0
2018-10-03,97.81,97.81,97.81,97.81,0.0,1980.0
2018-10-04,97.81,97.81,97.81,97.81,0.0,1980.0
2018-10-05,97.81,97.81,97.81,97.81,0.0,1980.0
2018-10-08,97.805,97.805,97.805,97.805,0.0,1980.0
2018-10-09,97.805,97.805,97.805,97.805,0.0,1980.0
2018-10-10,97.815,97.815,97.815,97.815,0.0,1980.0
2018-10-11,97.815,97.815,97.815,97.815,0.0,1980.0
2018-10-12,97.82,97.82,97.82,97.82,0.0,1980.0
2018-10-15,97.8125,97.8125,97.8125,97.8125,0.0,1980.0
2018-10-16,97.8175,97.8175,97.8175,97.8175,0.0,1980.0
2018-10-17,97.8125,97.8125,97.8125,97.8125,10.0,1980.0
2018-10-18,97.7975,97.7975,97.7975,97.7975,0.0,1980.0
2018-10-19,97.79,97.79,97.79,97.79,0.0,1980.0
2018-10-22,97.795,97.795,97.795,97.795,0.0,1980.0
2018-10-23,97.805,97.805,97.805,97.805,0.0,1980.0
2018-10-24,97.81,97.81,97.81,97.81,0.0,1980.0
2018-10-25,97.815,97.815,97.815,97.815,0.0,1980.0
2018-10-26,97.8175,97.8175,97.8175,97.8175,0.0,1980.0
2018-10-29,97.8175,97.8175,97.8175,97.8175,0.0,1980.0
2018-10-30,97.8175,97.8175,97.8175,97.8175,0.0,1980.0
2018-10-31,97.8075,97.8075,97.8075,97.8075,0.0,1980.0
2018-11-01,97.8125,97.8125,97.8125,97.8125,0.0,1980.0
2018-11-02,97.81,97.81,97.8075,97.8075,1056.0,1998.0
2018-11-05,97.81,97.81,97.81,97.81,15.0,1983.0
2018-11-06,97.81,97.81,97.805,97.805,1.0,1983.0
2018-11-07,97.805,97.805,97.805,97.805,7.0,1976.0
2018-11-08,97.8075,97.8075,97.8075,97.8075,0.0,1976.0
2018-11-09,97.81,97.815,97.81,97.815,22.0,1966.0
2018-11-12,97.815,97.815,97.815,97.815,0.0,1966.0
2018-11-13,97.815,97.815,97.815,97.815,0.0,1966.0
2018-11-14,97.815,97.815,97.815,97.815,0.0,1966.0
2018-11-15,97.805,97.81,97.805,97.81,38.0,1988.0
2018-11-16,97.81,97.81,97.81,97.81,0.0,1988.0
2018-11-19,97.81,97.81,97.81,97.81,0.0,1988.0
2018-11-20,97.7975,97.805,97.7975,97.805,1.0,1989.0
2018-11-21,97.81,97.81,97.805,97.805,1.0,1989.0
2018-11-23,97.805,97.805,97.805,97.805,0.0,1989.0
2018-11-26,97.81,97.81,97.805,97.805,4.0,1989.0
2018-11-27,97.81,97.81,97.8075,97.8075,5.0,1989.0
2018-11-28,97.81,97.81,97.805,97.8075,40.0,2014.0
2018-11-29,97.81,97.8125,97.81,97.8125,10.0,2009.0
2018-11-30,97.815,97.815,97.815,97.815,0.0,2009.0
2018-12-03,97.815,97.815,97.8125,97.8125,91.0,1947.0
2018-12-04,97.8175,97.8175,97.8175,97.8175,0.0,1947.0
2018-12-06,97.8175,97.8175,97.8125,97.815,118.0,1853.0
2018-12-07,97.8125,97.8125,97.8125,97.8125,0.0,1853.0
2018-12-10,97.8075,97.8075,97.8075,97.8075,0.0,1853.0
2018-12-11,97.8025,97.8025,97.8025,97.8025,0.0,1853.0
2018-12-12,97.805,97.805,97.8025,97.8025,50.0,1837.0
2018-12-13,97.8025,97.8025,97.8025,97.8025,21.0,1858.0
2018-12-14,97.8025,97.8025,97.8025,97.8025,0.0,1858.0
2018-12-17,97.805,97.805,97.805,97.805,0.0,1858.0
2018-12-18,97.805,97.805,97.8025,97.805,109.0,0.0
