Date,Open,High,Low,Close,Volume,Open Interest
1999-07-19,250.0,251.0,250.0,251.0,10.0,5.0
1999-07-20,253.0,253.0,253.0,253.0,0.0,5.0
1999-07-21,258.0,259.0,258.0,259.0,1.0,5.0
1999-07-22,257.0,257.0,257.0,257.0,0.0,5.0
1999-07-23,255.0,255.0,255.0,255.0,0.0,5.0
1999-07-26,253.0,253.0,253.0,253.0,0.0,5.0
1999-07-27,251.0,251.0,251.0,251.0,0.0,5.0
1999-07-28,251.0,251.0,251.0,251.0,0.0,5.0
1999-07-29,251.0,251.0,251.0,251.0,0.0,5.0
1999-07-30,251.0,252.0,251.0,252.0,33.0,38.0
1999-08-02,263.0,263.0,261.5,261.5,2.0,39.0
1999-08-03,260.0,260.0,260.0,260.0,10.0,44.0
1999-08-04,263.0,263.0,260.0,262.5,27.0,59.0
1999-08-05,260.5,260.5,258.0,260.0,13.0,60.0
1999-08-06,260.0,260.0,260.0,260.0,0.0,60.0
1999-08-09,260.0,260.0,260.0,260.0,0.0,60.0
1999-08-10,260.0,261.0,260.0,261.0,8.0,68.0
1999-08-11,260.0,260.0,260.0,260.0,2.0,68.0
1999-08-12,255.0,255.0,255.0,255.0,0.0,68.0
1999-08-13,255.0,255.0,255.0,255.0,0.0,68.0
1999-08-16,258.5,258.5,258.5,258.5,0.0,68.0
1999-08-17,261.0,261.0,261.0,261.0,0.0,68.0
1999-08-18,260.0,260.0,259.0,259.0,1.0,68.0
1999-08-19,258.0,258.0,258.0,258.0,0.0,68.0
1999-08-20,256.0,256.0,256.0,256.0,0.0,68.0
1999-08-23,256.0,256.0,256.0,256.0,1.0,68.0
1999-08-24,254.0,254.0,254.0,254.0,0.0,68.0
1999-08-25,256.0,256.0,256.0,256.0,0.0,68.0
1999-08-26,254.0,254.0,254.0,254.0,0.0,68.0
1999-08-27,254.0,254.0,254.0,254.0,0.0,68.0
1999-08-30,255.5,255.5,255.5,255.5,0.0,68.0
1999-08-31,256.5,256.5,256.5,256.5,0.0,68.0
1999-09-01,257.0,257.0,257.0,257.0,0.0,68.0
1999-09-02,258.5,258.5,258.5,258.5,0.0,68.0
1999-09-03,259.75,260.0,259.0,260.0,11.0,78.0
1999-09-07,260.0,261.0,260.0,261.0,3.0,81.0
1999-09-08,260.0,260.0,259.0,259.0,1.0,81.0
1999-09-09,258.0,258.0,258.0,258.0,0.0,81.0
1999-09-10,257.0,257.0,257.0,257.0,0.0,81.0
1999-09-13,256.0,260.0,256.0,257.5,46.0,109.0
1999-09-14,257.0,257.0,256.75,256.75,30.0,112.0
