Date,Open,High,Low,Close,Volume,Open Interest
1987-08-21,82.6094,82.6094,82.4063,82.5313,1.0,1.0
1987-08-24,82.5313,82.5313,82.4688,82.5,1.0,0.0
1987-08-25,82.8281,82.8281,82.8281,82.8281,0.0,0.0
1987-08-26,82.5625,82.5625,82.5625,82.5625,0.0,0.0
1987-08-27,81.6875,81.6875,81.6875,81.6875,0.0,0.0
1987-08-28,81.1563,81.1563,81.1563,81.1563,0.0,0.0
1987-08-31,81.25,81.25,81.25,81.25,0.0,0.0
1987-09-01,81.0,81.0,81.0,81.0,0.0,0.0
1987-09-02,79.7344,79.875,79.625,79.7656,3.0,1.0
1987-09-03,79.6563,79.6563,79.6563,79.6563,0.0,1.0
1987-09-04,79.4844,79.6563,79.4844,79.6563,3.0,0.0
1987-09-08,78.5156,78.5156,78.5156,78.5156,0.0,0.0
1987-09-09,78.5938,78.5938,78.5938,78.5938,0.0,0.0
1987-09-10,79.0313,79.0313,79.0313,79.0313,0.0,0.0
1987-09-11,79.5938,79.5938,79.5938,79.5938,0.0,0.0
1987-09-14,79.6563,79.6563,79.6563,79.6563,0.0,0.0
1987-09-15,79.0938,79.0938,79.0938,79.0938,0.0,0.0
1987-09-16,78.625,78.625,78.625,78.625,0.0,0.0
1987-09-17,78.9063,78.9063,78.9063,78.9063,0.0,0.0
1987-09-18,79.2813,79.5156,79.2813,79.4531,1.0,1.0
1987-09-21,79.1563,79.1563,79.1563,79.1563,0.0,1.0
1987-09-22,79.5781,79.5781,79.5781,79.5781,0.0,1.0
1987-09-23,79.4531,79.4531,79.4531,79.4531,0.0,1.0
1987-09-24,78.875,78.875,78.875,78.875,0.0,1.0
1987-09-25,78.8438,78.8438,78.8438,78.8438,0.0,1.0
1987-09-28,78.9063,78.9063,78.9063,78.9063,0.0,1.0
1987-09-29,78.375,78.375,78.375,78.375,0.0,1.0
1987-09-30,78.2031,78.2031,78.2031,78.2031,0.0,1.0
1987-10-01,78.125,78.1406,77.9531,78.0156,0.0,1.0
1987-10-02,78.5313,78.5313,78.5313,78.5313,1.0,0.0
1987-10-05,78.0938,78.0938,78.0938,78.0938,0.0,0.0
1987-10-06,77.9531,77.9531,77.9531,77.9531,0.0,0.0
1987-10-07,78.0156,78.0156,78.0156,78.0156,0.0,0.0
1987-10-08,77.3906,77.3906,77.1406,77.1406,1.0,1.0
1987-10-09,76.8594,76.8594,76.8594,76.8594,0.0,1.0
1987-10-12,76.6094,76.6094,76.3281,76.3281,1.0,1.0
1987-10-13,77.0313,77.1406,77.0313,77.1406,1.0,1.0
1987-10-14,75.8906,76.0313,75.8906,76.0,0.0,1.0
1987-10-15,76.0313,76.1406,75.9063,75.9688,1.0,2.0
1987-10-16,75.75,75.75,75.75,75.75,0.0,2.0
1987-10-19,75.1094,76.1563,74.9375,76.0,3.0,2.0
1987-10-20,78.6875,78.6875,78.6875,78.6875,0.0,2.0
1987-10-21,80.0156,80.0156,80.0156,80.0156,0.0,2.0
1987-10-22,81.8125,81.8125,81.8125,81.8125,0.0,2.0
1987-10-23,81.6875,81.6875,81.2969,81.5,0.0,2.0
1987-10-26,82.6094,82.6094,82.6094,82.6094,1.0,1.0
1987-10-27,81.9063,81.9063,81.9063,81.9063,0.0,1.0
1987-10-28,81.4375,81.4375,81.0,81.2656,31.0,30.0
1987-10-29,81.7656,81.7656,81.5156,81.6875,12.0,40.0
1987-10-30,81.9063,81.9063,81.9063,81.9063,0.0,40.0
1987-11-02,81.6563,81.6563,81.6563,81.6563,0.0,40.0
1987-11-03,82.3594,82.3594,82.0313,82.2188,14.0,50.0
1987-11-04,82.6563,82.6563,82.5313,82.5313,12.0,50.0
1987-11-05,83.0,83.4219,82.8594,83.3125,55.0,3.0
1987-11-06,83.1094,83.1094,83.1094,83.1094,0.0,3.0
1987-11-09,83.0313,83.0625,82.8594,83.0,3418.0,2924.0
1987-11-10,82.8594,83.2188,82.7813,82.9688,293.0,2924.0
1987-11-11,82.7188,82.7188,82.7188,82.7188,0.0,2924.0
1987-11-12,83.1719,83.1719,82.8125,82.8594,20.0,2924.0
1987-11-13,82.6406,82.6406,82.5625,82.5781,12.0,2934.0
1987-11-16,82.4375,82.8594,82.4375,82.8281,320.0,3219.0
1987-11-17,82.5781,82.5781,82.5781,82.5781,0.0,3219.0
1987-11-18,82.7031,82.7031,82.7031,82.7031,0.0,3219.0
1987-11-19,82.8125,82.8125,82.75,82.8125,2.0,3219.0
1987-11-20,82.9688,83.1719,82.9219,82.9531,46.0,3219.0
1987-11-23,82.9219,82.9219,82.9219,82.9219,0.0,3219.0
1987-11-24,82.3906,82.3906,82.3906,82.3906,0.0,3219.0
1987-11-25,81.9688,82.1406,81.9688,82.1406,27.0,3199.0
1987-11-27,81.3594,81.3594,81.3594,81.3594,0.0,3199.0
1987-11-30,81.8906,81.8906,81.8906,81.8906,0.0,3199.0
1987-12-01,81.7656,81.8594,81.6563,81.8125,17.0,3200.0
1987-12-02,81.8281,81.8281,81.8281,81.8281,0.0,3200.0
1987-12-03,82.1875,82.1875,82.1875,82.1875,0.0,3200.0
1987-12-04,82.1406,82.1406,82.1406,82.1406,0.0,3200.0
1987-12-07,81.8281,81.8281,81.3906,81.4063,21.0,3200.0
1987-12-08,81.5156,81.6094,81.25,81.2656,6.0,3200.0
1987-12-09,81.4688,81.6094,81.3594,81.5,8.0,3201.0
