Date,TA,M,RB,FG,MA,HC,V,RM,AG
2014-06-17,5826.0,1365.0,44.0,1113.0,-332.0,53.0,3064.0,208.0,5574.0
2014-06-18,5822.0,1364.0,34.0,1115.0,-332.0,67.0,3039.0,227.0,5581.0
2014-06-19,5894.0,1378.0,42.0,1116.0,-332.0,89.0,3039.0,219.0,5620.0
2014-06-20,5948.0,1396.0,75.0,1132.0,-332.0,91.0,3084.0,227.0,5791.0
2014-06-23,5948.0,1433.0,89.0,1136.0,-332.0,107.0,3094.0,256.0,5813.0
2014-06-24,5972.0,1405.0,82.0,1135.0,-332.0,73.0,3064.0,239.0,5816.0
2014-06-25,5940.0,1404.0,94.0,1135.0,-332.0,81.0,3089.0,244.0,5795.0
2014-06-26,6118.0,1403.0,125.0,1156.0,-332.0,125.0,3099.0,225.0,5791.0
2014-06-27,6146.0,1413.0,99.0,1138.0,-332.0,103.0,3089.0,213.0,5802.0
2014-06-30,6146.0,1376.0,79.0,1131.0,-332.0,87.0,3069.0,212.0,5775.0
2014-07-01,6126.0,1233.0,88.0,1128.0,-332.0,93.0,3074.0,91.0,5788.0
2014-07-02,5968.0,1212.0,116.0,1136.0,-332.0,111.0,3044.0,78.0,5798.0
2014-07-03,6020.0,1212.0,105.0,1143.0,-332.0,119.0,3024.0,100.0,5784.0
2014-07-04,6066.0,1205.0,108.0,1131.0,-332.0,109.0,3029.0,71.0,5809.0
2014-07-07,5912.0,1141.0,94.0,1124.0,-332.0,99.0,3029.0,43.0,5742.0
2014-07-08,5866.0,1163.0,122.0,1110.0,-332.0,109.0,3024.0,68.0,5766.0
2014-07-09,5804.0,1109.0,101.0,1072.0,-332.0,107.0,2984.0,26.0,5776.0
2014-07-10,5742.0,1101.0,119.0,1071.0,-332.0,123.0,2954.0,13.0,5792.0
2014-07-11,5836.0,1086.0,134.0,1058.0,-332.0,137.0,2964.0,-17.0,5876.0
2014-07-14,5788.0,1074.0,152.0,1050.0,-332.0,163.0,2954.0,-25.0,5810.0
2014-07-15,5822.0,1077.0,151.0,1061.0,-332.0,155.0,2944.0,-31.0,5785.0
2014-07-16,5914.0,1116.0,138.0,1065.0,-332.0,151.0,2924.0,-11.0,5750.0
2014-07-17,5914.0,1108.0,127.0,1074.0,2573.0,135.0,2889.0,-41.0,5772.0
2014-07-18,5954.0,1100.0,57.0,1064.0,2537.0,79.0,2889.0,-54.0,5792.0
2014-07-21,5958.0,1050.0,48.0,1096.0,2543.0,89.0,2889.0,-92.0,5784.0
2014-07-22,6184.0,1057.0,51.0,1093.0,-332.0,103.0,2894.0,-76.0,5788.0
2014-07-23,6162.0,1020.0,42.0,1088.0,2548.0,91.0,2879.0,-109.0,5796.0
