Date,TA,M,RB,FG,MA,HC,V,RM,AG
2014-06-17,153094,448710.0,229802,88136,0,96,538.0,2124164,859212
2014-06-18,158986,296209.0,148352,92634,0,72,287.0,1623868,701454
2014-06-19,146500,292118.0,206796,66848,0,124,614.0,1932366,908184
2014-06-20,146448,297416.0,393268,116988,0,194,224.0,1124102,3435902
2014-06-23,186294,285598.0,482418,92284,0,156,675.0,1103008,2187908
2014-06-24,124536,268900.0,249778,47030,0,496,491.0,1054050,1345170
2014-06-25,100874,289225.0,333122,67460,0,158,181.0,924016,1907538
2014-06-26,184118,178228.0,478000,132964,0,658,351.0,738834,1363994
2014-06-27,210416,262811.0,330300,84316,0,342,280.0,1024258,1384210
2014-06-30,139562,343450.0,352830,73438,0,136,279.0,963442,1051206
2014-07-01,146600,67671.0,432038,116210,0,44,157.0,803100,1168864
2014-07-02,362466,610710.0,1511434,100072,0,168,812.0,992344,1038612
2014-07-03,180038,281749.0,1455318,119124,0,224,237.0,1084294,1266292
2014-07-04,160156,222455.0,1699004,71620,0,54,265.0,792502,1045254
2014-07-07,246946,479278.0,2240672,120384,0,126,429.0,1269364,860316
2014-07-08,338872,278425.0,1986526,159392,0,342,421.0,1037926,434
2014-07-09,176554,392650.0,1700376,311944,0,262,1030.0,1013036,578
2014-07-10,149510,243301.0,2917146,320018,0,134,1255.0,838776,644
2014-07-11,182750,419666.0,2612894,336600,0,128,950.0,1198016,650
2014-07-14,153518,339412.0,2366372,348664,0,96,411.0,736392,362
2014-07-15,186688,328815.0,1722738,438936,0,180,652.0,971736,494
2014-07-16,259550,302401.0,1383160,405936,0,120,1315.0,682002,900
2014-07-17,285552,407066.0,1637226,487940,84,86,1252.0,912286,422
2014-07-18,331252,296601.0,2746716,444122,42,460,725.0,865886,922
2014-07-21,249066,136305.0,1814832,1179668,4,234,742.0,771672,974
2014-07-22,713098,133317.0,1790502,614864,0,108,836.0,930884,846
2014-07-23,338022,166895.0,1823528,532806,2,160,807.0,1398354,1488
2014-07-24,503246,159606.0,2238246,928074,0,102,597.0,1141882,854
2014-07-25,481256,151342.0,1784238,1009344,0,572,778.0,1087732,1430
2014-07-28,462600,152143.0,2703224,692916,20,504,1068.0,849750,856
2014-07-29,651010,159569.0,2990810,807698,10,1242,1503.0,1188274,406
2014-07-30,690178,148834.0,2289602,1117156,0,210,1233.0,1424154,492
2014-07-31,711740,107102.0,1561388,810316,0,362,736.0,1043596,986
2014-08-01,702578,205726.0,2294988,635680,0,414,728.0,1381664,1544
2014-08-04,505538,179856.0,2945594,759592,0,996,535.0,1436220,1738
2014-08-05,647752,146864.0,2952628,706962,6,1546,3018.0,1404530,980
2014-08-06,1048220,177822.0,2590882,534258,0,1130,1547.0,1465832,7284
2014-08-07,916576,149307.0,2228166,82508,0,756,1225.0,1304618,2538
2014-08-08,617656,164995.0,2247990,48036,0,1300,1687.0,1588550,2896
2014-08-11,1211202,250926.0,2524660,29998,8,734,797.0,1745042,4198
2014-08-12,833400,213507.0,1791422,29892,0,578,1336.0,1791760,3960
2014-08-13,956562,341525.0,115392,91046,0,1064,783.0,275152,2378
2014-08-14,872914,336572.0,87858,90588,4,1472,4758.0,394530,2376
2014-08-15,1016780,157654.0,143224,41494,2,3332,1133.0,189274,1618
2014-08-18,1210506,219362.0,72062,45736,4,1102,1146.0,259366,8274
2014-08-19,780898,157728.0,175022,50564,6,942,834.0,208574,1910
2014-08-20,919596,182249.0,66984,39474,6,866,797.0,225082,5482
2014-08-21,876104,239730.0,64878,73574,0,554,230.0,199462,2720
2014-08-22,1189490,118421.0,84950,25170,0,502,4.0,125340,4578
2014-08-25,1094016,133380.0,77796,32664,10,1298,20.0,151440,2160
2014-08-26,809162,337606.0,112500,31740,24,4616,9.0,218134,8946
2014-08-27,874974,219432.0,99688,36264,4,4528,5.0,178818,6752
2014-08-28,929400,178870.0,118772,38784,0,3772,2.0,108738,6618
2014-08-29,792660,199878.0,70018,26088,0,7746,15.0,367180,8918
2014-09-01,18396,185715.0,151012,110656,0,8270,49.0,175892,5364
2014-09-02,8504,210388.0,132144,64576,0,9588,171.0,170970,7964
2014-09-03,12770,184204.0,210070,39376,0,13326,200.0,231448,7318
2014-09-04,13336,330445.0,180594,44142,22,8130,56.0,366860,4348
2014-09-05,5836,336818.0,158438,151702,26,6760,22.0,275820,8148
2014-09-09,18268,203755.0,318032,88478,16,14078,21.0,216134,4064
2014-09-10,13692,292552.0,427814,109342,26,15752,49.0,336456,8372
2014-09-11,23782,199078.0,199284,54682,22,13134,24.0,322528,10568
2014-09-12,10688,314192.0,232924,74758,48,9276,25.0,509682,27856
2014-09-15,18618,228405.0,336600,120122,36,10018,49.0,283374,12718
2014-09-16,14168,346902.0,347388,115036,244,14842,58.0,279644,12476
2014-09-17,19434,232871.0,242160,246428,228,10622,25.0,300440,19080
