Date,TA,M,RB,FG,MA,HC,V,RM,AG,combined
2014-06-17,0,-10,-10,-15,0,0,-15,-10,-5,-65
2014-06-18,0,270,-170,-75,0,0,-15,-170,-590,-750
2014-06-19,0,630,-830,-1035,0,0,-690,-10,-3155,-5090
2014-06-20,0,1370,-1110,-1280,0,0,-845,570,-3490,-4785
2014-06-23,0,810,-970,-1240,0,0,-545,230,-3490,-5205
2014-06-24,0,790,-1210,-1240,0,0,-795,330,-3490,-5615
2014-06-25,0,770,-1830,-2080,0,0,-895,-50,-3490,-7575
2014-06-26,0,970,-1310,-1360,0,0,-795,-290,-3490,-6275
2014-06-27,0,230,-910,-1080,0,0,-595,-310,-3490,-6155
2014-06-30,0,-2630,-1090,-960,0,0,-645,-2730,-3490,-11545
2014-07-01,0,-3055,-1650,-1280,0,0,-345,-2995,-3490,-12815
2014-07-02,0,-3055,-1430,-1560,0,0,-145,-2780,-3490,-12460
2014-07-03,0,-3125,-1490,-1080,0,0,-195,-3360,-3490,-12740
2014-07-04,0,-3765,-1210,-800,0,0,-195,-3925,-3490,-13385
2014-07-07,0,-3545,-1775,-240,0,0,-145,-3675,-3490,-12870
2014-07-08,0,-4085,-1150,1280,0,0,255,-4095,-3490,-11285
2014-07-09,0,-4165,-1510,1315,0,0,555,-4225,-3490,-11520
2014-07-10,0,-4315,-1810,1575,0,0,455,-4525,-3490,-12110
2014-07-11,0,-4435,-2170,1735,0,0,550,-4605,-3490,-12415
2014-07-14,0,-4405,-2150,1515,0,0,700,-4665,-3490,-12495
2014-07-15,0,-4015,-1890,1435,0,0,1000,-4465,-3490,-11425
2014-07-16,0,-4095,-1670,1255,0,0,1525,-4765,-3490,-11240
2014-07-17,0,-4175,-270,1455,0,0,1525,-4895,-3490,-9850
2014-07-18,0,-4675,-95,815,0,0,1520,-5275,-3490,-11200
2014-07-21,0,-4605,-125,875,0,0,1420,-5115,-3490,-11040
2014-07-22,0,-4975,-35,975,0,0,1715,-5445,-3490,-11255
2014-07-23,0,-4505,-15,975,0,0,1715,-5165,-3490,-10485
2014-07-24,0,-4565,-155,1155,0,0,1465,-5275,-3490,-10865
2014-07-25,0,-4155,-440,995,0,0,1215,-4985,-3490,-10860
2014-07-28,0,-3765,-1025,575,0,0,-35,-4425,-3490,-12165
2014-07-29,0,-3935,-695,515,0,0,210,-4505,-3490,-11900
2014-07-30,0,-4125,-665,675,0,0,310,-4715,-3490,-12010
2014-07-31,0,-4385,-645,775,0,0,510,-5075,-3490,-12310
2014-08-01,0,-4245,-1035,315,0,0,410,-5035,-3490,-13080
2014-08-04,0,-4115,-995,375,0,0,-290,-4885,-3490,-13400
2014-08-05,0,-4135,-1015,395,0,0,110,-5045,-3490,-13180
2014-08-06,-5,-3865,-975,375,0,0,610,-4795,-3490,-12145
2014-08-07,235,-3715,-845,595,0,0,910,-4955,-3490,-11265
2014-08-08,635,-3825,-595,570,0,0,905,-4945,-3490,-10745
2014-08-11,285,-4175,-605,570,0,0,1130,-5235,-3490,-11520
2014-08-12,-125,-4315,-415,570,0,0,1130,-5485,-3490,-12130
2014-08-13,-125,-4720,-235,570,0,0,1955,-5975,-3490,-12020
2014-08-14,-635,-4245,-305,570,0,0,1730,-5925,-3490,-12300
2014-08-15,-645,-4125,-125,570,0,0,1730,-5965,-3490,-12050
2014-08-18,-455,-4065,-225,570,0,0,1505,-6075,-3490,-12235
2014-08-19,-625,-4325,5,570,0,0,1805,-6035,-3490,-12095
2014-08-20,-425,-4285,65,570,0,0,1355,-6025,-3490,-12235
2014-08-21,-815,-4285,15,570,0,0,1430,-5855,-3490,-12430
2014-08-22,-745,-4355,130,570,0,0,1505,-6025,-3490,-12410
2014-08-25,-915,-4725,90,570,0,0,1580,-6135,-3490,-13025
2014-08-26,-1295,-4615,350,570,0,0,1580,-5985,-3490,-12885
2014-08-27,-1455,-4745,850,570,0,0,1655,-6105,-3490,-12720
2014-08-28,-1185,-4620,870,570,0,-5,1430,-6175,-3490,-12605
2014-08-29,-1375,-4905,1190,570,0,310,1500,-6295,-3490,-12495
2014-09-01,-1065,-4780,1250,570,0,310,950,-6245,-3490,-12500
2014-09-02,-1605,-5080,1990,570,0,310,1050,-6505,-3490,-12760
2014-09-03,-1385,-5940,2430,570,0,310,900,-7025,-3490,-13630
2014-09-04,-1495,-6880,2570,570,0,310,1050,-7265,-3490,-14630
2014-09-05,-1685,-7085,3790,570,0,310,1250,-7405,-3495,-13750
2014-09-09,-2105,-7365,3830,570,0,310,1700,-7735,-3825,-14620
2014-09-10,-2235,-7465,4170,570,0,310,1750,-7925,-3585,-14410
2014-09-11,-2205,-7165,3650,570,0,310,1950,-7435,-3045,-13370
2014-09-12,-2415,-7335,2830,570,0,310,1750,-7595,-3105,-14990
2014-09-15,-2505,-7175,3350,570,0,310,2600,-7575,-3195,-13620
2014-09-16,-2405,-7055,3070,570,0,310,2245,-7395,-3405,-14065
2014-09-17,-2775,-7215,3610,570,0,310,2345,-7425,-2895,-13475
2014-09-18,-3035,-7885,4830,570,0,310,2645,-7895,-2790,-13250
2014-09-19,-3315,-8695,6650,570,0,310,3170,-8635,675,-9270
2014-09-22,-3345,-8555,6505,570,0,310,3145,-8485,1000,-8855
2014-09-23,-3255,-8805,6615,570,0,310,3095,-8575,1000,-9045
2014-09-24,-2775,-8815,7455,570,0,310,3070,-8465,1000,-7650
2014-09-25,-2855,-9185,7085,570,0,310,2970,-8595,1000,-8700
