Date,CarryContract,CurrentContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
2012-12-03,201303,201305,1339.0,24538,1318.0,694116,1529.0
2012-12-04,201303,201305,1328.0,12830,1311.0,1373086,1522.0
2012-12-05,201303,201305,1341.0,6000,1331.0,1526540,1542.0
2012-12-06,201303,201305,1337.0,2528,1325.0,1005208,1536.0
2012-12-07,201303,201305,1342.0,2160,1331.0,903684,1542.0
2012-12-10,201305,201309,1336.0,631448,1337.0,1940,1547.0
2012-12-11,201305,201309,1293.0,1624386,1298.0,5294,1508.0
2012-12-12,201305,201309,1299.0,1755162,1304.0,6138,1514.0
2012-12-13,201305,201309,1289.0,1986856,1296.0,6648,1506.0
2012-12-14,201305,201309,1304.0,1926362,1324.0,7852,1534.0
2012-12-17,201305,201309,1327.0,1997146,1358.0,19332,1568.0
2012-12-18,201305,201309,1325.0,1888574,1364.0,27410,1574.0
2012-12-19,201305,201309,1351.0,2774384,1384.0,33778,1594.0
2012-12-20,201305,201309,1350.0,2593940,1385.0,43924,1595.0
2012-12-21,201305,201309,1336.0,1961266,1373.0,39380,1583.0
2012-12-24,201305,201309,1344.0,1234044,1401.0,132236,1611.0
2012-12-25,201305,201309,1352.0,1561036,1406.0,181506,1616.0
2012-12-26,201305,201309,1352.0,995884,1406.0,96584,1616.0
2012-12-27,201305,201309,1352.0,963506,1408.0,111368,1618.0
2012-12-28,201305,201309,1351.0,1175326,1397.0,236210,1607.0
2012-12-31,201305,201309,1363.0,500112,1425.0,172286,1635.0
2013-01-04,201305,201309,1425.0,1001748,1486.0,211004,1696.0
2013-01-07,201305,201309,1445.0,1558552,1498.0,188356,1708.0
2013-01-08,201305,201309,1457.0,2761400,1517.0,309656,1727.0
2013-01-09,201305,201309,1476.0,2100312,1524.0,171688,1734.0
2013-01-10,201305,201309,1463.0,2311352,1513.0,245006,1723.0
2013-01-11,201305,201309,1439.0,1916270,1487.0,158776,1697.0
2013-01-14,201305,201309,1502.0,1878770,1555.0,180932,1765.0
2013-01-15,201305,201309,1497.0,3006350,1548.0,247292,1758.0
2013-01-16,201305,201309,1500.0,4239926,1569.0,551412,1779.0
2013-01-17,201305,201309,1506.0,3961892,1562.0,589282,1772.0
2013-01-18,201305,201309,1496.0,3867610,1567.0,758578,1777.0
2013-01-21,201305,201309,1501.0,3225458,1573.0,604678,1783.0
2013-01-22,201305,201309,1490.0,3070314,1570.0,1087784,1780.0
2013-01-23,201305,201309,1481.0,2053414,1556.0,1001140,1766.0
2013-01-24,201305,201309,1467.0,2346462,1543.0,1463668,1753.0
2013-01-25,201305,201309,1469.0,1305300,1546.0,1475254,1756.0
2013-01-28,201305,201309,1491.0,1274788,1576.0,1761374,1786.0
2013-01-29,201305,201309,1488.0,436820,1581.0,1219048,1791.0
2013-01-30,201305,201309,1475.0,439124,1579.0,1240592,1789.0
2013-01-31,201305,201309,1474.0,642844,1585.0,2457828,1795.0
2013-02-01,201305,201309,1484.0,319536,1594.0,1459170,1804.0
2013-02-04,201305,201309,1511.0,389042,1632.0,2402600,1842.0
2013-02-05,201305,201309,1494.0,240706,1635.0,1865628,1845.0
2013-02-06,201305,201309,1485.0,216930,1629.0,1863392,1839.0
2013-02-07,201305,201309,1485.0,128718,1623.0,1279512,1833.0
2013-02-08,201305,201309,1491.0,52188,1634.0,706434,1844.0
2013-02-18,201305,201309,1477.0,63642,1607.0,1376256,1817.0
2013-02-19,201305,201309,1485.0,58564,1614.0,1627348,1824.0
2013-02-20,201305,201309,1481.0,37248,1610.0,1355640,1820.0
2013-02-21,201305,201309,1452.0,103470,1558.0,2360254,1768.0
2013-02-22,201305,201309,1449.0,67502,1553.0,2350730,1763.0
2013-02-25,201305,201309,1451.0,52958,1559.0,2320596,1769.0
2013-02-26,201305,201309,1434.0,53308,1536.0,2365400,1746.0
2013-02-27,201305,201309,1449.0,42942,1558.0,2115598,1768.0
2013-02-28,201305,201309,1466.0,34018,1582.0,1573926,1792.0
2013-03-01,201305,201309,1460.0,27574,1568.0,1843832,1778.0
2013-03-04,201305,201309,1424.0,58124,1518.0,2940802,1728.0
2013-03-05,201309,201401,1527.0,2793004,1521.0,108862,1737.0
2013-03-06,201309,201401,1525.0,2162826,1499.0,98012,1715.0
2013-03-07,201309,201401,1518.0,1751892,1502.0,68342,1718.0
2013-03-08,201309,201401,1504.0,2770430,1479.0,129930,1695.0
