Date,CarryContract,CurrentContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
2014-06-17,201506,201507,2854.0,2106,0.0,0,-334.0
2014-06-18,201506,201507,2896.0,2118,0.0,0,-334.0
2014-06-19,201506,201507,2901.0,3532,0.0,0,-334.0
2014-06-20,201506,201507,2908.0,1504,0.0,0,-334.0
2014-06-23,201506,201507,2910.0,2480,0.0,0,-334.0
2014-06-24,201506,201507,2939.0,1690,0.0,0,-334.0
2014-06-25,201506,201507,2987.0,4348,0.0,0,-334.0
2014-06-26,201506,201507,3004.0,5220,0.0,0,-334.0
2014-06-27,201506,201507,2987.0,2840,0.0,0,-334.0
2014-06-30,201506,201507,2991.0,3020,0.0,0,-334.0
2014-07-01,201506,201507,2977.0,3648,0.0,0,-334.0
2014-07-02,201506,201507,2965.0,3150,0.0,0,-334.0
2014-07-03,201506,201507,2962.0,1926,0.0,0,-334.0
2014-07-04,201506,201507,2960.0,1454,0.0,0,-334.0
2014-07-07,201506,201507,3012.0,4722,0.0,0,-334.0
2014-07-08,201506,201507,3001.0,6078,0.0,0,-334.0
2014-07-09,201506,201507,2958.0,3916,0.0,0,-334.0
2014-07-10,201506,201507,2937.0,3352,0.0,0,-334.0
2014-07-11,201506,201507,2919.0,2332,0.0,0,-334.0
2014-07-14,201506,201507,2904.0,2114,0.0,0,-334.0
2014-07-15,201506,201507,2900.0,1286,0.0,0,-334.0
2014-07-16,201506,201507,2880.0,1120,0.0,0,-334.0
2014-07-17,201506,201507,2912.0,2468,2905.0,84,2571.0
2014-07-18,201506,201507,2866.0,2680,2869.0,42,2535.0
2014-07-21,201506,201507,2863.0,1038,2875.0,4,2541.0
2014-07-22,201506,201507,2880.0,1494,0.0,0,-334.0
2014-07-23,201506,201507,2873.0,1484,2880.0,2,2546.0
2014-07-24,201506,201507,2876.0,1074,0.0,0,-334.0
2014-07-25,201506,201507,2892.0,940,0.0,0,-334.0
2014-07-28,201506,201507,2940.0,2190,2907.0,20,2573.0
2014-07-29,201506,201507,2929.0,1090,2923.0,10,2589.0
2014-07-30,201506,201507,2932.0,1670,0.0,0,-334.0
2014-07-31,201506,201507,2917.0,1026,0.0,0,-334.0
2014-08-01,201506,201507,2882.0,2092,0.0,0,-334.0
2014-08-04,201506,201507,2901.0,774,0.0,0,-334.0
2014-08-05,201506,201507,2905.0,1398,2905.0,6,2571.0
2014-08-06,201506,201507,2889.0,886,0.0,0,-334.0
2014-08-07,201506,201507,2883.0,1760,0.0,0,-334.0
2014-08-08,201506,201507,2935.0,1812,0.0,0,-334.0
2014-08-11,201506,201507,2925.0,1646,2917.0,8,2583.0
2014-08-12,201506,201507,2917.0,1504,0.0,0,-334.0
2014-08-13,201506,201507,2990.0,3748,0.0,0,-334.0
2014-08-14,201506,201507,2995.0,2270,2978.0,4,2644.0
2014-08-15,201506,201507,2976.0,1888,2954.0,2,2620.0
2014-08-18,201506,201507,2978.0,1748,2954.0,4,2620.0
2014-08-19,201506,201507,2987.0,3178,2974.0,6,2640.0
2014-08-20,201506,201507,2968.0,1612,2947.0,6,2613.0
2014-08-21,201506,201507,2964.0,1466,0.0,0,-334.0
2014-08-22,201506,201507,2943.0,1548,0.0,0,-334.0
2014-08-25,201506,201507,2891.0,3472,2894.0,10,2560.0
2014-08-26,201506,201507,2840.0,6566,2834.0,24,2500.0
2014-08-27,201506,201507,2858.0,3486,2843.0,4,2509.0
2014-08-28,201506,201507,2841.0,3270,0.0,0,-334.0
2014-08-29,201506,201507,2826.0,6506,0.0,0,-334.0
2014-09-01,201506,201507,2848.0,3408,0.0,0,-334.0
2014-09-02,201506,201507,2851.0,5460,0.0,0,-334.0
2014-09-03,201506,201507,2850.0,3438,0.0,0,-334.0
2014-09-04,201506,201507,2857.0,2484,2851.0,22,2517.0
2014-09-05,201506,201507,2859.0,2252,2847.0,26,2513.0
2014-09-09,201506,201507,2852.0,2104,2858.0,16,2524.0
2014-09-10,201506,201507,2856.0,3892,2866.0,26,2532.0
2014-09-11,201506,201507,2857.0,2234,2858.0,22,2524.0
2014-09-12,201506,201507,2823.0,7346,2839.0,48,2505.0
2014-09-15,201506,201507,2868.0,7180,2873.0,36,2539.0
2014-09-16,201506,201509,2892.0,9474,2935.0,244,2573.0
2014-09-17,201506,201509,2912.0,6290,2956.0,228,2594.0
2014-09-18,201506,201509,2904.0,4290,2954.0,310,2592.0
2014-09-19,201506,201509,2925.0,5026,2972.0,372,2610.0
2014-09-22,201506,201509,2920.0,9234,2966.0,646,2604.0
2014-09-23,201506,201509,2858.0,12350,2910.0,562,2548.0
2014-09-24,201506,201509,2875.0,4788,2930.0,340,2568.0
2014-09-25,201506,201509,2872.0,3262,2933.0,164,2571.0
2014-09-26,201506,201509,2871.0,4600,2938.0,222,2576.0
2014-09-29,201506,201509,2847.0,3720,2931.0,164,2569.0
2014-09-30,201506,201509,2875.0,3312,2938.0,162,2576.0
2014-10-08,201506,201509,2833.0,2786,2903.0,244,2541.0
2014-10-09,201506,201509,2842.0,2972,2900.0,348,2538.0
2014-10-10,201506,201509,2751.0,9036,2815.0,594,2453.0
2014-10-13,201506,201509,2753.0,6642,2808.0,474,2446.0
2014-10-14,201506,201509,2783.0,5276,2831.0,398,2469.0
2014-10-15,201506,201509,2779.0,4260,2835.0,238,2473.0
2014-10-16,201506,201509,2766.0,5926,2808.0,400,2446.0
2014-10-17,201506,201509,2744.0,6080,2786.0,278,2424.0
2014-10-20,201506,201509,2710.0,28628,2735.0,690,2373.0
2014-10-21,201506,201509,2735.0,11210,2758.0,496,2396.0
2014-10-22,201506,201509,2739.0,8886,2763.0,358,2401.0
2014-10-23,201506,201509,2773.0,9248,2797.0,488,2435.0
2014-10-24,201506,201509,2791.0,18190,2806.0,1646,2444.0
2014-10-27,201506,201509,2772.0,17668,2783.0,874,2421.0
