Date,RollOffset,CurrentContract
2012-05-10,-205 days,201212
2012-09-03,-120 days,201301
2012-11-20,-193 days,201306
2013-02-20,-284 days,201312
2013-07-05,-180 days,201401
2013-11-27,-186 days,201406
2014-01-09,-326 days,201412
2014-07-08,-328 days,201506
2015-01-21,-314 days,201512
2015-06-11,-204 days,201601
2015-06-30,-337 days,201606
2016-01-11,-325 days,201612
2016-07-01,-335 days,201706
2017-01-03,-332 days,201712
2017-06-20,-195 days,201801
2017-06-27,-339 days,201806
2017-12-25,-341 days,201812
2018-06-20,-346 days,201906
2018-12-19,-347 days,201912
2019-06-24,-343 days,202006
2020-03-02,-152 days,202008
2020-03-16,-260 days,202012
2020-07-29,-156 days,202101
2020-11-13,-80 days,202102
2020-12-01,-182 days,202106
2021-03-02,-121 days,202107
2021-05-11,-204 days,202112
2021-08-03,-151 days,202201
2021-11-09,-204 days,202206
2022-03-02,-121 days,202207
2022-05-05,-210 days,202212
2022-07-08,-177 days,202301
2022-10-13,-111 days,202302
2022-11-30,-183 days,202306
2023-02-28,-123 days,202307
2023-03-22,-132 days,202308
2023-05-30,-185 days,202312
2023-09-08,-146 days,202402
2023-11-22,-131 days,202404
2023-12-11,-173 days,202406
2024-01-10,-204 days,202408
