Date,RollOffset,CurrentContract
2012-12-03,-149 days,201305
2012-12-10,-265 days,201309
2013-03-05,-302 days,201401
2013-08-01,-273 days,201405
2013-12-13,-262 days,201409
2014-04-16,-260 days,201501
2014-08-07,-298 days,201506
2014-12-05,-270 days,201509
2015-04-27,-249 days,201601
2015-08-20,-255 days,201605
2015-12-17,-259 days,201609
2016-04-18,-317 days,201703
2016-08-24,-250 days,201705
2016-12-20,-255 days,201709
2017-04-24,-252 days,201801
2017-08-28,-246 days,201805
2017-12-19,-256 days,201809
2018-05-02,-244 days,201901
2018-08-23,-251 days,201905
2018-12-26,-249 days,201909
2019-04-24,-252 days,202001
2019-09-02,-242 days,202005
2019-12-24,-252 days,202009
2020-07-03,-182 days,202101
2020-08-21,-253 days,202105
2020-12-29,-246 days,202109
2021-04-28,-248 days,202201
2021-08-18,-256 days,202205
2021-12-24,-251 days,202209
2022-04-20,-256 days,202301
2022-09-01,-242 days,202305
2022-12-28,-247 days,202309
2023-05-08,-238 days,202401
2023-09-12,-232 days,202405
2024-01-02,-243 days,202409
