Date,RollOffset,CurrentContract
2012-12-28,-247 days,201309
2013-02-28,-246 days,201311
2013-03-22,-285 days,201401
2013-07-10,-295 days,201405
2013-11-27,-278 days,201409
2014-03-25,-282 days,201501
2014-08-13,-261 days,201505
2014-12-05,-270 days,201509
2015-04-02,-274 days,201601
2015-08-18,-257 days,201605
2015-12-15,-261 days,201609
2016-04-11,-265 days,201701
2016-08-18,-256 days,201705
2016-12-15,-260 days,201709
2017-04-18,-258 days,201801
2017-08-22,-252 days,201805
2017-12-26,-249 days,201809
2018-04-18,-258 days,201901
2018-08-17,-257 days,201905
2018-12-24,-251 days,201909
2019-04-22,-254 days,202001
2019-08-26,-249 days,202005
2019-12-20,-256 days,202009
2020-04-21,-255 days,202101
2020-08-31,-243 days,202105
2020-12-25,-250 days,202109
2021-05-12,-234 days,202201
2021-09-09,-234 days,202205
2022-01-19,-225 days,202209
2022-03-30,-277 days,202301
2022-07-27,-278 days,202305
2023-02-02,-149 days,202307
2023-02-17,-196 days,202309
2023-07-03,-182 days,202401
2023-10-12,-141 days,202403
2023-11-10,-173 days,202405
2024-01-02,-243 days,202409
