Date,RollOffset,CurrentContract
2010-01-04,-56 days,201003
2010-01-08,-113 days,201005
2010-02-08,-205 days,201009
2010-04-21,-255 days,201101
2010-09-08,-235 days,201105
2010-11-19,-286 days,201109
2011-04-22,-254 days,201201
2011-08-08,-267 days,201205
2011-12-30,-246 days,201209
2012-05-03,-243 days,201301
2012-08-09,-265 days,201305
2012-12-11,-264 days,201309
2013-04-11,-265 days,201401
2013-08-16,-258 days,201405
2014-01-02,-242 days,201409
2014-04-18,-258 days,201501
2014-09-01,-242 days,201505
2014-12-15,-260 days,201509
2015-04-23,-253 days,201601
2015-08-31,-244 days,201605
2015-12-22,-254 days,201609
2016-04-25,-251 days,201701
2016-09-02,-241 days,201705
2016-12-14,-261 days,201709
2017-05-03,-243 days,201801
2017-08-23,-251 days,201805
2018-01-24,-220 days,201809
2018-05-24,-222 days,201901
2018-08-30,-244 days,201905
2019-01-03,-179 days,201907
2019-01-21,-223 days,201909
2019-04-19,-257 days,202001
2019-10-11,-203 days,202005
2020-01-09,-236 days,202009
2020-04-22,-254 days,202101
2020-09-03,-151 days,202102
2020-09-09,-234 days,202105
2020-12-21,-254 days,202109
2021-04-27,-249 days,202201
2021-11-02,-180 days,202205
2022-03-01,-184 days,202209
2022-06-10,-205 days,202301
2022-10-13,-200 days,202305
2023-03-01,-92 days,202306
2023-03-14,-171 days,202309
2023-07-04,-89 days,202310
2023-07-17,-168 days,202401
2023-11-02,-91 days,202402
2023-11-08,-175 days,202405
2024-01-02,-243 days,202409
