Date,RollOffset,CurrentContract
2010-01-04,-117 days,201005
2010-02-23,-98 days,201006
2010-03-10,-175 days,201009
2010-05-18,-228 days,201101
2010-08-20,-254 days,201105
2010-12-28,-247 days,201109
2011-05-03,-243 days,201201
2011-08-09,-266 days,201205
2011-09-09,-327 days,201208
2011-12-28,-248 days,201209
2012-05-04,-242 days,201301
2012-08-20,-254 days,201305
2012-12-17,-258 days,201309
2013-04-24,-252 days,201401
2013-08-19,-255 days,201405
2013-12-26,-249 days,201409
2014-04-16,-260 days,201501
2014-08-21,-253 days,201505
2014-12-05,-270 days,201509
2015-05-04,-242 days,201601
2015-08-18,-257 days,201605
2015-12-01,-275 days,201609
2016-04-11,-265 days,201701
2016-09-01,-242 days,201705
2016-12-19,-256 days,201709
2017-04-19,-257 days,201801
2017-08-22,-252 days,201805
2017-12-26,-249 days,201809
2018-04-26,-250 days,201901
2018-08-22,-252 days,201905
2018-12-18,-257 days,201909
2019-04-18,-258 days,202001
2019-08-28,-247 days,202005
2019-12-31,-245 days,202009
2020-04-17,-259 days,202101
2020-09-03,-151 days,202102
2020-11-04,-178 days,202105
2021-02-02,-119 days,202106
2021-02-22,-191 days,202109
2021-04-29,-155 days,202110
2021-07-12,-173 days,202201
2021-09-01,-153 days,202202
2021-10-14,-199 days,202205
2022-02-07,-144 days,202207
2022-04-07,-147 days,202209
2022-07-04,-89 days,202210
2022-07-25,-160 days,202301
2022-10-17,-196 days,202305
2023-02-01,-212 days,202309
2023-06-07,-208 days,202401
2023-09-28,-216 days,202405
2024-01-12,-233 days,202409
