Date,ES,6E,6M,ZN,ZC,GC
1999-01-04,1241.0,1.1866,0.09715,106.2188,214.75,
1999-01-05,1253.25,1.182,0.097575,105.9063,217.25,
1999-01-06,1280.25,1.1642,0.098125,106.1094,223.75,
1999-01-07,1277.75,1.1749,0.097625,105.7969,219.75,
1999-01-08,1287.0,1.1629,0.097175,105.1875,221.75,
1999-01-11,1274.0,1.1523,0.096025,104.9531,219.75,
1999-01-12,1251.0,1.1586,0.09345,105.3281,217.25,
1999-01-13,1239.0,1.1688,0.08905,105.7344,215.25,
1999-01-14,1219.0,1.1742,0.0873,106.2656,215.5,
1999-01-15,1248.5,1.1622,0.09315,105.7969,215.5,
1999-01-19,1257.0,1.1643,0.094125,105.7188,213.75,
1999-01-20,1268.25,1.1586,0.0941,105.4688,215.0,
1999-01-21,1233.0,1.163,0.09425,105.8594,216.0,
1999-01-22,1232.0,1.1616,0.094025,106.3281,216.25,
1999-01-25,1243.5,1.1584,0.093575,106.3281,215.5,
1999-01-26,1265.5,1.1589,0.0946,106.1563,215.75,
1999-01-27,1249.0,1.1459,0.09415,106.2656,215.5,
1999-01-28,1265.75,1.1446,0.094675,106.3281,216.0,
1999-01-29,1281.5,1.1391,0.095325,106.4063,214.5,
1999-02-01,1274.25,1.1336,0.096025,105.8281,215.75,
1999-02-02,1265.25,1.1371,0.09625,105.4688,217.5,
1999-02-03,1278.5,1.1341,0.09615,105.1875,215.75,
1999-02-04,1259.25,1.1355,0.096475,104.625,217.25,
1999-02-05,1243.5,1.1285,0.096575,104.4063,218.5,
1999-02-08,1247.25,1.1344,0.096575,104.5469,218.0,
1999-02-09,1219.0,1.1308,0.096675,104.7656,216.75,
1999-02-10,1225.5,1.1363,0.0978,104.6875,220.25,
1999-02-11,1262.5,1.1249,0.09815,104.625,216.0,
1999-02-12,1238.25,1.1296,0.098825,103.7344,215.0,
1999-02-16,1242.25,1.1217,0.099225,103.7656,214.0,
1999-02-17,1229.25,1.1251,0.0994,104.0469,213.5,
1999-02-18,1238.5,1.1216,0.09925,103.7031,215.0,
1999-02-19,1243.5,1.1075,0.09915,103.5313,215.0,
1999-02-22,1274.5,1.1047,0.09945,103.7813,214.0,
1999-02-23,1275.5,1.1016,0.099325,103.4219,215.0,
1999-02-24,1253.25,1.0996,0.099375,102.8906,208.75,
1999-02-25,1241.5,1.1053,0.099275,102.1719,206.75,
1999-02-26,1235.5,1.1024,0.100275,102.4219,204.5,
1999-03-01,1239.0,1.0893,0.099775,101.8281,206.25,
1999-03-02,1229.5,1.0925,0.09965,102.0625,215.75,
1999-03-03,1234.0,1.0895,0.0996,101.8594,214.75,
1999-03-04,1249.75,1.0825,0.100275,101.6719,217.0,
1999-03-05,1278.5,1.083,0.100675,102.1719,216.0,
1999-03-08,1283.25,1.0892,0.1016,102.2813,220.75,
1999-03-09,1279.75,1.0894,0.1015,102.8125,221.25,
1999-03-10,1289.0,1.0955,0.10205,102.6719,223.5,
1999-03-11,1304.5,1.1032,0.10245,102.7031,224.5,
1999-03-12,1291.25,1.0905,0.103025,102.9531,222.75,
1999-03-15,1306.5,1.0951,0.1029,103.0938,220.0,
1999-03-16,1306.0,1.1051,,103.375,223.75,
1999-03-17,1299.0,1.1055,0.099,103.2031,225.75,
1999-03-18,1318.6,1.1021,0.098825,103.3438,224.25,
1999-03-19,1309.5,1.0938,0.098725,103.0,229.0,
1999-03-22,1311.27,1.0965,0.098575,103.0,232.25,
1999-03-23,1272.27,1.0958,0.0991,102.6406,228.5,
1999-03-24,1279.5,1.094,0.099025,102.875,228.0,
1999-03-25,1304.0,1.0883,0.099675,102.5625,229.75,
1999-03-26,1297.0,1.0813,0.1004,102.5625,232.25,
1999-03-29,1315.73,1.0784,0.101325,102.25,232.0,
1999-03-30,1315.73,1.0762,0.101175,102.6406,232.0,
1999-03-31,1293.27,1.0802,0.101675,102.3906,225.5,
1999-04-01,1302.73,1.0833,0.10165,102.25,222.0,
1999-04-05,1333.5,1.0756,0.102525,102.8906,218.75,
1999-04-06,1330.5,1.0884,0.101975,103.3125,216.25,
1999-04-07,1338.5,1.0816,0.102625,103.2344,217.75,
1999-04-08,1355.5,1.0784,0.1024,103.9219,216.5,
1999-04-09,1358.27,1.0845,0.10185,103.9063,217.75,
1999-04-12,1372.0,1.0866,0.102175,103.9063,214.25,
1999-04-13,1362.27,1.0811,0.10195,103.5625,216.0,
1999-04-14,1339.27,1.0838,0.102125,103.4844,217.5,
1999-04-15,1332.0,1.0742,0.102125,103.3438,219.75,
1999-04-16,1323.0,1.0753,0.1027,103.0,218.0,
1999-04-19,1301.73,1.0671,0.104025,103.2656,220.5,
1999-04-20,1315.0,1.0664,0.1038,103.4531,224.0,
1999-04-21,1351.73,1.0656,0.104325,103.4219,224.0,
1999-04-22,1369.09,1.065,0.104775,102.875,219.5,
1999-04-23,1365.0,1.0646,0.105025,102.8906,220.25,
1999-04-26,1371.5,1.0619,0.104975,103.0313,216.25,
1999-04-27,1376.5,1.0698,0.104925,103.1719,215.25,
1999-04-28,1359.0,1.0655,0.10545,103.0,214.75,
1999-04-29,1347.5,1.0621,0.105425,103.375,213.25,
1999-04-30,1336.5,1.0613,0.105425,102.3906,214.75,
1999-05-03,1359.27,1.0606,0.105925,102.3594,216.75,
1999-05-04,1343.0,1.0661,0.105675,102.0625,222.75,
1999-05-05,1352.0,1.0773,0.1056,102.2031,221.75,
1999-05-06,1342.27,1.084,0.104925,101.5313,219.75,
1999-05-07,1351.27,1.0769,0.105425,101.3281,218.5,
1999-05-10,1347.0,1.0824,0.106025,101.5,221.75,
1999-05-11,1358.27,1.0737,0.106075,101.1875,222.25,
1999-05-12,1369.0,1.0672,0.105925,101.3281,223.25,
1999-05-13,1375.0,1.0686,0.106175,101.9688,224.0,
1999-05-14,1339.27,1.0672,0.105575,100.6875,221.75,
1999-05-17,1341.0,1.0688,0.105775,100.5,223.75,
1999-05-18,1341.25,1.0705,0.10615,100.2969,221.25,
1999-05-19,1349.25,1.0676,0.106,100.6406,219.75,
1999-05-20,1342.5,1.0646,0.1062,100.5781,219.25,
1999-05-21,1334.75,1.0594,0.105275,100.8906,218.5,
1999-05-24,1312.5,1.0606,0.10515,101.0313,211.75,
1999-05-25,1284.5,1.0607,0.10275,101.0,214.75,
1999-05-26,1304.5,1.0481,0.10265,100.6875,214.75,
1999-05-27,1286.0,1.0453,0.1015,100.1875,216.5,
1999-05-28,1297.25,1.0411,0.102275,100.1563,219.5,
1999-06-01,1295.5,1.0457,0.101575,99.2969,216.25,
1999-06-02,1296.2,1.0356,0.102325,99.3281,216.75,
1999-06-03,1305.0,1.0331,0.102675,99.4375,223.25,
1999-06-04,1329.75,1.0378,0.103925,99.4375,220.75,
1999-06-07,1332.25,1.029,0.1055,99.4688,222.5,267.2
1999-06-08,1321.25,1.0462,0.10465,99.375,223.0,263.8
1999-06-09,1318.75,1.0476,0.1044,99.2344,220.75,261.1
1999-06-10,1307.5,1.0483,0.1043,98.9688,220.25,260.1
1999-06-11,1296.25,1.0542,0.1044,98.4063,217.25,262.3
1999-06-14,1296.25,1.0428,0.1046,98.6875,218.25,262.0
1999-06-15,1305.0,1.0488,0.100525,98.7969,214.25,261.0
1999-06-16,1329.25,1.0378,0.101725,98.9844,217.5,259.9
1999-06-17,1341.5,1.0404,0.102675,99.875,217.25,260.0
1999-06-18,1356.75,1.0449,0.102575,99.5781,220.75,260.9
1999-06-21,1360.0,1.0408,0.1026,99.1875,219.25,260.3
1999-06-22,1349.25,1.0383,0.102975,98.3438,216.25,259.9
1999-06-23,1342.25,1.0388,0.1024,97.9844,217.5,261.8
1999-06-24,1332.75,1.0467,0.101725,97.7344,214.5,262.4
1999-06-25,1329.0,1.0489,0.1009,97.875,214.25,260.8
1999-06-28,1344.0,1.041,0.102125,98.25,211.0,262.0
1999-06-29,1356.75,1.0393,0.10235,98.4531,210.25,262.0
1999-06-30,1381.75,1.0399,0.10325,99.2656,216.25,263.6
1999-07-01,1392.0,1.0286,0.103175,98.9844,208.25,264.4
1999-07-02,1406.0,1.0297,0.103825,99.0469,202.25,264.6
1999-07-06,1403.5,1.0285,0.103775,98.8281,195.0,257.8
1999-07-07,1404.5,1.0277,0.10395,98.6563,194.25,258.0
1999-07-08,1405.0,1.0257,0.104175,99.0625,189.75,257.7
1999-07-09,1413.75,1.0221,0.1038,99.0,186.25,258.1
1999-07-12,1409.0,1.0202,0.10285,99.625,186.75,256.5
1999-07-13,1403.75,1.0218,0.103425,99.7656,186.0,256.7
1999-07-14,1409.25,1.0256,0.104225,99.6094,190.0,255.0
1999-07-15,1419.5,1.0249,0.104275,99.6563,193.75,254.8
1999-07-16,1427.5,1.0237,0.10455,99.9375,187.75,254.5
1999-07-19,1418.0,1.034,0.1051,100.0,191.75,253.9
1999-07-20,1387.5,1.0453,0.1044,100.0938,195.5,254.1
1999-07-21,1385.5,1.0563,0.104425,100.0313,203.0,256.3
1999-07-22,1367.75,1.0561,0.104225,99.3594,204.5,256.7
1999-07-23,1362.75,1.0551,0.103925,98.9844,212.0,255.4
1999-07-26,1354.75,1.07,0.103925,98.8906,204.75,254.7
1999-07-27,1363.75,1.0658,0.1043,99.0938,196.5,254.5
1999-07-28,1367.75,1.0698,0.10445,99.0938,196.0,254.5
1999-07-29,1349.75,1.076,0.103825,98.6875,199.75,257.3
1999-07-30,1331.75,1.074,0.1041,98.4844,203.25,256.9
1999-08-02,1336.25,1.0721,0.10395,98.4375,215.25,256.2
1999-08-03,1328.75,1.0717,0.10385,98.3125,219.5,257.0
1999-08-04,1309.0,1.0806,0.103725,98.3438,225.0,257.3
1999-08-05,1321.25,1.0787,0.1032,98.6875,223.25,256.7
1999-08-06,1307.0,1.0787,0.103325,97.8125,223.5,257.1
1999-08-09,1303.0,1.0733,0.103675,97.2656,223.5,257.5
1999-08-10,1290.5,1.0737,0.103375,97.1719,228.25,258.7
1999-08-11,1304.0,1.0683,0.10535,97.4063,222.25,260.2
1999-08-12,1304.75,1.069,0.105,97.4219,210.25,261.7
1999-08-13,1333.0,1.059,0.10535,98.0625,209.5,261.7
1999-08-16,1339.5,1.059,0.10575,98.125,214.0,260.9
1999-08-17,1347.0,1.0534,0.10595,98.6719,216.5,262.1
1999-08-18,1334.5,1.0549,0.10565,98.7031,215.0,260.3
1999-08-19,1327.0,1.0651,0.105875,98.5469,214.0,259.4
1999-08-20,1340.25,1.0687,0.105675,98.6406,209.75,258.3
1999-08-23,1366.25,1.0519,0.10575,98.5938,206.75,255.0
1999-08-24,1370.5,1.0547,0.106325,99.0,203.5,253.5
1999-08-25,1383.0,1.0439,0.10645,99.6094,206.25,253.0
1999-08-26,1367.75,1.0461,0.106125,99.4531,202.75,253.2
1999-08-27,1351.75,1.0471,0.10585,98.9375,201.75,253.9
1999-08-30,1326.0,1.0472,0.105825,98.3281,203.0,
1999-08-31,1319.75,1.0588,0.10635,98.2031,205.25,
1999-09-01,1334.0,1.0604,0.1065,98.2188,207.5,
1999-09-02,1320.25,1.0692,0.10645,98.0469,208.75,
1999-09-03,1362.5,1.0621,0.106725,98.7031,209.0,
1999-09-07,1352.5,1.0594,0.10665,98.4219,225.25,
1999-09-08,1346.0,1.0598,0.106675,98.5625,221.0,
1999-09-09,1345.0,1.0538,0.10685,98.3125,219.0,
1999-09-10,1354.0,1.0356,0.10735,98.7656,217.75,257.9
1999-09-13,1347.0,1.0371,0.10735,98.6406,216.0,257.8
1999-09-14,1337.5,1.0427,,98.3594,214.75,258.2
1999-09-15,1317.25,1.0468,,98.5938,212.25,257.3
1999-09-16,1319.25,1.0475,,98.7813,212.75,257.4
1999-09-17,1351.5,1.0482,,99.0,210.25,255.9
1999-09-20,1348.75,1.0453,,98.7188,210.25,255.8
1999-09-21,1322.0,1.0552,0.1033,98.5469,210.75,261.8
1999-09-22,1321.75,1.0512,0.1036,98.1719,210.25,265.5
1999-09-23,1291.0,1.0498,0.1035,98.6719,208.25,267.3
1999-09-24,1288.5,1.0515,0.103075,99.2188,208.75,269.8
1999-09-27,1296.25,1.0536,0.103325,98.7813,212.0,283.8
1999-09-28,1294.25,1.0609,0.102875,98.4063,213.75,310.0
1999-09-29,1280.0,1.0699,0.103075,97.8906,213.75,302.0
1999-09-30,1298.25,1.0729,0.1032,98.3125,208.25,299.5
1999-10-01,1293.5,1.0795,0.102675,97.7031,205.0,305.3
1999-10-04,1318.75,1.0794,0.101775,98.0313,204.25,318.0
1999-10-05,1315.75,1.0807,0.102325,97.4375,203.5,326.0
1999-10-06,1334.75,1.0743,0.1024,97.3906,204.75,326.0
1999-10-07,1329.0,1.0761,0.1026,97.3594,203.25,324.3
1999-10-08,1346.5,1.0664,0.10275,97.4219,198.5,321.7
