Date,ES,6E,6M,ZN,ZC,GC
1999-01-04,25071.0,2924.0,3431.0,64142.0,23271.0,
1999-01-05,24532.0,2111.0,4275.0,81260.0,30448.0,
1999-01-06,30933.0,5106.0,2841.0,133326.0,72234.0,
1999-01-07,28423.0,3893.0,3804.0,126008.0,31638.0,
1999-01-08,33634.0,4032.0,3819.0,150026.0,36144.0,
1999-01-11,37434.0,6195.0,3488.0,112201.0,27733.0,
1999-01-12,37790.0,3266.0,11368.0,108114.0,36834.0,
1999-01-13,38402.0,5765.0,11820.0,187007.0,35707.0,
1999-01-14,35848.0,1304.0,7369.0,129525.0,20982.0,
1999-01-15,22798.0,1065.0,3684.0,87674.0,21224.0,
1999-01-19,30234.0,1787.0,3569.0,77760.0,52535.0,
1999-01-20,36209.0,1596.0,2697.0,89597.0,23986.0,
1999-01-21,37362.0,1115.0,2966.0,112308.0,37726.0,
1999-01-22,33262.0,1246.0,1626.0,93563.0,19896.0,
1999-01-25,29730.0,975.0,1967.0,76678.0,30658.0,
1999-01-26,28589.0,1853.0,2780.0,78064.0,24800.0,
1999-01-27,32620.0,14831.0,3390.0,85076.0,20936.0,
1999-01-28,27320.0,7198.0,924.0,84897.0,45941.0,
1999-01-29,32390.0,2584.0,2136.0,99521.0,35685.0,
1999-02-01,27067.0,5326.0,2203.0,87001.0,28947.0,
1999-02-02,36875.0,2621.0,1385.0,140872.0,36795.0,
1999-02-03,37617.0,4839.0,3206.0,99114.0,60780.0,
1999-02-04,37767.0,6022.0,1381.0,221773.0,19582.0,
1999-02-05,34315.0,2585.0,290.0,141740.0,24630.0,
1999-02-08,28847.0,10459.0,1332.0,65954.0,21099.0,
1999-02-09,34486.0,2001.0,828.0,93353.0,24193.0,
1999-02-10,35069.0,4079.0,5135.0,99378.0,39074.0,
1999-02-11,30390.0,2915.0,4180.0,103840.0,39360.0,
1999-02-12,32377.0,4004.0,3124.0,190298.0,34430.0,
1999-02-16,32796.0,6745.0,2701.0,108548.0,33840.0,
1999-02-17,36838.0,4953.0,1906.0,99659.0,41823.0,
1999-02-18,36997.0,1737.0,2536.0,122682.0,27674.0,
1999-02-19,28120.0,5492.0,1674.0,167227.0,31582.0,
1999-02-22,31036.0,10224.0,1248.0,108259.0,38810.0,
1999-02-23,35482.0,2710.0,3783.0,156645.0,46099.0,
1999-02-24,36993.0,6571.0,1189.0,191212.0,44660.0,
1999-02-25,41325.0,6612.0,2450.0,305704.0,51430.0,
1999-02-26,35368.0,6143.0,4749.0,168427.0,32250.0,
1999-03-01,32964.0,10194.0,4689.0,67760.0,14403.0,
1999-03-02,38915.0,9488.0,3854.0,41653.0,36500.0,
1999-03-03,37056.0,8044.0,1688.0,50201.0,24977.0,
1999-03-04,35602.0,8316.0,3753.0,42529.0,33038.0,
1999-03-05,36436.0,6114.0,2990.0,30272.0,21136.0,
1999-03-08,31665.0,12035.0,3065.0,18039.0,44029.0,
1999-03-09,37522.0,7440.0,3271.0,28831.0,49669.0,
